Lyrics,Song,Artist,Genre,Composition
"17
 
Seventeen, seventeen 
Seventeen, seventeen
17
 
He was working at the record shop 
I would kiss him in the parking lot 
Tasting like cigarettes and soda pop 
Seventeen
17
 
He would tell me I was beautiful 
Sneaking in the neighbor's swimming pool
Yeah, he taught me how to break the rules 
Seventeen
17
 
Hey, those days are long gone 
And when I hear this song 
It takes me back
17
 
We were on top of the world 
Back when I was your girl 
We were living so wild and free 
Acting stupid for fun 
All we needed was love 
That's the way it's supposed to be
Seventeen
17
 
Stealing beers out of the trailer park 
Flicking lighters just to fight the dark 
My favorite place was sitting in his car 
Seventeen
17
 
We laid a blanket on the roof top 
That time I knew I wouldn't make him stop
The nights were cold but we kept them hot 
Seventeen
17
 
Hey, those days are long gone 
And when I hear this song 
It takes me back
17
 
We were on top of the world 
Back when I was your girl 
We were living so wild and free 
Acting stupid for fun 
All we needed was love 
That's the way it's supposed to be
17
 
We were running red lights 
We were going all night 
Didn't care about anything
Cause it was you and me
We were living our dream 
And we were seventeen
17
 
Oh, oh, oh, oh, oh, oh (seventeen) 
Oh, oh, oh 
Oh, oh, oh, oh, oh, oh 
Oh, oh (seventeen)
17
 
I remember what it felt like 
Just a small town kind of life 
If I could only just go back in time 
Seventeen
17
 
We were on top of the world 
Back when I was your girl 
We were living so wild and free 
Acting stupid for fun 
All we needed was love 
That's the way it's supposed to be
17
 
We were running red lights 
We were going all night 
Didn't care about anything
Cause it was you and me
We were living our dream 
And we were seventeen
17
 
Seventeen 
Seventeen 
Seventeen


  Essa informação está errada? Nos avise. ",17,Avril Lavigne,Pop Rock,Composição: Avril Lavigne / Jacob Kasher Hindlin / Martin Johnson. 
"4 Real
 
If I show you 
Get to know you 
If I hold you just for today 
I'm not gonna wanna let go
I'm not gonna wanna go home
Tell me you feel the same
4 Real
 
'Cause I'm 4 real, are you 4 real?
I can't help myself, it's the way I feel
When you look me in the eyes, like you did last night 
I can't stand to hear you say goodbye
4 Real
 
Well, it feels so right cause it feels so right
Just to have you standing by my side 
So don't let me go cause you have my soul
And I just wanted you to know
4 Real
 
I don't want to look back
Cause I know that we have
Something the past could never change 
And now I'm stuck in the moment
And my heart is open 
Tell me that you feel the same
4 Real
 
'Cause I'm 4 real, are you 4 real?
I can't help myself, it's the way I feel
When you look me in the eyes, like you did last night 
I can't stand to hear you say goodbye
4 Real
 
Well, it feels so right cause it feels so right
Just to have you standing by my side 
So don't let me go cause you have my soul
And I just wanted you to know
4 Real
 
Hold me down 
Hold me now 
I'm safe, I'm sound
When you're around
4 Real
 
Hold me down 
Hold me now 
I'm safe, I'm sound
When you're around
4 Real
 
'Cause I'm 4 real, are you 4 real?
I can't help myself, it's the way I feel
When you look me in the eyes, like you did last night 
I can't stand to hear you say goodbye
4 Real
 
Well, it feels so right cause it feels so right
Just to have you standing by my side 
So don't let me go cause you have my soul
And I just wanted you to know
4 Real
 
'Cause I'm 4 real, are you 4 real?
I can't help myself, it's the way I feel
When you look me in the eyes, like you did last night 
I can't stand to hear you say goodbye
4 Real
 
Well, it feels so right cause it feels so right
Just to have you standing by my side 
So don't let me go cause you have my soul
And I just wanted you to know


  Essa informação está errada? Nos avise. ",4 Real,Avril Lavigne,Pop Rock,Composição: Avril Lavigne. 
"Adia
 
Adia, I do believe I've failed you
Adia, I know I've let you down
Don't you know I've tried so hard to love you in my way?
It's easy, let it go
Adia
 
Adia, I'm empty since you left me
I try to find a way to carry on 
I search myself in everyone 
To see where we went wrong 
There's no one left to finger
There's no one here to blame
There's no one left to talk to, honey
And there ain't no one to buy our innocence
Adia
 
'Cause we are born innocent
Believe me, Adia 
We are still innocent 
It's easy, we all falter
But does it matter?
Adia
 
Adia, I thought that we could make it 
I know I can't change the way you feel
I leave you with your misery 
A friend who won't betray
I pull you from your tower 
And take away your pain 
And show you all the beauty you possess 
If you'd only let yourself believe that
Adia
 
'Cause we are born innocent
Believe me, Adia 
We are still innocent 
It's easy, we all falter
But does it matter?
Adia
 
We are born innocent 
Believe me, Adia 
We are still innocent 
It's easy, we all falter
But does it matter?
Adia
 
Believe me, Adia 
We are still innocent 
It's easy, we all falter
But does it matter?
Adia
 
Believe me, Adia 
We are still innocent 
It's easy, we all falter
But does it matter?


  Essa informação está errada? Nos avise. ",Adia,Avril Lavigne,Pop Rock,Composição: Sarah McLachlan. 
"Airplanes
 
Can we pretend that airplanes in the night sky are 
like shooting stars 
I could really use a wish right now, a wish right 
now, a wish right now 
Can we pretend that airplanes in the night sky are 
like shooting stars 
I could really use a wish right now, a wish right 
now, a wish right now 
I could use a dream or a genie or a wish 
To go back to a place much simpler than this 
Cause after all the partyin' and smashin' and
crashin


  ",Airplanes,Avril Lavigne,Pop Rock,Sabe de quem é a composição? Envie pra gente.
"Alice
 
Trippin' out, spinnin' around
I'm underground, I fell down
Yeah, I fell down
Alice
 
I'm freakin' out, so where am I now?
Upside down, and I can't stop it now
It can't stop me now, oh
Alice
 
I, I'll get by
I, I'll survive
When the world's crashin' down
When I fall and hit the ground 
I will turn myself around 
Don't you try to stop me
I, I won't cry
Alice
 
I found myself in Wonderland 
Get back on my feet again 
Is this real? Is this pretend? 
I'll take a stand until the end
Alice
 
I, I'll get by
I, I'll survive
When the world's crashing down
When I fall and hit the ground 
I will turn myself around 
Don't you try to stop me
I, I won't cry
Alice
 
I, I'll get by
I, I'll survive
When the world's crashing down
When I fall and hit the ground 
I will turn myself around 
Don't you try to stop me
I, and I won't cry


  Essa informação está errada? Nos avise. ",Alice,Avril Lavigne,Pop Rock,Composição: Avril Lavigne. 
"Alice (Extended Version)
 
Tripping out, spinning around 
I'm underground, I fell down
Yeah, I fell down
Alice (Extended Version)
 
I'm freaking out, where am I now?
Upside down and I can't stop it now
It can't stop me now, oh
Alice (Extended Version)
 
I, I'll get by
I, I'll survive
When the world's crashing down
When I fall and hit the ground 
I will turn myself around 
Don't you try to stop me
I, I won't cry
Alice (Extended Version)
 
I'll play the game, but I can't stay
I've got my head on straight
And I'm not gonna change
I'm not gonna change
Alice (Extended Version)
 
I'll win the race, keep up with the pace
Today's the day that I start to pray
You can't get it my way, no
Alice (Extended Version)
 
I, I'll get by
I, I'll survive
When the world's crashing down
When I fall and hit the ground 
I will turn myself around 
Don't you try to stop me
I, I won't cry
Alice (Extended Version)
 
I found myself in Wonderland 
Get back on my feet again 
Is this real? Is this pretend? 
I'll take a stand until the end
Alice (Extended Version)
 
I, I'll get by
I, I'll survive
When the world's crashing down
When I fall and hit the ground 
I will turn myself around 
Don't you try to stop me
I, I won't cry
Alice (Extended Version)
 
I, I'll get by
I, I'll survive
When the world's crashing down
When I fall and hit the ground 
I will turn myself around 
Don't you try to stop me
I, and I won't cry


  ",Alice (Extended Version),Avril Lavigne,Pop Rock,Sabe de quem é a composição? Envie pra gente.
"All Because Of You
 
What the hell happened to me 
I've become such a mess
I'm a walking disaster
On a road full of stress 
You got all that you wanted 
You got the good part of me 
And I'm getting kind of dizzy
From this crazy disease
All Because Of You
 
So get me a doctor 
I need a repair 
I'm pushing my limits
And pulling out my hair
All Because Of You
 
And it's all because of you
I just run into walls and trip over my shoes 
I get up, I fall down, every time you come around 
I'm not cool
It's all because of you
It's all because of you
All Because Of You
 
You've got me spinning like a record
That's already worn out
And I'm kicking and I'm screaming
And repeating myself 
I gotta hold myself together and not fall apart 
If it's gonna be forever tell me where do I start
All Because Of You
 
So send me a signal 
Up in the air 
You're pushing my buttons
I'm pulling out my hair
All Because Of You
 
And it's all because of you
I just run into walls and trip over my shoes 
I get up, I fall down, every time you come around 
I'm not cool
It's all because of you
All Because Of You
 
I can't help it
Can't stop it
I know it's all your fault
But I like it and you love me 
Yeah yeah yeah
All Because Of You
 
It's all because of you
I just run into walls and trip over my shoes 
I get up, I fall down, every time you come around 
I'm not cool
It's all because and it's all because of you
I just run into walls and trip over my shoes 
I get up, I fall down, every time you come around 
I'm not cool
It's all because of you
It's all because of you


  Essa informação está errada? Nos avise. ",All Because Of You,Avril Lavigne,Pop Rock,Composição: Avril Lavigne / Butch Walker. 
"All I Wanted (feat. Mark Hoppus)
 
I was always crushing on the wrong boys 
I was always yelling when I should've been sitting down
Memories of cigarettes and polaroids 
Kiss you in the kitchen of a house that burned down 
I remember waiting on the sunrise 
And I'll be right here waiting till you come back around
Come back around, come back around
All I Wanted (feat. Mark Hoppus)
 
All I wanted was you, let's do wherever it takes
Me and you, we can't lose, I'll take you away from here
From the city that never loved you, from the town I always hated 
Me and you, we can't lose (let's go)
All I Wanted (feat. Mark Hoppus)
 
Woah, oh, oh 
Woah, oh, oh 
Woah, oh, oh 
All that I wanted was you
All I Wanted (feat. Mark Hoppus)
 
I would always fuck around and find out 
You were always saying I would crash down someday 
I would have to pass out on my friends couch 
We were up all night so we slept all day 
I remember waiting on the sunrise 
And I'll be right here waiting till you come back around
Come back around, come back around
All I Wanted (feat. Mark Hoppus)
 
All I wanted was you, let's do wherever it takes
Me and you, we can't lose, I'll take you away from here
From the city that never loved you, from the town I always hated 
Me and you, we can't lose
All I Wanted (feat. Mark Hoppus)
 
And maybe it was for the best, you used to call me useless 
We're floating to the nothingness cause after all the truth is
The only things we leave behind are noise and absolution 
I act like everything is fine, when I'm plotting revolution
All I Wanted (feat. Mark Hoppus)
 
All I wanted was you, let's do wherever it takes
Me and you, we can't lose, I'll take you away from here
From the city that never loved you, from the town I always hated 
Me and you, we can't lose
All I Wanted (feat. Mark Hoppus)
 
Woah, oh, oh, I'm with you
Woah, oh, oh, we don't lose
Woah, oh, oh 
All that I wanted was you


  Essa informação está errada? Nos avise. ",All I Wanted (feat. Mark Hoppus),Avril Lavigne,Pop Rock,"Composição: Avril Lavigne / John Feldmann / Derek ""MOD SUN"" Smith / Mark Hoppus. "
"All The Small Things
 
All the small things 
True care, truth brings 
I'll take one lift
Your ride, best trip
All The Small Things
 
Always, I know 
You'll be at my show
Watching, waiting 
Commiserating
All The Small Things
 
Say it ain't so, I will not go
Turn the lights off, carry me home 
Na na na na na na na na na na 
Na na na na na na na na na na 
Na na na na na na na na na na 
Na na na na na na na na na na
All The Small Things
 
Late night, come home 
Work sucks, I know 
She left me roses by the stairs 
Surprises let me know she cares
All The Small Things
 
Say it ain't so, I will not go
Turn the lights off, carry me home 
Na na na na na na na na na na 
Na na na na na na na na na na 
Na na na na na na na na na na 
Na na na na na na na na na na
All The Small Things
 
Say it ain't so, I will not go
Turn the lights off, carry me home 
Keep your head still, I'll be your thrill
The night will go on, my little windmill
All The Small Things
 
Say it ain't so, I will not go
(na na na na na na na na na na) 
Turn the lights off, carry me home 
(na na na na na na na na na na) 
Keep your head still, I'll be your thrill
(na na na na na na na na na na) 
The night will go on, the night will go on 
(na na na na na na na na na na) 
My little windmill


  Essa informação está errada? Nos avise. ",All The Small Things,Avril Lavigne,Pop Rock,Composição: Mark Hoppus Blink-182 / Tom DeLonge. 
"All You Will Never Know
 
You're indecisive when it comes to making any plans
You're on the fence
You give me reasons I never seem to understand 
They don't make sense
All You Will Never Know
 
Maybe ain't enough for my heart
We'll see, ain't off to a great start
Baby, I want you to be mine 
You better hurry, cause if I change my mind
All You Will Never Know
 
You will never know 
What it means, to love me 
And you will never know 
What these two lips taste like to kiss 
You can just suppose what my body feels like to hold 
Hope you can deal with 
All you will never know
All You Will Never Know
 
I wanna know you, what's hiding behind this wall
Who you really are 
I wanna meet you on the other side of this charade 
Wherever the cards may fall
All You Will Never Know
 
I'm ready to give you my heart
Yeah, I'm willing to show up for my part
Baby, I want you to be mine 
You better hurry, cause if I change my mind
All You Will Never Know
 
You will never know 
What it means, to love me 
And you will never know 
What these two lips taste like to kiss 
You can just suppose what my body feels like to hold 
Hope you can deal with 
All you will never know
All You Will Never Know
 
About me, what I see, what I believe in 
How I breathe, when I weep
All You Will Never Know
 
You will never know 
What it means, to love me 
Oh, and you will never know 
What these two lips taste like to kiss 
You can just suppose what my body feels like to hold 
Hope you can deal with 
All you will never know


  Essa informação está errada? Nos avise. ",All You Will Never Know,Avril Lavigne,Pop Rock,Composição: Avril Lavigne. 
