Lyrics,Song,Artist,Genre,Composition
"100% Casamento
 
Você diz que sou ciumento 
Sou briguento, rabugento 
Que esse meu comportamento tá difícil de aturar 
Apesar desse argumento 
Te garanto 100%, isso acaba em casamento
100% Casamento
 
Diz que não tem cabimento 
Que virou um sofrimento 
Esse relacionamento tá na beira de acabar 
Contra todo esse argumento 
Te garanto 100%, isso acaba em casamento
100% Casamento
 
E depois do casamento 
Quando vai passando o tempo 
Tem chamego e xingamento 
Paixão, arrependimento 
Isso é que é um sentimento, ai, ai, ai 
100% casamento
100% Casamento
 
E depois do casamento 
Quando vai passando o tempo 
Tem chamego e xingamento 
Paixão, arrependimento 
Isso é que é um sentimento, ai, ai, ai 
100% casamento
100% Casamento
 
Você diz que sou ciumento 
Sou briguento, rabugento 
Que esse meu comportamento tá difícil de aturar 
Apesar desse argumento 
Te garanto 100%, isso acaba em casamento
100% Casamento
 
Diz que não tem cabimento 
Que virou um sofrimento 
Esse relacionamento tá na beira de acabar 
Contra todo esse argumento 
Te garanto 100%, isso acaba em casamento
100% Casamento
 
E depois do casamento 
Quando vai passando o tempo 
Tem chamego e xingamento 
Paixão, arrependimento 
Isso é que é um sentimento, ai, ai, ai 
100% casamento
100% Casamento
 
E depois do casamento 
Quando vai passando o tempo 
Tem chamego e xingamento 
Paixão, arrependimento 
Isso é que é um sentimento, ai, ai, ai 
100% casamento
100% Casamento
 
Isso é que é um sentimento, ai, ai, ai 
100% casamento


  Essa informação está errada? Nos avise. ",100% Casamento,Bruno e Marrone,Sertanejo,Composição: Elcio Barreti / Marcelo Tranquilli Barbosa / Elias Almeida / Fábio Caetano. 
"24 Horas de Amor
 
Quando acordei pela manhã 
Senti um perfume que há muito 
Muito tempo não sentia 
Olhei depressa ao meu redor 
E apalpei no seu lugar 
Em nossa cama tão vazia
24 Horas de Amor
 
Eu que cheguei dum sono bom 
Chorei ao ver tudo acabado 
Tanto amor, tanta doçura 
Mas o perfume era real 
Que acreditei estar ali 
Sua presença de ternura
24 Horas de Amor
 
E de repente vi 
Você sair com a toalha no seu corpo 
E se agarrar em mim 
Como nos velhos tempos de amor tão louco 
Nada mais sei de nós 
Porque morremos abraçados no desejo 
Na doação total 
Perdidos na loucura desses beijos
24 Horas de Amor
 
A tarde nos surpreendeu 
E no delírio do desejo 
Nem um pouco mais dormimos 
Porque o amor pedia bis 
E outra vez nos abraçamos 
Tudo de novo repetimos
24 Horas de Amor
 
E nesse fogo da paixão 
Vivemos 24 horas 
Sem sair de nossa alcova 
Esse prazer nunca parou 
Porque o nosso grande amor 
Todos os dias se renova
24 Horas de Amor
 
E de repente vi 
Você sair com a toalha no seu corpo 
E se agarrar em mim 
Como nos velhos tempos de amor tão louco 
Nada mais sei de nós 
Porque morremos abraçados no desejo 
Na doação total 
Perdidos na loucura desses beijos


  Essa informação está errada? Nos avise. ",24 Horas de Amor,Bruno e Marrone,Sertanejo,Composição: Carlos César / Jose Fortuna. 
"Abafa o Caso (part. Alexandre Pires)
 
Abafa o caso 
Eu não quero saber mais de fofoca 
Não pega no meu pé 
Não me provoca 
É feio se envolver na vida alheia 
Abafa o caso 
Me deixa no meu canto, numa boa 
Que graça tem viver 
Falando à toa? 
Já viu que eu tô feliz 
Não jogue areia
Abafa o Caso (part. Alexandre Pires)
 
Corta esse papo 
Pois o meu caso com ela 
É assunto meu e dela 
É assunto meu e dela 
Daqui a pouco vira novela das oito 
E cai na boca do povo 
E cai na boca do povo
Abafa o Caso (part. Alexandre Pires)
 
Não é da sua conta 
Se eu durmo com Vera, Elisa, Odete 
Não quero meu nome virando manchete 
Não quero dar mole pra complicação 
Sou um cara discreto 
A minha vida não é um livro aberto 
Não mexe comigo porque eu tô quieto 
Tem caso que pode virar confusão


  Essa informação está errada? Nos avise. ",Abafa o Caso (part. Alexandre Pires),Bruno e Marrone,Sertanejo,Composição: Bruno / Elias Muniz. 
"A Casa ao Lado
 
Estou sozinho, tenho a alma magoada 
Vida triste, abandonada, tô tentando te esquecer 
Mas é difícil, pois alguém da casa ao lado 
Vive com o rádio ligado, isso faz lembrar você
A Casa ao Lado
 
Todas as canções falam de amor e de prazer 
Sonhos e paixões que a gente sempre quis viver 
Só que o teu amor eu já não tenho aqui 
E tento não lembrar 
Mas a casa ao lado, o rádio a insistir 
Vai me fazer chorar
A Casa ao Lado
 
Acho que eu não fico mais um dia sem te ver 
Tá faltando tudo só por falta de você 
Vivo aquele amor que diz na letra da canção 
Faz rimar a dor de machucar meu coração
A Casa ao Lado
 
Acho que eu preciso novamente te encontrar 
Como diz na música que o rádio vai tocar 
Que você sem mim também está na solidão 
Acho que é melhor te procurar


  Essa informação está errada? Nos avise. ",A Casa ao Lado,Bruno e Marrone,Sertanejo,Composição: Sérgio Caetano / Mauro Jovani. 
"Acorrentado em Você
 
Eu não sei o que é que eu faço 
Estou num beco sem saída 
Não consigo tirar você da minha vida
Acorrentado em Você
 
Era só uma brincadeira 
Era só uma aventura 
De repente virou um vício 
De repente virou loucura
Acorrentado em Você
 
Eu não sei o que é que eu faço 
Por que é que eu fui brincar com fogo? 
O meu coração se distraiu 
E entregou o jogo
Acorrentado em Você
 
Faço tudo que posso, eu luto 
Pra quebrar essa corrente 
Eu me viro até do avesso 
Pra parar de pensar na gente
Acorrentado em Você
 
Mas na hora que dá vontade 
Não tem jeito, eu não me seguro 
Na batalha com a saudade 
Eu me rendo e te procuro 
Já cansei de brigar comigo 
E não consigo te esquecer 
Eu me sinto acorrentado em você
Acorrentado em Você
 
Eu não sei o que é que eu faço 
Por que é que eu fui brincar com fogo? 
O meu coração se distraiu 
E entregou o jogo
Acorrentado em Você
 
Faço tudo que posso, eu luto 
Pra quebrar essa corrente 
Eu me viro até do avesso 
Pra parar de pensar na gente
Acorrentado em Você
 
Mas na hora que dá vontade 
Não tem jeito, eu não me seguro 
Na batalha com a saudade 
Eu me rendo e te procuro 
Já cansei de brigar comigo 
E não consigo te esquecer 
Eu me sinto acorrentado em você
Acorrentado em Você
 
Mas na hora que dá vontade 
Não tem jeito (vai) eu não me seguro 
Na batalha com a saudade 
Eu me rendo e te procuro 
Já cansei de brigar comigo 
E não consigo te esquecer 
Eu me sinto acorrentado em você


  Essa informação está errada? Nos avise. ",Acorrentado em Você,Bruno e Marrone,Sertanejo,Composição: Eliaz Muniz. 
"A Culpa É Sua
 
O que acontece, meu amigo, o que é que há 
Diz o ditado: Pau que nasce torto, torto vai ficar 
Você passa o tempo todo pelas ruas da cidade 
E ela em casa te esperando com saudade 
Implorando a Deus pra te trazer de volta 
Ela é um anjo, doce criatura, companheira 
Que te espera a toda hora, a noite inteira 
Ansiosa pra te ver abrindo a porta
A Culpa É Sua
 
Vai se entregar pra quem só te engana 
E se apaixonar por quem não te ama 
Vai buscar amor nos cantos da rua 
Você vai chorar se ela for embora 
E de bar em bar é que um homem chora 
Sei que vai chorar, e a culpa é toda sua
A Culpa É Sua
 
O que acontece, meu amigo, o que é que há 
Diz o ditado: Pau que nasce torto, torto vai ficar 
Você passa o tempo todo pelas ruas da cidade 
E ela em casa te esperando com saudade 
Implorando a Deus pra te trazer de volta 
Ela é um anjo, doce criatura, companheira 
Que te espera a toda hora, a noite inteira 
Ansiosa pra te ver abrindo a porta
A Culpa É Sua
 
Vai se entregar pra quem só te engana 
E se apaixonar por quem não te ama 
Vai buscar amor nos cantos da rua 
Você vai chorar se ela for embora 
E de bar em bar é que um homem chora 
Sei que vai chorar, e a culpa é toda sua


  Essa informação está errada? Nos avise. ",A Culpa É Sua,Bruno e Marrone,Sertanejo,Composição: Bruno / Felipe / João Vitor. 
"A Dama da Noite (part. Bruno e Denner)
 
Toda noite vem buscar meu coração 
Levar o meu amor pra sua coleção 
Seu vício é dominar, seu toque é fatal 
Me ama como louca que parece real
A Dama da Noite (part. Bruno e Denner)
 
Quando nasce o Sol, eu olho para o lado 
Me vejo no espelho, meu corpo está marcado 
Ela já foi embora, sempre na mesma hora 
Provar outro sabor mas a noite ela volta
A Dama da Noite (part. Bruno e Denner)
 
Eu sei que vou 
Te esperar mais uma vez 
Dentro do quarto em minha cama 
Mais uma vez, me entregar ao seu veneno 
Já sabendo que não ama 
Mesmo sabendo que não ama
A Dama da Noite (part. Bruno e Denner)
 
Por que é tão maldita? 
A dama da noite dos meus sonhos 
A mulher que me faz perder o sono 
Que vem e vai e a saudade fica
A Dama da Noite (part. Bruno e Denner)
 
Por que é tão maldita? 
A dama da noite dos meus sonhos 
A mulher que me faz perder o sono 
Veneno que meu corpo necessita 
Por que é tão maldita?
A Dama da Noite (part. Bruno e Denner)
 
Eu sei que vou 
Te esperar mais uma vez 
Dentro do quarto em minha cama 
Mais uma vez 
Me entregar ao seu veneno, já sabendo que não ama 
Mesmo sabendo que não ama
A Dama da Noite (part. Bruno e Denner)
 
Por que é tão maldita? 
A dama da noite dos meus sonhos 
A mulher que me faz perder o sono 
Que vem e vai e a saudade fica
A Dama da Noite (part. Bruno e Denner)
 
Por que é tão maldita? 
A dama da noite dos meus sonhos 
A mulher que me faz perder o sono 
Veneno que meu corpo necessita 
Por que é tão maldita?


  Essa informação está errada? Nos avise. ",A Dama da Noite (part. Bruno e Denner),Bruno e Marrone,Sertanejo,Composição: Gustavo Alves / Juliano Tchula / Marília Mendonça. 
"A Dama de Vermelho
 
Garçom! 
Olhe pelo espelho 
A dama de vermelho 
Que vai se levantar
A Dama de Vermelho
 
Note que até a orquestra 
Fica toda em festa 
Quando ela sai para dançar
A Dama de Vermelho
 
Essa dama já me pertenceu 
E o culpado fui eu 
Da separação 
Hoje choro de ciúme 
Ciúme até do perfume 
Que ela deixa no salão
A Dama de Vermelho
 
Garçom amigo 
Apague a luz da minha mesa 
Eu não quero que ela note 
Em mim tanta tristeza
A Dama de Vermelho
 
Traga mais uma garrafa 
Hoje vou embriagar-me 
Quero dormir para não ver 
Outro homem te abraçar
A Dama de Vermelho
 
Garçom! 
Olhe pelo espelho 
A dama de vermelho 
Que vai se levantar
A Dama de Vermelho
 
Note que até a orquestra 
Fica toda em festa 
Quando ela sai para dançar
A Dama de Vermelho
 
Essa dama já me pertenceu 
E o culpado fui eu 
Da separação 
Hoje choro de ciúme 
Ciúme até do perfume 
Que ela deixa no salão
A Dama de Vermelho
 
Garçom amigo 
Apague a luz da minha mesa 
Eu não quero que ela note 
Em mim tanta tristeza
A Dama de Vermelho
 
Traga mais uma garrafa 
Hoje vou embriagar-me 
Quero dormir para não ver 
Outro homem te abraçar


  Essa informação está errada? Nos avise. ",A Dama de Vermelho,Bruno e Marrone,Sertanejo,Composição: Ado Benatti / Jeca Mineiro. 
"A Dois Graus
 
Quase um ano de espera 
Debruçado na janela 
Esperando você vir
A Dois Graus
 
Você prometeu voltar 
Quando o inverno chegar 
Pra ficar junto de mim
A Dois Graus
 
O verão já passou 
O inverno começou 
E você onde está?
A Dois Graus
 
Sinto frio surrar meu rosto 
Mas presentir meu corpo 
Sem você pra acalentar
A Dois Graus
 
Hoje a dois graus 
A neve está cobrindo a janela 
Não canso de ficar a sua espera 
O fogo na lareira lembra o seu calor
A Dois Graus
 
A noite vem 
E o vento diz seu nome a murmurar 
Um disco na vitrola faz lembrar 
Um pouco do que foi o nosso amor
A Dois Graus
 
Da vidraça embaçada 
Vejo a neve na calçada 
Não consigo adormecer
A Dois Graus
 
O meu corpo não te esquece 
Cobertor já não aquece 
Essa falta de você
A Dois Graus
 
Vejo a rua da varanda 
A cidade toda branca 
Pela neve que caiu
A Dois Graus
 
Meu inverno sem você 
É o mesmo que morrer 
Congelado nesse frio
A Dois Graus
 
Hoje a dois graus 
A neve está cobrindo a janela 
Não canso de ficar a sua espera 
O fogo na lareira lembra o seu calor
A Dois Graus
 
A noite vem 
E o vento diz seu nome a murmurar 
Um disco na vitrola faz lembrar 
Um pouco do que foi o nosso amor


  Essa informação está errada? Nos avise. ",A Dois Graus,Bruno e Marrone,Sertanejo,Composição: Santana / Alan / Mont'Alves / Don Gibson. 
"A Dona da Minha Raiva (part. Thiago & Graciano e George Henrique & Rodrigo)
 
Pesquisei no Google o que é cilada 
Olha o que apareceu 
De cabelo ruivo, balançando taça 
E um sorriso que meu Deus! 
Tira o juízo do povo 
Causa dependência amorosa 
Tem um olhar criminoso 
Um corpo cheiroso 
É uma boca gostosa 
É um caminho sem volta
A Dona da Minha Raiva (part. Thiago & Graciano e George Henrique & Rodrigo)
 
A dona da minha raiva 
Culpa dos meus erro 
Que fez eu virar lata 
E pitar paiero 
Fui dormir namorando acordei solteiro 
Achei que era sonho e era pesadelo


  Essa informação está errada? Nos avise. ",A Dona da Minha Raiva (part. Thiago & Graciano e George Henrique & Rodrigo),Bruno e Marrone,Sertanejo,Composição: Thiago Teg / Graciano Teg / Marco Esteves / Gabriel Pascoal. 
