Lyrics,Song,Artist,Genre,Composition
"911
 
911 
There's a riot in the kitchen and the bed's on fire
There's a locket in my pocket that I can't find
Oh I'm at the window whistling in the wind
I'm at my own front door and I can't get in
911
 
I'm dialing up 911
I'm on the brink of trouble again
If you could change the time, a little 
Then everything else would be 
Fine, fine, fine
911
 
Tell me do you have a home-made remedy 
The only time we talk is in your sleep 
Oh he likes mornings, I like the Moon 
It's a typical case of too late, too soon
911
 
I'm dialing up 911
I'm on the brink of trouble again
If you could change the time, a little 
Then everything else would be 
Fine, fine, fine
911
 
My back is in the corner 
My boat is taking on water 
You can't wrap fire up in paper
And you can't rap your way out of here
911
 
Oh I like mornings, he likes the Moon 
It's a typical case of too late, too soon
911
 
I'm dialing up 911
911 
There's a riot in the kitchen and the bed's on fire
There's a locket in my pocket that I can't find
Oh I'm at the window whistling in the wind
I'm at my own front door and I can't get in
911
 
I'm dialing up 911
I'm on the brink of trouble again
If you could change the time, a little 
Then everything else would be 
Fine, fine, fine
911
 
Tell me do you have a home-made remedy 
The only time we talk is in your sleep 
Oh he likes mornings, I like the Moon 
It's a typical case of too little, too soon
911
 
I'm dialing up 911
I'm on the brink of trouble again
If you could change the time, a little 
Then everything else would be 
Fine, fine, fine
911
 
My back is in the corner 
My boat is taking on water 
You can't wrap fire up in paper
And you can't rap your way out of here
911
 
Oh I like mornings, he likes the Moon 
It's a typical case of too late, too soon
911
 
I'm dialing up 911


  Essa informação está errada? Nos avise. ",911,Cyndi Lauper,,Composição: Cyndi Lauper / Stephen Broughton Lunt. 
"Above The Clouds
 
There's a place where the sun breaks through
And the wind bites cold and hard 
Stings my ears and 
Tears my eyes 
When the day starts to shout out loud
Above The Clouds
 
Stand tall 
And glide 
When you're all alone in the crowd
Don't fall
Don't hide
When you walk above the clouds 
When you walk above the clouds
Above The Clouds
 
When the light is against your face 
And your smile is soft and proud 
That's when you tell me all your fears
and all your dreams 
So sound
Above The Clouds
 
Stand tall 
And glide 
When you're all alone in the crowd
Don't fall
Don't hide
When you walk above the clouds 
When you walk above the clouds
Above The Clouds
 
I try and tell you 
to keep your head upright 
Don't swing your sword and shield against the night
Don't block your blessings, boy
You don't have to fight
You don't have to fight
Stand tall 
And glide 
When you're all alone in the crowd
Don't fall
Don't hide
When you walk above the clouds 
When you walk above the clouds


  Essa informação está errada? Nos avise. ",Above The Clouds,Cyndi Lauper,,Composição: Cyndi Lauper / Jed Leiber / Jeff Beck. 
"A Christmas Duel (com The Hives)
 
The Hives:
A Christmas Duel (com The Hives)
 
I bought no gift this year and I slept with your sister 
I know I should have thought twice before I kissed her 
but with the year we had last and the dress that she wore 
I just went along for the ride and I came back for more 
and I'm sorry baby
A Christmas Duel (com The Hives)
 
Cyndi Lauper
A Christmas Duel (com The Hives)
 
That's all ok hunny cause see I burned the tree this year
and I slept with your brother, I wrecked your daddies car 
and went down on your mother. 
I set your record collection on fire and said I never knew 
felt kind of bad about that and I know you did too 
So whatever you say, it's all fine by me
Who the fuck anyway wants a Christmas tree
A Christmas Duel (com The Hives)
 
Both:
A Christmas Duel (com The Hives)
 
'Cos the snow keeps on falling even though we were bad
It'll cover the filth, we should both just be glad.
and spend spend spend this Chris-Christmas together
A Christmas Duel (com The Hives)
 
The Hives:
A Christmas Duel (com The Hives)
 
I married you last year bet you thought I was sober..right 
but I was drunk as a skunk and I made a mistake 
This could all have been over
A Christmas Duel (com The Hives)
 
Cyndi Lauper:
A Christmas Duel (com The Hives)
 
Oh hunny please don't excuse your behavior
Cause I know you don't hear me and change your will
A Christmas Duel (com The Hives)
 
Both:
A Christmas Duel (com The Hives)
 
It's not all in my favor
So whatever you say, it's all fine by me
Who the fuck anyway wants a Christmas tree 
Cos the snow keeps on falling even though we were bad
It'll cover the filth, we should both just be glad
and spend spend spend this Chris-Christmas together 
and spend spend spend this Chris-Christmas together 
and spend spend spend this Chris-Christmas together 
and spend spend spend this Chris-Christmas together
A Christmas Duel (com The Hives)
 
Holding on without any reason 
cause something strong this holiday season 
So whatever you say, it's all fine by me
Who the fuck anyway wants a Christmas tree 
Cos the snow keeps on falling even though we were bad
It'll cover the filth, we should both just be glad
and spend spend spend this Christmas together 
and spend spend spend this Chris-Christmas together 
and spend spend spend this Chris-Christmas together 
and spend spend spend this Chris-Christmas together


  ",A Christmas Duel (com The Hives),Cyndi Lauper,,Sabe de quem é a composição? Envie pra gente.
"Across The Universe
 
Words are flowing out like endless rain into a paper cup, 
They slither while they pass, they slip away across the universe. 
Pools of sorrow, waves of joy, 
Are drifting through my open mind, 
Possessing and caressing me.
Across The Universe
 
Jai guru deva om 
Nothing's gonna change my world
Nothing's gonna change my world.
Across The Universe
 
Images of broken light which dance before me 
Like a million eyes, 
They call me on and on across the universe, 
Thoughts meander like a restless wind 
Inside a letterbox 
They tumble blindly as they make their way across the universe
Across The Universe
 
Jai guru deva om 
Nothing's gonna change my world
Nothing's gonna change my world
Nothing's gonna change my world
Nothing's gonna change my world.
Across The Universe
 
Sounds of laughter shades of earth are 
Ringing through my open ears exciting and inviting me 
Limitless undying love which shines around me like a million suns 
It calls me on and on across the universe
Across The Universe
 
Jai guru deva om 
Nothing's gonna change my world
Nothing's gonna change my world
Nothing's gonna change my world
Nothing's gonna change my world.
Across The Universe
 
Sounds of laughter shades of earth are 
Ringing through my open ears exciting and inviting me
Across The Universe
 
Jai guru deva om 
Nothing's gonna change my world
Nothing's gonna change my world
Nothing's gonna change my world
Nothing's gonna change my world.
Across The Universe
 
Jai guru deva 
Jai guru deva 
Jai guru deva om


  Essa informação está errada? Nos avise. ",Across The Universe,Cyndi Lauper,,Composição: John Lennon / Paul McCartney. 
"Ald Lang Syne
 
Should auld acquaintance be forgot 
And never brought to mind? 
Should auld acquaintance be forgot 
And days of auld lang syne?
Ald Lang Syne
 
For auld lang syne, my dear, 
For auld lang syne, 
We'll take a cup o' kindness yet
For auld lang syne.
Ald Lang Syne
 
And here's my hand my trusty frien 
And gie's a hand o' thine;
We'll take a right gude-willi waught
For days of auld lang syne.


  ",Ald Lang Syne,Cyndi Lauper,,Sabe de quem é a composição? Envie pra gente.
"All The Young Dudes
 
Well Billy rapped all night about his suicide 
How he kick it in the head when he was twenty-five 
Speed jive don't want to stay alive
When you're twenty-five
And Wendy's stealing clothes from Marks and Sparks
And Freedy's got spots from ripping off the stars from his face
Funky little boat race 
Television man is crazy saying we're juvenile deliquent wrecks
Oh man I need TV when I got T Rex 
Oh brother you guessed 
I'm a dude dad
All the young dudes (Hey dudes) 
Carry the news (Where are ya) 
Boogaloo dudes (Stand up Come on) 
Carry the news 
All the young dudes (I want to hear you) 
Carry the news (I want to see you) 
Boogaloo dudes (And I want to talk to you all of you) 
Carry the news
All The Young Dudes
 
Now Lucy looks sweet cause he dresses like a queen 
But he can kick like a mule it's a real mean team
But we can love oh yes we can love 
And my brother's back at home with his Beatles and his Stones
We never got it off on that revolution stuff 
What a drag too many snags 
Now I've drunk a lot of wine and I'm feeling fine
Got to race some cat to bed 
Oh is there concrete all around 
Or is it in my head 
Yeah 
I'm a dude dad
All the young dudes (Hey dudes) 
Carry the news (Where are ya) 
Boogaloo dudes (Stand up) 
Carry the news 
All the young dudes (I want to hear ya) 
Carry the news (I want to see you) 
Boogaloo dudes (And I want to relate to you) 
Carry the news 
All the young dudes (What dudes)
All The Young Dudes
 
Carry the news (Let's hear the news come on)
Boogaloo dudes (I want to kick you) 
Carry the news 
All the young dudes (Hey you there with the glasses) 
Carry the news (I want you) 
Boogaloo dudes (I want you at the front) 
Carry the news (Now you all his friends) 
All the young dudes (Now you bring him down cause I want him) 
Carry the news 
Boogaloo dudes (I want him right here bring him come on) 
Carry the news (Bring him here you go) 
All the young dudes (I've wanted to do this for years)
Carry the news (There you go) 
Boogaloo dudes (How do you feel) 
Carry the news


  Essa informação está errada? Nos avise. ",All The Young Dudes,Cyndi Lauper,,Composição: David Bowie. 
"All Through The Night
 
All through the night 
I'll be awake
And I'll be with you
All through the night 
This precious time 
When time is new
All Through The Night
 
Oh, all through the night today 
Knowing that we feel the same without saying
All Through The Night
 
We have no past, we won't reach back
Keep with me forward all through the night 
And once we start the meter clicks 
And it goes running all through the night 
Until it ends, there is no end
All Through The Night
 
All through the night 
Stray cat is crying 
So stray cat sings back 
All through the night 
They have forgotten 
What by day they lack
All Through The Night
 
Oh, under those white street lamps 
There is a little chance they may see
All Through The Night
 
We have no past, we won't reach back
Keep with me forward all through the night 
And once we start the meter clicks 
And it goes running all through the night 
Until it ends, there is no end
All Through The Night
 
Oh, the sleep in your eyes is enough 
Let me be there, let me stay there a while
All Through The Night
 
We have no past, we won't reach back
Keep with me forward all through the night 
And once we start the meter clicks 
And it goes running all through the night 
Until it ends, there is no end 
Keep with me forward all through the night 
And once we start the meter clicks 
And it goes running all through the night 
Until it ends, there is no end


  Essa informação está errada? Nos avise. ",All Through The Night,Cyndi Lauper,,Composição: Jules Shear / Jörgen Elofsson. 
"America The Beautiful
 
O beautiful for spacious skies 
For amber waves of grain 
For purple mountain majesties 
Above the fruited plain!
America The Beautiful
 
America! America! 
God shed his grace on thee 
And crown thy good with brotherhood 
From sea to shining sea!


  ",America The Beautiful,Cyndi Lauper,,Sabe de quem é a composição? Envie pra gente.
"A Night To Remember
 
I look out my window 
Into the pouring rain 
I wish I could tell you 
That I stopped hearing your name 
And then I realize every thought of you 
Runs a circle around my heart 
I hear your voice haunting me 
I feel your touch in the dark
A Night To Remember
 
It was a night to remember 
All your kisses I still taste 
It was a night to remember 
Can't forget the look on your face
It was a night
A Night To Remember
 
Starlight send a message 
Like a beacon into the night 
To tell you I'm lonely
When I shut out the light 
Because a part of me left with you 
So I feel lost inside 
Sometimes I look into my mirror 
I see you shining through my eyes
A Night To Remember
 
It was a night to remember 
All your kisses I still taste 
It was a night to remember 
Can't forget the look on your face
It was a night to remember
A Night To Remember
 
All these feelings I can't erase
From my heart
A Night To Remember
 
Endless dreams 
Around my shoulders 
I cannot free this restless heart
A Night To Remember
 
It was a night to remember 
...Not enough time for you to stay... 
...Can't forget the look on your face


  Essa informação está errada? Nos avise. ",A Night To Remember,Cyndi Lauper,,Composição: Cyndi Lauper / D. Micale / Franke Previte. 
"Anna Blue
 
Anna Blue oh 
Anna Blue oh 
Anna
Anna Blue
 
Not me, not you 
Just time and a sigh 
On a line look in fine print- 
The small town dream 
To be part of the scene 
You can wear it with a style 
In your eyes a story never spoken-
Anna Blue
 
Anna Blue oh 
Anne Blue oh 
Anna
Anna Blue
 
Just me, just you 
Just a wide eyed girl 
Turn around quick- 
I'm walkin' my high heeled shoes
And I'll be talkin' pretty smooth
Like some souped up cosmo girl 
In a stupifying world 
But before I fall I wake up crying 
Oh... when I sit back 
I'll sigh and think...


  ",Anna Blue,Cyndi Lauper,,Sabe de quem é a composição? Envie pra gente.
"Anna Blue (Blue Angel)
 
Anna Blue oh 
Anna Blue oh 
Anna
Anna Blue (Blue Angel)
 
Not me, not you 
Just time and a sigh 
On a line look in fine print- 
The small town dream 
To be part of the scene 
You can wear it with a style 
In your eyes a story never spoken-
Anna Blue (Blue Angel)
 
Anna Blue oh 
Anne Blue oh 
Anna
Anna Blue (Blue Angel)
 
Just me, just you 
Just a wide eyed girl 
Turn around quick- 
I'm walkin' my high heeled shoes
And I'll be talkin' pretty smooth
Like some souped up cosmo girl 
In a stupifying world 
But before I fall I wake up crying 
Oh... when I sit back 
I'll sigh and think...


  Essa informação está errada? Nos avise. ",Anna Blue (Blue Angel),Cyndi Lauper,,Composição: Cyndi Lauper / John Turi. 
"Another Brick In The Wall
 
Pink: We don't need no education,
We don't need no thought control.
No dark sarcasm in the classroom. 
Teacher, leave those kids alone! 
Hey, Teacher, leave those kids alone! 
All in all it's
Just another Brick In The Wall. 
All in all you're
Just another Brick In The Wall.


  Essa informação está errada? Nos avise. ",Another Brick In The Wall,Cyndi Lauper,,Composição: Roger Waters. 
"Another Brick In The Wall Part II
 
Pink: We don't need no education,
We don't need no thought control.
No dark sarcasm in the classroom. 
Teacher, leave those kids alone! 
Hey, Teacher, leave those kids alone! 
All in all it's
Just another Brick In The Wall. 
All in all you're
Just another Brick In The Wall.


  ",Another Brick In The Wall Part II,Cyndi Lauper,,Sabe de quem é a composição? Envie pra gente.
"A Part Hate
 
Somber sister 
This is a strange and bitter fruit 
Because you taught me to sing  
And the rhythm in my heart 
And the rhythm in my feet is -
A Part Hate
 
Why are the rainbows  
Stolen from the sky 
And locked up in boxes 
Yellow, black, red and white 
Like birds in their cages 
Beating their wings on the bars 
And there's a song that they're singing
It's a word in the world
It's a word in their hearts
A Part Hate
 
A part hate 
I heard a man say 
Tear apart hate 
And I saw hope in his face  
A part hate 
Where the color of love 
Slips away
A Part Hate
 
Why are the children 
Carrying guns, not books 
Drug dealing, not learning 
The golden rule 
And the idea of freedom 
Not just the same 
Castle in the sky 
Haunted by white-sheeted ghouls 
Filled with hate me 
And hate you 
And proud of it too
A Part Hate
 
A part hate  
Heard a woman saying 
Tear apart hate 
And I saw hope in her face 
A part hate 
Where the color of love  
Slips away
A Part Hate
 
Why are the people 
Running down the block 
Rock throwing, not knowing 
What else to do 
But I'm just a spectator
And I can never know the pain 
But when I hear 
That whip cracking 
I cry out tears of anger 
I cry out tears of shame
A Part Hate
 
A part hate 
I heard myself say  
Tear apart hate 
And I saw hope in my face 
A part hate 
Where the color of love  
Slips away...
A Part Hate
 
Tear apart hate tear apart hate 
Tear apart hate tear apart hate 
Tear apart hate tear apart hate...


  Essa informação está errada? Nos avise. ",A Part Hate,Cyndi Lauper,,Composição: Cyndi Lauper / David Thornton / Tom Gray. 
