Lyrics,Song,Artist,Genre,Composition
"24 Horas de Amor
 
Amor amigo 
Não sei porque ê ê, ê 
Fugiu de mim 
Sem me dizer 
Pra onde foi 
Cadê você?
24 Horas de Amor
 
Eu te procuro 
(Sem rancor..) 
Mas não te vejo 
(Onde for) 
É muito duro 
É inseguro 
O meu desejo...
24 Horas de Amor
 
É te amar 
(É te amar!) 
É te querer 
(É te querer!) 
24 horas sem cessar 
Meu grande amor 
Longe de ti 
(Não sei sorrir!) 
Sinto 
Até saudades de mim 
Diga que não 
Chegou ao fim...
24 Horas de Amor
 
É te amar 
(É te amar!) 
É te querer 
(É te querer) 
24 horas sem cessar 
Meu grande amor 
Longe de ti 
(Não sei sorrir) 
Sinto 
Até saudades de mim...
24 Horas de Amor
 
Amor amigo 
Não sei porquê, ê, ê 
Fugiu de mim 
Sem me dizer 
Pra onde foi 
Cadê você?...
24 Horas de Amor
 
Eu te procuro 
(Sem rancor!) 
Mas não te vejo 
(Onde vou!) 
É muito duro 
É inseguro 
O meu desejo...
24 Horas de Amor
 
É te amar 
(É te amar!) 
É te querer 
(É te querer!) 
24 horas sem cessar 
Meu grande amor 
Longe de ti 
(Não sei sorrir!) 
Sinto 
Até saudades de mim 
Diga que não 
Chegou ao fim...
24 Horas de Amor
 
É te amar 
(É te amar!) 
É te querer 
(É te querer) 
24 horas sem cessar 
Meu grande amor 
Longe de ti 
(Não sei sorrir) 
Sinto 
Até saudades de mim...
24 Horas de Amor
 
Láia, Láia, Láia, Láia..
24 Horas de Amor
 
24 horas sem cessar 
Meu grande amor 
Longe de ti 
(Não sei sorrir) 
Sinto 
Até saudades de mim...


  Essa informação está errada? Nos avise. ",24 Horas de Amor,Exaltasamba,Pagode,Composição: Rubens Cazagrande / Rui de Queróz de Souza. 
"40 Graus de Amor
 
Meu coração é o teu lugar 
Meu coração quer te abrigar 
Eu te amo tanto, preciso de você 
Eu te amo tanto, meu mundo é você
40 Graus de Amor
 
Lá fora não existe amor 
Sincero como o meu amor 
Eu sei, tão puro e cheio de emoção 
Eu sei, nós dois somos iguais 
Os nossos ideais, paixão, ternura e paz
40 Graus de Amor
 
É só você entrar aqui é o seu lugar, te amo 
Meu coração está no fogo prá te amar, queimando 
É só você chegar quero te abraçar 
Deita no meu peito e sente o meu calor 
Quarenta graus de amor, perfeito
40 Graus de Amor
 
É só você entrar aqui é o seu lugar, te amo 
Meu coração está no fogo prá te amar, queimando 
É só você chegar quero te abraçar 
Deita no meu peito e sente o meu calor 
Quarenta graus de amor, perfeito
40 Graus de Amor
 
Meu coração é o teu lugar 
Meu coração quer te abrigar 
Eu te amo tanto, preciso de você 
Eu te amo tanto, meu mundo é você
40 Graus de Amor
 
Lá fora não existe amor 
Sincero como o meu amor 
Eu sei, tão puro e cheio de emoção 
Eu sei, nós dois somos iguais 
Os nossos ideais, paixão, ternura e paz
40 Graus de Amor
 
É só você entrar aqui é o seu lugar, te amo 
Meu coração está no fogo prá te amar, queimando 
É só você chegar quero te abraçar 
Deita no meu peito e sente o meu calor 
Quarenta graus de amor, perfeito
40 Graus de Amor
 
É só você entrar aqui é o seu lugar, te amo 
Meu coração está no fogo prá te amar, queimando 
É só você chegar quero te abraçar 
Deita no meu peito e sente o meu calor 
Quarenta graus de amor, perfeito
40 Graus de Amor
 
Meu coração é o teu lugar


  Essa informação está errada? Nos avise. ",40 Graus de Amor,Exaltasamba,Pagode,Composição: Delcio Luiz / Pezinho. 
"Abandonado
 
No Pagode é
Abandonado
 
Lá lá ia, lá ia, lá ia, lá ia 
Lá lá ia, lá ia, lá ia, lá ia 
Lá lá ia, lá ia, lá ia, lá ia 
Lá lá ia, lá ia, lá ia, lá ia
Abandonado
 
Abandonado, assim que eu me sinto longe de você 
Despreparado, meu coração dá pulo perto de você 
E quanto mais o tempo passa, mais aumenta essa vontade 
O que posso fazer? 
Se quando beijo outra boca 
Lembro sua voz tão rouca me pedindo pra fazer 
Carinho gostoso, amor venenoso
Abandonado
 
Tô preocupado, será que não consigo mais te esquecer? 
Desesperado, procuro uma forma de não te querer 
Mas quando a gente se encontra, o amor sempre apronta 
Não consigo conter 
Por mais que eu diga que não quero 
Toda noite te espero com vontade de fazer 
Carinho gostoso, amor venenoso
Abandonado
 
Faz amor comigo, sem ter hora pra acabar 
Mesmo que for só por essa noite 
Eu não quero nem saber, quero amar você 
Faz amor comigo até o dia clarear 
Tô ligado, sei que vou sofrer 
Mas eu não quero nem saber, quero amar você
Abandonado
 
Faz amor comigo, sem ter hora pra acabar 
Mesmo que for só por essa noite 
Eu não quero nem saber, quero amar você 
Faz amor comigo até o dia clarear 
Tô ligado, sei que vou sofrer 
Mas eu não quero nem saber, quero amar você
Abandonado
 
Abandonado, assim que eu me sinto longe de você 
Despreparado, meu coração dá pulo perto de você 
E quanto mais o tempo passa, mais aumenta essa vontade 
O que posso fazer? 
Se quando beijo outra boca 
Lembro sua voz tão rouca me pedindo pra fazer 
Carinho gostoso, amor venenoso
Abandonado
 
Tô preocupado, será que não consigo mais te esquecer? 
Desesperado, procuro uma forma de não te querer 
Mas quando a gente se encontra, o amor sempre apronta 
Não consigo conter 
Por mais que eu diga que não quero 
Toda noite te espero com vontade de fazer 
Carinho gostoso, amor venenoso
Abandonado
 
Faz amor comigo, sem ter hora pra acabar 
Mesmo que for só por essa noite 
Eu não quero nem saber, quero amar você 
Faz amor comigo até o dia clarear 
Tô ligado, sei que vou sofrer 
Mas eu não quero nem saber, quero amar você
Abandonado
 
Faz amor comigo, sem ter hora pra acabar 
Mesmo que for só por essa noite 
Eu não quero nem saber, quero amar você 
Faz amor comigo até o dia clarear 
Tô ligado, sei que vou sofrer 
Mas eu não quero nem saber, quero amar você
Abandonado
 
Lá lá ia, lá ia, lá ia, lá ia 
Lá lá ia, lá ia, lá ia, lá ia 
Lá lá ia, lá ia, lá ia, lá ia 
Lá lá ia, lá ia, lá ia, lá ia
Abandonado
 
Abandonado, assim que eu me sinto longe de você!


  Essa informação está errada? Nos avise. ",Abandonado,Exaltasamba,Pagode,Composição: Pedro Pezinho / Thiaguinho. 
"Acaba Tudo Bem
 
La laia laia laia laia (2x)
Acaba Tudo Bem
 
É esse amor da gente que provoca tanta confusão 
Às vezes causa medo que sufoco não é brinquedo não 
Amor de adolescente, inconseqüente que age sem pensar 
E assim tão de repente, olha aí gente, que paixão
Acaba Tudo Bem
 
Me amarro nesse amor 
E esse amor quando é assim, só alegria 
Adoro teu calor quem dera fosse assim todo dia
Acaba Tudo Bem
 
Eu tô legal, até me acostumei com seu humor 
O baixo astral, tá longe dessa onda de caô 
Ta na moral, a gente vive nesse vai e vem 
Mas no final, acaba tudo bem
Acaba Tudo Bem
 
La laia laia laia laia (2x)


  Essa informação está errada? Nos avise. ",Acaba Tudo Bem,Exaltasamba,Pagode,Composição: Andre Lemos / Billy SP. 
"A Carta
 
Não existem mais palavras 
Que eu possa escrever 
Pra falar de tanto amor 
Entenda por favor
A Carta
 
Que uma carta é muito pouco 
Para revelar o retrato da tristeza
A Carta
 
E a cicatriz da saudade 
Que você deixou no meu peito 
Tatuagem de amor, não tem jeito 
Nunca vai sair de mim esta dor 
Entenda o que eu vou te dizer
A Carta
 
Dois pontos, vem 
De volta pro meu coração 
Exclamação
A Carta
 
Não posso viver sem você 
Não tenho razão nem porquê 
Me acostumar com a saudade 
Nem vírgula vai separar
A Carta
 
Nessa oração 
Teu nome da minha paixão 
Não leve a mal 
Eu sei que não sou escritor 
É só uma carta de amor 
De alguém que te quer de verdade


  Essa informação está errada? Nos avise. ",A Carta,Exaltasamba,Pagode,Composição: Aloysio Reis / Delcio Luiz. 
"Aceita Paixão
 
Eu não quero nem saber 
Deixa o povo fofocar 
O importante é ter você 
Pois ao meu lado é teu lugar
Aceita Paixão
 
E daí o que vão dizer 
Temos que aproveitar 
Esse lance eu e você 
Sempre vai dar o que falar
Aceita Paixão
 
Só porque eu vou pra noite 
Chego em casa com o sol 
Sou presença no pagode 
Não largo meu futebol 
Quem me ver, me vê sorrindo 
E vai ser sempre assim
Aceita Paixão
 
Olha eu já to preparado 
Pro que pode acontecer 
Quando a inveja é pesada 
O trabalho é bem feito 
Não pague pra ver 
Mas o meu corpo é fechado 
Menos o meu coração 
Que abre desesperado pedindo calado 
Aceita paixão (2x)


  Essa informação está errada? Nos avise. ",Aceita Paixão,Exaltasamba,Pagode,Composição: Gabriel Barriga / Thiaguinho. 
"Acordar Com Você
 
Vim tentar te dizer 
Que foi bom ter você 
É paixão, pode crer 
Me entreguei sem querer(2x)
Acordar Com Você
 
A felicidade me encontrou 
E veio me dizer que é você 
O meu grande amor, o meu bem querer 
A noite a nossa cama é o nosso lar 
A madrugada a lua vem pra ver 
Sem a gente notar ja vai amanhecer 
Foi tao lindo sonhar e acordar com você
Acordar Com Você
 
Vim tentar te dizer 
Que foi bom ter você 
É paixão, pode crer 
Me entreguei sem querer(3x)


  ",Acordar Com Você,Exaltasamba,Pagode,Sabe de quem é a composição? Envie pra gente.
"A Gente Bota Pra Quebrar
 
Lelelelelelele lá em casa 
Lelelelelelele na cama 
Lelelelelelele tirando a roupa toda
A Gente Bota Pra Quebrar
 
Hoje você não se zanga 
Quando eu vou pro samba 
Você vem, comigo e faz a festa 
Olha que maneiro 
Tem tamborim, pandeiro 
Cavaco e violão 
Amor à beça
A Gente Bota Pra Quebrar
 
Quando chega sexta-feira 
Eu vou pra pagodeira e você não 
Se cansa de pagode 
Dança miudinho, vem no sapatinho 
Agita no refrão 
E se sacode
A Gente Bota Pra Quebrar
 
Meu samba com carinho te faz feliz, feliz 
E tudo nessa vida é você 
Exalta, Exalta 
Se arruma fica linda que eu tô chegando aí 
Espera que essa noite é você 
No show
A Gente Bota Pra Quebrar
 
No samba a gente bota pra quebrar 
Ninguém segura a gente 
A cuíca chora e faz o povo todo balançar 
De um lado pro outro 
Pra trás e pra frente
A Gente Bota Pra Quebrar
 
Lelelelelelele lá em casa 
Lelelelelelele na cama 
Lelelelelelele tirando a roupa toda


  Essa informação está errada? Nos avise. ",A Gente Bota Pra Quebrar,Exaltasamba,Pagode,Composição: Alexandre Pezão / André Lemas. 
"A Gente Faz a Festa (part. Mr Catra)
 
Ela curte um funk 
Ela é de balada 
Ela gosta da night, ela é de beber 
Dá um rolé junto com as amigas 
E só volta pra casa ao amanhecer
A Gente Faz a Festa (part. Mr Catra)
 
Vive a vida tão intensamente 
Não vejo maldade, é só curtição 
Quando a gente ama não vemos defeito 
Ela é a dona do meu coração
A Gente Faz a Festa (part. Mr Catra)
 
Quando existe sentimento 
A gente vê por dentro 
A gente chuta o balde 
A gente faz amor 
Tudo é tão perfeito, puro e verdadeiro 
Tudo é cem por cento quando existe amor
A Gente Faz a Festa (part. Mr Catra)
 
Se faltar dinheiro, o amor inteira 
Em qualquer momento o amor é professor 
Quando existe amor, fidelidade impera 
Tudo dá saudade, nada causa dor
A Gente Faz a Festa (part. Mr Catra)
 
De dia ela que dá um trampo 
De noite sou eu 
E mesmo com o desencontro, a gente se escolheu 
Feito o sol e a lua, a história continua 
Nosso romance com certeza foi Deus quem escreveu
A Gente Faz a Festa (part. Mr Catra)
 
E mesmo com tanta fofoca 
A gente tá aí, se amando e se respeitando pra não destruir 
Tanto entrosamento, vamos ser exemplo 
De amor e honestidade sem se dividir
A Gente Faz a Festa (part. Mr Catra)
 
A gente se completa 
A gente faz a festa 
De dia, de noite, no carro, na rua 
Tudo de bom, beleza pura
A Gente Faz a Festa (part. Mr Catra)
 
A gente se completa 
A gente faz a festa 
De dia, de noite, no carro, na rua 
Quando é paixão ninguém segura


  Essa informação está errada? Nos avise. ",A Gente Faz a Festa (part. Mr Catra),Exaltasamba,Pagode,Composição: Thiaguinho. 
"Ainda É Tudo Seu Aqui
 
(Luiza) 
Ainda tenho tantas coisas pra te dizer 
E saber. 
Você que sempre me ganha 
Antes de me perder 
Me faz ver. 
Em cada melodia e letra que eu vou escrever 
Tem você. 
Sua boca me leva aonde vou me perder 
Mesmo se não for pra sempre 
Volto pra te buscar 
Mesmo que eu siga em frente 
Um dia vou te leva, 
Mas não vá. 
Ainda é tudo seu aqui 
É tudo seu. 
(Thiaguinho) 
As horas vivem com pressa 
Eu ando devagar. 
Segredos moram comigo 
Eu gosto de contar, pro céu. 
A vida inteira é muito pouco só pra começar 
Desvendar. 
E quando os olhos se esquentam, 
Eu perco a direção e a razão. 
(Luiza e Thiaguinho) 
Mesmo se não for pra sempre 
Volto pra te buscar. 
Mesmo que eu siga em frente 
Um dia vou te levar, 
Mas não, não, vá não. 
Ainda é tudo seu aqui,é tudo seu 
Ainda é tudo seu aqui,é tudo seu 
Ainda é tudo seu aqui,é tudo seu 
Ainda é tudo seu aqui,é tudo seu 
Mesmo se não for pra sempre 
Volto pra te buscar. 
Mesmo que eu siga em frente 
Um dia vou te levar, 
Mas não vá,não,não,não vá. 
Ainda é tudo seu aqui,é tudo seu 
Ainda é tudo seu aquié tudo seu 
Ainda é tudo seu aqui,é tudo seu 
Ainda é tudo seu aqui, ainda é tudo seu 
E sempre vai ser seu. 
Ainda é tudo seu,tudo seu. 
Ainda é tudo seu,tudo seu, 
Ainda é tudo seu,tudo seu.


  ",Ainda É Tudo Seu Aqui,Exaltasamba,Pagode,Sabe de quem é a composição? Envie pra gente.
