Lyrics,Song,Artist,Genre,Composition
"0% Habilidade, 100% Sorte (Com Haaland, CR7 e Mais!)
 
Como assim? 
Foi gol?!
0% Habilidade, 100% Sorte (Com Haaland, CR7 e Mais!)
 
É que tem jogador que é muito cagado 
Que tira a sorte grande, os maluco é largo 
Isso é magia, os cara até se surpreende 
Se a bola ele isola, o vento contorna pra frente
0% Habilidade, 100% Sorte (Com Haaland, CR7 e Mais!)
 
Que cagão, bateu na trave 
Goleirão ficou no quase 
Quase parou nos zagueiro 
Quase parou no goleiro 
Quase que entra essa bola 
Acho que ela entra depois no replay
0% Habilidade, 100% Sorte (Com Haaland, CR7 e Mais!)
 
Isso foi sorte, sorte, sorte 
Tu nem quis, quis, quis 
1.000 sorte e 0 talento, eu vendo não cri 
Isso foi sorte, sorte, sorte 
Tu nem quis, quis, quis 
Cagada das grandes, baby, pode assumir
0% Habilidade, 100% Sorte (Com Haaland, CR7 e Mais!)
 
Não adianta me falar que tinha a intenção, não 
Todo mundo vendo que cê é um baita dum cagão
0% Habilidade, 100% Sorte (Com Haaland, CR7 e Mais!)
 
Isso foi sorte, sorte, sorte 
Tu nem quis, quis, quis 
1.000 sorte e 0 talento, eu vendo não cri (cagou-se) 
Eu vendo não cri
0% Habilidade, 100% Sorte (Com Haaland, CR7 e Mais!)
 
O Henry nem chutou, nem se deu ao trabalho 
Modric no descanso fez um gol deitado 
O Sancho chia e ganha o gol de presente 
O Cris nem viu a bola e a bola surgiu na sua frente
0% Habilidade, 100% Sorte (Com Haaland, CR7 e Mais!)
 
Goleirão pôs fé na trave 
Rebateu, tomou nas partes 
Hack tá on que eu sei 
Tá com pezinho de coelho 
Até num lance dos cara 
A sorte concede um gol pra vocês
0% Habilidade, 100% Sorte (Com Haaland, CR7 e Mais!)
 
Isso foi sorte, sorte, sorte 
Tu nem quis, quis, quis 
1. 000 sorte e 0 talento, eu vendo não cri 
Isso foi sorte, sorte, sorte 
Tu nem quis, quis, quis 
Cagada das grandes, baby, pode assumir
0% Habilidade, 100% Sorte (Com Haaland, CR7 e Mais!)
 
Não adianta me falar que tinha a intenção, não 
Todo mundo vendo que cê é um baita dum cagão
0% Habilidade, 100% Sorte (Com Haaland, CR7 e Mais!)
 
Isso foi sorte, sorte, sorte 
Tu nem quis, quis, quis 
1.000 sorte e 0 talento, eu vendo não cri 
Eu vendo não cri (que sorte) 
Que cagão, que cagão, que cagão (uou)


  ","0% Habilidade, 100% Sorte (Com Haaland, CR7 e Mais!)",FutParódias,,Sabe de quem é a composição? Envie pra gente.
"1 Ano Sem o Rei: Pelé Eterno! Nosso Adeus Ao Maior de Todos
 
Nosso Rei se foi 
Pra junto ao Senhor 
É o adeus a quem 
Foi além dos gols
1 Ano Sem o Rei: Pelé Eterno! Nosso Adeus Ao Maior de Todos
 
Fez da 10 eterna 
Encantou a Terra 
Virou o maior 
E parou uma guerra
1 Ano Sem o Rei: Pelé Eterno! Nosso Adeus Ao Maior de Todos
 
O cara já fez tudo 
O cara ergueu de tudo 
O que só gênio faz 
Pelé já fez lá atrás
1 Ano Sem o Rei: Pelé Eterno! Nosso Adeus Ao Maior de Todos
 
É o único a ser tri 
Só um é Rei assim 
Mil craques passarão 
Mas rei é um só, irmão
1 Ano Sem o Rei: Pelé Eterno! Nosso Adeus Ao Maior de Todos
 
Não existe fim 
Pro maior que há 
O Rei foi descansar 
Mas sempre viverá
1 Ano Sem o Rei: Pelé Eterno! Nosso Adeus Ao Maior de Todos
 
É o real GOAT 
Maior não há 
O Rei foi descansar 
Mas sempre viverá
1 Ano Sem o Rei: Pelé Eterno! Nosso Adeus Ao Maior de Todos
 
Mil gols sem dó 
Brilho tal qual o Sol 
Soco lá no ar 
Rei do Futebol
1 Ano Sem o Rei: Pelé Eterno! Nosso Adeus Ao Maior de Todos
 
Que se foi e fez 
A emoção bater 
E o mundo chorar 
Em respeito ao Rei
1 Ano Sem o Rei: Pelé Eterno! Nosso Adeus Ao Maior de Todos
 
Com 17 e tal 
Surgiu, foi letal 
Brasil campeão do mundo 
Com o manto azul
1 Ano Sem o Rei: Pelé Eterno! Nosso Adeus Ao Maior de Todos
 
E pouco a pouco, assim 
Provava ser o King 
Santos ou Seleção 
Cansou de ser campeão
1 Ano Sem o Rei: Pelé Eterno! Nosso Adeus Ao Maior de Todos
 
Não existe fim 
Pro maior que há 
O Rei foi descansar 
Mas sempre viverá
1 Ano Sem o Rei: Pelé Eterno! Nosso Adeus Ao Maior de Todos
 
É o real GOAT 
Maior não há 
O Rei foi descansar 
Mas sempre viverá
1 Ano Sem o Rei: Pelé Eterno! Nosso Adeus Ao Maior de Todos
 
Não tem maior que o Rei 
Só Copa ele tem 3 
Brasil se agigantou 
Porque Pelé reinou
1 Ano Sem o Rei: Pelé Eterno! Nosso Adeus Ao Maior de Todos
 
O Brasa hoje tá 
No primeiro lugar 
Porque ele é sem igual 
Porque ele foi o tal
1 Ano Sem o Rei: Pelé Eterno! Nosso Adeus Ao Maior de Todos
 
Não existe fim 
Pro maior que há 
O Rei foi descansar 
Mas sempre viverá
1 Ano Sem o Rei: Pelé Eterno! Nosso Adeus Ao Maior de Todos
 
É o real GOAT 
Maior não há 
O Rei foi descansar 
Mas sempre viverá


  ",1 Ano Sem o Rei: Pelé Eterno! Nosso Adeus Ao Maior de Todos,FutParódias,,Sabe de quem é a composição? Envie pra gente.
"2 x 0 - Brasil Manda o México Pra Casa
 
Eu tava todo verde e amarelo 
Mais tenso que um Duro de Matar 
Com desespero igual o do Maradona 
Quando eu vi os Chespirito pressionando pra danar
2 x 0 - Brasil Manda o México Pra Casa
 
Mas foi na hora em que eu iria ter um infarto 
Que a Seleça resolveu jogar 
Deu gás e tomou conta do pedaço 
Ficou fácil, um abraço, México, até mais
2 x 0 - Brasil Manda o México Pra Casa
 
Nosso Brasa não tá perdoando 
Que ataque brabo de deter 
E da zaga não está passando nem 3G
2 x 0 - Brasil Manda o México Pra Casa
 
Vamo dar tchauzinho pros mexicanos 
Só vão ver a Copa da TV 
Ou vão preferir se alegrar com RBD?
2 x 0 - Brasil Manda o México Pra Casa
 
Palmas para o Willian 
Incandescente 
Deu uma turbinada e tá jogando pra valer 
O Brasa envolveu os mexicano na tortilla pra comer 
Burrito de se ver
2 x 0 - Brasil Manda o México Pra Casa
 
Jogo em Samara 
E de repente 
Surge um Chamado na minha televisão 
Era um torcedor, que susto, mas deu sorte para a Seleção
2 x 0 - Brasil Manda o México Pra Casa
 
Ney foi pra cima e, craque, jogou sério 
Mas quase não deu pra se controlar 
Com jeito de criança apelona 
O México irado pensou que era MMA
2 x 0 - Brasil Manda o México Pra Casa
 
Pisou até no tornozelo machucado 
E outra vez me aborreci com o VAR 
Eis que William e Ney num jogadaço 
Alegraços vão pro abraço pra comemorar
2 x 0 - Brasil Manda o México Pra Casa
 
Imitando o Quico chorando 
Mais que um filhote de neném? 
Ou CS GO com o clã dibrando a flash bang?
2 x 0 - Brasil Manda o México Pra Casa
 
Minha nossa, cês tão vacilando 
Não é tão difícil perceber 
É o Firmino com o sorriso Ultra-White A3
2 x 0 - Brasil Manda o México Pra Casa
 
Que arcada zica 
Quinhentos dente 
Deixa qualquer zaga a ponto de ter AVC 
E até usou isso pra cegar os mexicano e receber 
O passe pra fazer
2 x 0 - Brasil Manda o México Pra Casa
 
Canarinho amada 
Vamo pra frente! 
Faltam só 3 jogos para o hexa, irmão 
Ney montado em urso vai erguer a taça pra nossa nação


  Essa informação está errada? Nos avise. ",2 x 0 - Brasil Manda o México Pra Casa,FutParódias,,Composição: Dezão / Leon Whosoever. 
"2x1: O Hexa Foi Adiado Pela Bélgica
 
É o futebol é assim 
Nem sempre dá pra ganhar
2x1: O Hexa Foi Adiado Pela Bélgica
 
Não adiantou o Chamado ir pra se unir 
Com o Canarinho. A dupla lá não foi capaz 
De dar um trato, no adversário. Que trem chato! 
Nas costas eu vi marcada aquela derrota, que apavora 
E, num gol contra lazarento, a nossa Copa 
Se pôs a desandar, se pôs a desandar
2x1: O Hexa Foi Adiado Pela Bélgica
 
Acreditei que o Brasa ia ganhar 
Se até o Japão chegou a assustar 
Mas o destino deu um tapa em mim 
Tô mais perdido que o Fernandinho, tontinho
2x1: O Hexa Foi Adiado Pela Bélgica
 
Que falta fez o Cão ali para latir 
O Casemiro ia trombar, ia brigar 
Com o Lukaku, que boizão brabo! Tô frustrado! 
Faltou matar o contra-ataque na hora, é coisa de escola 
De Bruyne ainda acertou aquela bola 
Eu não quero lembrar, eu não quero lembrar
2x1: O Hexa Foi Adiado Pela Bélgica
 
Faltou mais gente para repassar 
A capivara no grupo do zap 
Com Douglas Costa achei que ia fluir 
Incendiou, mas deu ruim mesmo assim
2x1: O Hexa Foi Adiado Pela Bélgica
 
Assim, iêêê, uôôô 
Assim, iêêê, uôôô
2x1: O Hexa Foi Adiado Pela Bélgica
 
Eu me sacudi, s-s-sacudi, me iludi 
Com o golzinho, o golzinho do Renato
2x1: O Hexa Foi Adiado Pela Bélgica
 
Mas o prazo já estava apertado 
E não deu pra empatar
2x1: O Hexa Foi Adiado Pela Bélgica
 
Mas sei que a sexta estrela logo vai chegar 
E desa vez nós demos foi Hazard 
2022 é logo ali 
Vamo Qatar essa taça aí
2x1: O Hexa Foi Adiado Pela Bélgica
 
Aí, iêêê, uôôô 
Aí, iêêê, uôôô


  ",2x1: O Hexa Foi Adiado Pela Bélgica,FutParódias,,Sabe de quem é a composição? Envie pra gente.
"3x0 - Corinthians É Atropelado Pelo Del Valle e Tá Fora da Liberta!
 
Suquinho gostoso 
Timão deu flw 
Tchau, calvinho!
3x0 - Corinthians É Atropelado Pelo Del Valle e Tá Fora da Liberta!
 
Do galo, passou e se achou o bruto 
Encheu a boca pra beber o del vallinho lá na vez 
Que fla e São Paulo tomaram no suco
3x0 - Corinthians É Atropelado Pelo Del Valle e Tá Fora da Liberta!
 
Mas o suco te lambeu 
Foi pau na arena e no Equador também 
Pra quem achava que o pôjeto ia dar play 
Doeu, eu sei
3x0 - Corinthians É Atropelado Pelo Del Valle e Tá Fora da Liberta!
 
Levou amasso no placar 
O suco de caixa, cê tomou em outro lugar 
Sabe a esperança boba do corinthians? 
Foi por água abaixo, durou nem sete dias (num deu! Vem!)
3x0 - Corinthians É Atropelado Pelo Del Valle e Tá Fora da Liberta!
 
Corinthiano, quer um doril? 
Seu brilho sumiu! (toma!) 
Créu no pofexô 
Ei, neto, dá um beijinho no suco do Equador
3x0 - Corinthians É Atropelado Pelo Del Valle e Tá Fora da Liberta!
 
Corinthiano, quer um doril? 
Seu brilho sumiu! 
Suco tava forte, com um gostinho de morte 
Chocolate na glote
3x0 - Corinthians É Atropelado Pelo Del Valle e Tá Fora da Liberta!
 
Que suquinho gostoso! 
Foi créu nos andes
3x0 - Corinthians É Atropelado Pelo Del Valle e Tá Fora da Liberta!
 
O pôjeto derreteu 
Mal no br, na liberta tchau e amém 
Tomando 3 na cara, teve até do ex 
Doeu, eu sei
3x0 - Corinthians É Atropelado Pelo Del Valle e Tá Fora da Liberta!
 
Pobre motoca que foi lá 
Tomou uma naba e já não quer nem mais voltar 
Timão tá longe de sair da sina 
Dupla yuri e calvo só sabe de dancinha (dancinha!)
3x0 - Corinthians É Atropelado Pelo Del Valle e Tá Fora da Liberta!
 
Corinthiano, quer um doril? 
Seu brilho sumiu! 
Créu no pofexô 
Ei, neto, dá um beijinho no suco do Equador 
(Que suquinho, hein, cássio?)
3x0 - Corinthians É Atropelado Pelo Del Valle e Tá Fora da Liberta!
 
Corinthiano, quer um doril? 
Seu brilho sumiu! 
Suco tava forte, com um gostinho de morte 
Chocolate na glote
3x0 - Corinthians É Atropelado Pelo Del Valle e Tá Fora da Liberta!
 
Tenta outro esporte, cada dia é um sacode 
Cada dia é um sacode
3x0 - Corinthians É Atropelado Pelo Del Valle e Tá Fora da Liberta!
 
Que suquinho gostoso! 
Foi créu nos andes


  ",3x0 - Corinthians É Atropelado Pelo Del Valle e Tá Fora da Liberta!,FutParódias,,Sabe de quem é a composição? Envie pra gente.
"3X0 - Cristiano Ronaldo Destrói o Atlético
 
Alô 
Eu gostaria de falar com o Atlético 
Saber porque no Bernabéu ele não entrou 
Será que é medo do cão bravo Casemito? 
Ó o cão! O Real tá sinistro 
Só tem craque de bola 
Perseguindo o título da Champions league e da Liga Espanhola
3X0 - Cristiano Ronaldo Destrói o Atlético
 
Tô até estranhando que a final tá chegando 
E o Real só gastou uma cabeçada mística do Sergio Ramos 
Já virou freguesia 
É gravíssimo o estágio 
Essa zica é tão forte 
que o Atlético vai demolir seu estádio
3X0 - Cristiano Ronaldo Destrói o Atlético
 
É a quarta vez seguida, da Champions se despede 
Não dá pra argumentar 
A cidade de Madri já tem o rei do seu dérbi 
Alô 
Avisa: Papai Cris chegou! 
Mais um hat-trick ele marcou 
Esse português é o terror 
Se você der mole é gol 
Se você der mole é gol, é gol
3X0 - Cristiano Ronaldo Destrói o Atlético
 
Alô 
Avisa: Papai Cris chegou! 
Mais um hat-trick ele marcou 
Esse português é o terror 
Se você der mole é gol 
Se você der mole é gol, é gol 
CR7 é um mito 
Tipo psicopata 
O Robô é sinistro 
Não tem nenhum recorde que ele não bata 
Oito gols em três jogos 
E isso num mata-mata 
Já guardou 400 gols pelo seu clube e tem zero caspa!
3X0 - Cristiano Ronaldo Destrói o Atlético
 
E esse ano a briga 
É pra estar em segundo 
Porque o homem troféu outra vez vai levar o de melhor do mundo 
É o maior recordista que o planeta conhece 
Até mesmo no Insta, Cristiano Ronaldo dá um show no Messi 
Alô 
Avisa: Papai Cris chegou! 
Mais um hat-trick ele marcou 
Esse português é o terror 
Se você der mole é gol 
Se você der mole é gol, é gol
3X0 - Cristiano Ronaldo Destrói o Atlético
 
Alô 
Avisa: Papai Cris chegou! 
Mais um hat-trick ele marcou 
Esse português é o terror 
Se você der mole é gol 
Se você der mole é gol, é gol 
É gol


  ",3X0 - Cristiano Ronaldo Destrói o Atlético,FutParódias,,Sabe de quem é a composição? Envie pra gente.
"3X0- Juventus Detona o Barcelona
 
Oi, tudo bem? 
Triste por quê? 
Eu sei que a virada lá no Camp Nou 
Te iludiu pra valer
3X0- Juventus Detona o Barcelona
 
Desculpa a paródia 
Eu só vim te avisar 
Que aquela poltrona da qual escapou 
Está a te esperar
3X0- Juventus Detona o Barcelona
 
Dessa vez não dá, o Barcelona vai parar na vala 
O time esqueceu de usar colete à prova Dybala
3X0- Juventus Detona o Barcelona
 
Eu sei que vão falar assim 
Nas oitavas foi assim também 
Isso não vai convencer ninguém 
Não é PSG, meu bem 
3 X 0 foi sorte, podia ir além
3X0- Juventus Detona o Barcelona
 
Ah, se ajudasse o Higuaín 
Perder gols é o que ele faz bem 
Podia ser 4 X 0 também 
Ainda bem que tem 
Dybala 21 mandando muito bem
3X0- Juventus Detona o Barcelona
 
E vai ver da poltrona, sim!
3X0- Juventus Detona o Barcelona
 
Não vai ser tão fácil emplacar outra goleada 
Sinto te dizer que os caras são referência em zaga
3X0- Juventus Detona o Barcelona
 
Com o Bonnuci e o Chiellini 
que até diploma de zagueiro tem 
Ele é formado em fazer refém 
Tirou do bolso alguém 
Dessa vez não mordeu e se comportou bem
3X0- Juventus Detona o Barcelona
 
E ainda tem o Buffon ali 
Pelo jeito joga até os 100 
Alex Sandro deitando também 
E o Dani Alves, hein? 
Tá lá rindo de quem o tratou com desdém
3X0- Juventus Detona o Barcelona
 
Vai ser eliminado, sim!
3X0- Juventus Detona o Barcelona
 
Luis Enrique endoidou, sim! 
O cara não tá batendo bem 
Com esse Mathieu, não ganha de ninguém 
Cê tá de parabéns 
Dessa vez não vai dá, cê vai chorar pra quem?
3X0- Juventus Detona o Barcelona
 
Nem com ajuda do juiz 
Não adianta subornar ninguém 
Nem reza brava com um montão de amém 
Nem força do além 
Se ainda tivesse o Douglas, tava tudo bem
3X0- Juventus Detona o Barcelona
 
E vai ver da poltrona, sim!


  ",3X0- Juventus Detona o Barcelona,FutParódias,,Sabe de quem é a composição? Envie pra gente.
"3x0 - Real Madrid Apanha do Barcelona Em Casa
 
Um ET que tem poder do além 
Deitou, o Messi tá demais 
Meu Deus do céu, o Lionel 
Botou o Real pra chorar
3x0 - Real Madrid Apanha do Barcelona Em Casa
 
Madridista ver show do 10 culé 
Tá ficando comum 
E pra variar, tomou 3 do Barça 
Até deu tela azul
3x0 - Real Madrid Apanha do Barcelona Em Casa
 
O que acontece com o Real? 
Pegou o Barça e levou pau 
Apanhou em casa pro rival 
Foi achado morto o Real Madrid 
Caiu, sofreu com o anãozinho
3x0 - Real Madrid Apanha do Barcelona Em Casa
 
Cadê, uai? O tal papai 
Sumiu! Quem viu o Ronaldo? 
Sumiu também, mas já faz tempo 
Alguém achou o Benzema?
3x0 - Real Madrid Apanha do Barcelona Em Casa
 
O Real sofreu lá no Bernaleo 
Só três foi um prêmio 
Podia até ser mais, se iludiu demais 
Achou que era o Grêmio
3x0 - Real Madrid Apanha do Barcelona Em Casa
 
O que acontece com o Real? 
Nem vem falar do Mundial 
Jogou contra ninguém na final 
E tomou um sufoco do Al-Jazira 
Sofreu com o Romarinho
3x0 - Real Madrid Apanha do Barcelona Em Casa
 
Real, cadê seu futebol? 
Se perdeu num canto de Madrid? 
Está em quarto no Espanhol 
Vai acabar indo pra Europa League 
E o Barça segue dando show 
É o líder e está invicto 
Que fase do Real Madrid
3x0 - Real Madrid Apanha do Barcelona Em Casa
 
Tá com zica, eu sei, no Espanhol tá fei 
E na Champions pode dar ruim
3x0 - Real Madrid Apanha do Barcelona Em Casa
 
Será que vai dar pro Real? 
Ou irá tomar aquele pau? 
Cair nas oitavas-de final 
E dar um adeus à Champions League 
Se cuida com o Neymito 
O Paris vai da-le um castigo


  ",3x0 - Real Madrid Apanha do Barcelona Em Casa,FutParódias,,Sabe de quem é a composição? Envie pra gente.
"3x Palmeiras: Verde É a Cor da América
 
A Puma nos convidou pra homenagear o tri do Palmeiras 
E a gente comprou essa ideia
3x Palmeiras: Verde É a Cor da América
 
Verde é a cor de quem joga na raça e não foge se a partida é bélica 
Verde é a cor de quem grita, quem chora e acredita na vitória épica 
Verde é a cor de quem tem estratégia e não acha que o futebol é lotérica 
Verde é a cor do Palestra, verde é a cor da América
3x Palmeiras: Verde É a Cor da América
 
2 seguidas não é brincadeira, respeita o tri do Palmeiras 
Bateu nas equipes que nem batedeira e olha que teve um montão de pedreira! 
Campanha linda na fase de grupos, 5 vitórias em 6 duelos 
Rolou 5 a 0, rolou 6 a 0, pegou a turma e botou no chinelo
3x Palmeiras: Verde É a Cor da América
 
Pôs no chinelo, a turma, e pôs a Liberta no braço 
Chutou o São Paulo pra Lua e chutou o Galo pro espaço 
Chegou na final com muita humildade, com luta, raça e respeito 
Botou o Urubu na panela a pôs a medalha no peito
3x Palmeiras: Verde É a Cor da América
 
No peito dos atletas e no peito da torcida 
Medalha verde e amarela, onde o verde é a cor que brilha 
É a cor que tá no sangue, tá na perna e tá na testa 
Porcada, faz a festa! Que a Liberta é do Palestra!
3x Palmeiras: Verde É a Cor da América
 
Verde é a cor de quem joga na raça e não foge se a partida é bélica 
Verde é a cor de quem grita, quem chora e acredita na vitória épica 
Verde é a cor de quem tem estratégia e não acha que o futebol é lotérica 
Verde é a cor do Palestra, verde é a cor da América
3x Palmeiras: Verde É a Cor da América
 
Com a zaga do Porco era sem sinal verde, Gustavo Gómez foi GG 
Bem mais seguro que um carro forte, ele é viciado em proteger 
No extremo oposto, lá no ataque, sempre o craque bolado e cirúrgico 
Matador, homem-gol, goleador Rony Rústico
3x Palmeiras: Verde É a Cor da América
 
No meio um Cão de Guarda: Felipe Melo, Pitbull, Cachorro Louco 
Se você mexer com esse cara, se prepara pra levar sufoco 
O Dudu, filho pródigo, retornou pra casa sem dó nenhuma 
E se o Veiga não é craque, eu acho que eu sou uma jaqueta da Puma
3x Palmeiras: Verde É a Cor da América
 
Me diz o que o Weverton não para? Segura até o meu estresse 
Paredão do Porco e da Canária, em jogo grande o cara cresce 
Se o papo é atuação de gala, o Deyverson é melhor que o Messi 
O herói do tri é o cara, quando o Deyvi tá maluco, esquece!
3x Palmeiras: Verde É a Cor da América
 
E meu Deus do céu, todo o plantel foi bem pra dedéu 
Tropa do Abel estrategista e cruel
3x Palmeiras: Verde É a Cor da América
 
Verde é a cor de quem joga na raça e não foge se a partida é bélica 
Verde é a cor de quem grita, quem chora e acredita na vitória épica 
Verde é a cor de quem tem estratégia e não acha que o futebol é lotérica 
Verde é a cor do Palestra, verde é a cor da América


  ",3x Palmeiras: Verde É a Cor da América,FutParódias,,Sabe de quem é a composição? Envie pra gente.
"4 x 0 - Liverpool Campeão leva baile do City
 
Poolzão fortão e cruel 
Campeão sem dó foi piscar e levou um créu 
Levou 4 do bonde azul clarinho 
Do careca serelepe
4 x 0 - Liverpool Campeão leva baile do City
 
Pool conquistou a Premier Liga 
Mas entrou em campo com dor de barriga 
Ressaquinha astral nível 8.000
4 x 0 - Liverpool Campeão leva baile do City
 
Pool conquistou a Premier Liga 
Deve ter festado tanto que nem liga 
De levar um pau, de ouvir um xiu...
4 x 0 - Liverpool Campeão leva baile do City
 
Tanto tempo sem sorrir... 
30 anos numa zica 
Escorregando igual salsicha 
Mas chutaram isso aí 
Pra além de Tão Tão Distante
4 x 0 - Liverpool Campeão leva baile do City
 
Pool conquistou a Premier Liga 
Fica fácil com esse lindo na baliza 
Só não resistiu contra um City a mil
4 x 0 - Liverpool Campeão leva baile do City
 
Pool conquistou a Premier Liga 
Com um beque que desarma até polícia 
Mas de um City mau levou Tetra-Kill
4 x 0 - Liverpool Campeão leva baile do City
 
Com um capitão raiz 
(Pool conquistou a Premier Liga) 
Que viveu de tudo em Liverpool 
E merece ser feliz 
Mas do City levou no nariz 
E o que falar do trio animal? 
(Pool conquistou a Premier Liga) 
Que contra o Man City não tava com mira 
E errou tudo que é gol 
Mas mesmo assim...
4 x 0 - Liverpool Campeão leva baile do City
 
É um trio insano 
Trio insano 
Trio insano 
Trio insano 
Trio insano 
Trio insano, né?
4 x 0 - Liverpool Campeão leva baile do City
 
Pool conquistou a Premier League, yeah 
Com dois latera que não têm dó mas tem grife 
Mas levaram um vrau de um Citynho que riu
4 x 0 - Liverpool Campeão leva baile do City
 
Pool conquistou a Premier Liga 
Com um baita elenco e com um baita teacher 
Tropeçou na cal e o Careca riu 
Mas Kloppão nem viu, pois campeão é o tio


  ",4 x 0 - Liverpool Campeão leva baile do City,FutParódias,,Sabe de quem é a composição? Envie pra gente.
