Lyrics,Song,Artist,Genre,Composition
"1112
 
[GZA
 
Bobby said, Fuck spendin 50 on a whip, buy equip 
Mental flip, got a thousand tracks stored on a chip 
Said he had mad toys to make noise 
You split and separate drums like asteroids 
The concerned producer sampled this question 
Hit him with the beat for the answer, with extra compression 
When sound travel, it quickly grab you 
and equalizes the pitch up, until it have you 
Bugged out, tryin to think you can match this 
The portrait's too graphic
Panaramic view for you, stamp Wu  
The feature gothic, the outcome will be catastrophic 
We wrote block-tic checkpoints on your next joint 
and who the nigga you annoint? 
700 volts on the track to slay 
Murderous wordplay displayed, for killin cascades 
Throwin bullets in the air to test wind 
and which way the cyclone spins 
Counter on clockwise, still civilized 
Kill spies on the wall, that still flies all dies
1112
 
[Masta Killa
 
Give no extension on the lynchin 
It's tension if the name of the Clan is mentioned
It's the aura that's felt, that causes one to flash his gun
and reveal how he really feel, confirmed 
He'll never live after the show, see the promoted for the dough
I'm takin, breakin his wax
Throw my shit on to perform my selection from the Swarm 
Day 2 breaks, it's a stormy Monday
My ninjas lay in revines and ditches 
Underneath shrubs and leaves 
They breathed thru underwater reeds 
The enemy walks above, Clan remain subterranean mud 
Off shore banks, tanks approach the location 
Bombarded by the circle of death formation 
Telecom lines are sniped from these low altitude strikes 
Shatterin bulletproof helmets with scrap nail fragments 
of cell, inhale these venomous thoughs that I propel 
thru the north facility, the city must suffer at the hand 
of the Chief's command, volts is in
At 3 minute intervals the heat intenses 
deadenin the power from electrical fences 
Defences are down, shake a nigga up, bounce him off the sound
1112
 
[Interlude: Killah Priest of Sunz Of Man
 
You know what I'm sayin?
The God ca-diver, in the streets of Iris. 
We talk about sex, money and drugs. 
(Ruled by power.) And y'all cats don't know
what it's about. (Love and power.)
It goes deeper than what you see on TV. 
Killah Priest, come on.
1112
 
[Killah Priest of Sunz Of Man
 
Burnin desire, ebony eyes 
Painted toe nails, legacys die 
Drivin by the well, egyption queens, arabian shieks 
are paid to knock off rich kings, for the joy some sing 
Graveyards filled with scarlet widows, who stabbed they 
husbands 
Sleepin on silk pillows, blood on they robes 
Disguised as beggar in cheap wool clothes 
Lambs and wolfs in black hoods, pull out they gats 
like magic wands, castin spells, sendin niggaz to Hell 
Trappin they souls in realms, baptize em with holy water 
Springin on the heads of plenty witches' daughters
Interviews with the richest reporters 
Silent nights over the dividers, a 1000 muslim bibles 
for the cobler, hebrews flee to the hills of Masada 
for the love of God, guns make a loud sound 
I'ma show you how thugs get down
Shoot outs, bullets turn into bloodhounds and hunt you down 
Cursed nation, lost generation 
X-Files, describe them in the future as cosmic rulers 
Fallen angels from space intruders 
Dyin saints, blood spilled on the floor like wet paint 
See it in the pictures, read it like the lost scriptures 
Dissolve it with your 100 proof liqour
1112
 
[Njeri
 
Ha, I shot the sheriff and the deputy secondly 
Threatenin the lives of those who threaten me 
Lessenin my chances of defeat by predeterminin the victory 
As taught by Sun Tzu in the chapter, after the third one 
I heard my words shall be bombed, regardless to anything or 
anyone 
I die by the gun, my life has just begun 
Thought I was livin all along, but I was wrong 
This long road I have to travel in countless battles 
These filthy snakes with poison fangs and rattles 
Kings, queens and pharoahs change to cattle 
I'm able to subtract the devil's arrow
Singin at his eyes on the sparrow, mind narrow 
2 positions, horoscopes and tarots 
Hark harolds, angels and Christmas carols 
Raven images hang from the mantels 
Man made slaves and modern day babbles 
Raw from Africa and golden ropes and sandles 
by wicked thieves and vandals 
who man-handled us with leather whips and burnin candles 
and rambled thru our castle, leavin niggaz shambles 
Stole our golden sodas like some arab camels 
We gazed, amazed and baffled as he loaded his ammo 
with to the barrel and blasted out our bone marrow 
We went to Gretal and the Hansel, tricked by this wicked jackel 
Children of my grand old daddy, have me 
In mind were they lost in this wilderness blind?


  Essa informação está errada? Nos avise. ",1112,Gza,,Composição: Robert Diggs. 
"4th Chamber
 
[Kung Fu sample from Shogun Assassin
 
Choose the sword, and you will join me 
Choose the ball, and you join your mother... in death 
You don't understand my words, but you must choose
{*baby gurgling*} 
So... come boy, choose life or death
4th Chamber
 
[Ghostface Killah
 
The only man a hoe wait for 
is the sky-blue Bally kid, in eighty-three, rocked Taylor's
My Memorex performed tape decks, my own phone sex 
Watch out for Haiti bitches, I heard they throw hex 
Yo, Wu whole platoon is filled with rac-coons 
Corner sittin wine niggaz sippin Apple Boone, 
this ain't no white cartoon
Cuz I be duckin crazy spades 
The kid hold white shit, like blacks rock ashy legs 
Why is the sky blue? Why is water wet? 
Why did Judas, rat to Romans while Jesus slept? Stand up 
You're out of luck like two dogs stuck
Iron Man be sippin rum, out of Stanley Cups, unflammable 
Noriega, aimin knives which stay windy in Chicago 
spine-tingle, mind boggles 
Kangols in rainbow colors, promoters try to hold dough 
Give me mine before Po, wrap you up in so-and-so 
I ran the Dark Ages, Constantine and great Henry the Eighth 
Built with Ghengis Khan, the wreck suede Wally Don
4th Chamber
 
[Killah Priest
 
I judge wisely, as if nothin ever surprise me 
Loungin, between two pillars of ivory 
I'm lively, my dome piece, is like buildin stones in Greece
my poems are deep from ancient thrones I speak 
I'm overwhelmed, as my mind, roams the realm
My eye's the vision, memory is the film
Others act sub-tile, but they fragile above clouds 
They act wild and couldn't budge a crowd
No matter how loud they get, though they growl and spit 
Clutch they fists, and throw up signs like a Crip 
And throw all types of fits 
I leave em split, like ass cheeks and ragged pussy lips
4th Chamber
 
[RZA
 
Aiyyo, camoflouge chameleon, ninjas scalin your buildin 
No time to grab the gun they already got your wife and children 
A hit was sent, from the President, to rage your residence 
Because you had secret evidence, and documents 
on how they raped the continents, and it's the prominent
dominant Islamic, Asiatic black hebrew 
The year two thousand and two, the battle's filled with the Wu
Six million devils just died from the Bubonic Flu 
Or the Ebola Virus, under the reign of King Cyrus 
You can see the weakness of a man right through his iris 
Un-loyal snakes get thrown in boilin lakes 
of hot oil, it boils your skin, chickenheads gettin slim 
like Olive Oyl, only plant the seed deep inside fertile soil 
Fortified with essential, vitamin and minerals 
Use the sky for a blanket, stuffin clouds inside my pillow 
Rollin with the lambs 
Twelve tribes a hundred and forty four thousand chosen 
Protons Electrons Always Cause Explosions
4th Chamber
 
[GZA
 
The banks of G, all CREAM downs a bet 
Money feed good, opposites off the set 
It ain't hard to see, my seeds need God-degree
I got mouths to feed, unnecessary beef is more cows to breed 
I'm on some tax free shit by any means
Whether bound to hit scheme or some counterfeit CREAM 
I learned much from such with cons who run scams 
Veterans got the game spiced like ham 
And from that, sons are born and guns are drawn 
Clips are fully loaded, and then blood floods the lawn 
Disciplinary action was a fraction of strength 
that made me truncate the length one-tenth 
With his thump, tweaters hits like air pumps 
RZA shaved the track, niggaz caught razor bumps 
Scarred tryin to figure who invented 
this unprecented, opium-scented, dark-tinted 
Now watch me blow him out his shoes without clues 
Cuz I won't hesitate to detonate, I'm short fuse


  Essa informação está errada? Nos avise. ",4th Chamber,Gza,,Composição: Robert Diggs. 
"ADVANCE PAWNS
 
{*kids chanting in foreign tongue*}
ADVANCE PAWNS
 
[Intro: RZA
 
(Attention!) Yeah, yeah..a special guest appearance 
From the slums.... (Attention!) yo, aiyo
ADVANCE PAWNS
 
[RZA
 
I examine your diameter, third eye light the camera up 
Be careful, I got four ninjas, inside your parameter 
Perimeter, flame burst out all sides like Gamora 
My poisonous is released, gas from the canister 
Raise the black fist, we keep the earth on it's axis
I make a good day move slow like molasses 
Welcome to the bee hive, dual processor with the G5 
There's not a tape or disco break I can't revive
In this high tech world of fire wire and microchip 
We still keep the four-five clip, filled with the spiral tip
ADVANCE PAWNS
 
[GZA
 
I come from the 36 Chambers of danger 
With many lyrical swordsmen, that quick to change ya 
The difficulty to see closely, is mostly 
It's a critical point, when ya rap niggaz approach me
Like the blind, death, dumb, who mind was left numb 
A non B-Boy nigga, couldn't rhyme to the drum
When I started M.C.'ing I entered, the gates of pleasure
Not knowing, I be coming with, too much to measure 
With the math of an elder, and the steel of a welder 
The path of tray, that I had laid down, and held a 
Blueprint, that would draw attention like the Pope 
I examine all with the internal mirror of the scope
ADVANCE PAWNS
 
{*Sen Dog speaking in Spanish*}
ADVANCE PAWNS
 
[RZA
 
Supreme deluxe edition, CREAM with a touch of wisdom 
Beams that through up the system, spleens, I conduct, you listen 
How you gonna tell me no, yo, the fuck you is in 
Locked in a four block radius like a public prison 
Twenty two year old, dunn, ain't got a cup to piss in
But he got a barrel gun, and that's knuckle twitching
And he got a baby moms and a cousin bitching 
Went to catch a body, now he stuck in another prison
ADVANCE PAWNS
 
[Raekwon
 
When you see it, you better acknowledge, your all swords 
Blaze the green hundred fours 
Pull out on you, blew you for the cause 
And Sudan outst a nigga, seclude you from my Clan 
This is water glock, aces on cameras sniffin' raw
Why try to fuck with these lecturers 
I'm so high powered, my electrical structure blew down the floor
You was king for a second, I reigned, came with a different name 
The W.T.C. Family and more, one!
ADVANCE PAWNS
 
{*Sen Dog speaking in Spanish again*}
ADVANCE PAWNS
 
[GZA
 
They applause when I make my entrance 
I move on em with age and experience, before I start the sentence
The rhyme was designed to meet most demand 
Is enough to compensate, fertilize the land 
He blew out the belt drive, M.C.'s they felt vibes
Powerful dart, narrowly missing your whole tribe 
Scientists look, at the magnitude and devastation 
But the strands of heavy metal seem to have no relation 
But it's always potential for large scale disasters
Because the instrumentals, spins a hundred times faster 
Many was taken, is at the price of a pawn 
And the collective lost had left, thousand of mourn 
Them Clansmen, are the nucleus of hip-hop 
There's no room for error, M.C.'s will get dropped
Evidence of terrifying threats from heat pressure 
Power by strong winds that blew rhymes off the dresser 
The words spread through the town from Yonkers to Leffers 
And to kill off the slang was a city wide effort 
But they couldn't be more wrong, my click was all strong
Fit together seamlessly, til you're all gone
ADVANCE PAWNS
 
{*Sen Dog speaking in Spanish again w/ Attention! several times*}
ADVANCE PAWNS
 
[Outro: chess sample
 
The queen by far, is the strongest piece 
Should too, should not be prematurely brought 
Into play, during in the opening 
Or she will be attacked by wicked pieces 
And driven back, it is very dangerous 
To make a raid with the queen early on in the game 
It is best, in opening, to make but one move with the queen 
And that, to a square where she is not exposed 
To any direct or indirect attack


  Essa informação está errada? Nos avise. ",ADVANCE PAWNS,Gza,,Composição: C. Woods. 
"ALL IN TOGETHER NOW
 
[Intro: Ol' Dirty Bastard (RZA)

Yo, check this out, my name is the Ol' Dirty Bastard
Youknowhatimsayin, when I rhyme, when I, when I get down for my crown 
I come out crazy like a, like a tiger, or something, knowhatimsayin 
No, no, nobody can even F' with me, straight up and down
You knowhatimsayin  so that's how we coming in, knowhatimsayin?
(From the heart of Medina, to the head, to the east 
To the plaza houses, a/k/a the Mountain 
To the rugged lands of Shaolin, yo 
We rock all, all, all in together now 
Got played, got fresh, up---)
ALL IN TOGETHER NOW
 
[GZA
 
The world was bugging off this Wu-Tang nigga on the rock 
That was just another spot on the muthafuckin' block
You forgot Cash Rule nigga? --- toss seven figures 
He pull a trigger to make that account, get bigger 
Had babies to feed, kept a bitch with need 
Thousands shows booked, promoters on speed 
His hands was in everything, including some pussy 
From the Brazilian wax, to the uncombed bushy 
From down state, psychiatric 
Who tried to put a code on his brain until he cracked it 
Now the media wanna view him like they knew him 
And his head nurse, wanna sue him cause she blew him 
Ever since he walked on stage, he was just a loose cannon 
Wild drunk staggin  a nigga who kept standing
Class clown, who erase chalk from the board 
The only choir member, that sing off chord, we were
ALL IN TOGETHER NOW
 
[Chorus 2X: GZA (w/ RZA)
 
(All, all, all in together now) 
Kept the balance, stay dressed for the weather now 
Battle M.C.'s, anywhere, whatever town
And remain victorious, in any ground
ALL IN TOGETHER NOW
 
[GZA
 
The All In Together Now, started in Bed-Stuy 
Human beatbox specialist, who dressed fly 
A half ounce of blow and a forty ounce drinker 
Magnificent flow, critical thinker 
Unique is one grain of sand from the beach 
And had bitches eating out of his hand 
He was intelligent, his style was relevant 
I can name ten niggaz that stole an element 
From the high speed chase to the court arraignments 
All of the above, was entertainment 
He caused earthquakes, just from experiments 
Some thoughts got lost, not knowing where it went 
His songs had a rep for many inducements 
Giving birth to new styles, after recruitments 
There's no replacement or any supplement
He was a new testament, what he said, what he meant, we were
ALL IN TOGETHER NOW
 
[Chorus 2X

ALL IN TOGETHER NOW
 
[GZA
 
The judge took a look at he, and threw the book at thee 
The sentencing, would of made the average crook happy 
They put him in a box, wrapped like a gift 
In them straight jacket, watched by two, worked the shift 
Gave him no phone calls, saw no sunlight 
Like, Billie the Kid, in his last gun fight 
Then days became weeks, weeks became months 
Carved the calendar on the wall, with his front 
The food pushed in, on the trays, looking sharp, in the cell 
My hands covered with latex gloves 
Cooks in the kitchen had laced his drinks 
The wild ass physician, they was off the breaks 
He got visits from shrinks who came in with ink-blots 
Moving with they own plot, but the Dirt, he think not 
He had nothing but time on his hands 
As if he got him signed from the Clan, we were
ALL IN TOGETHER NOW
 
[Chorus 2X

ALL IN TOGETHER NOW
 
[Outro: RZA (chess sample)
 
All, all, all, in together now 
All in together now! - Ol\' Dirty Bastard 
All in together now! - Ol\' Dirty Bastard 
All, all, all, in together now 
All in together now! - Ol\' Dirty Bastard 
All in together now! - Ol\' Dirty Bastard 
All in together now! - Ol\' Dirty Bastard 
All in together now! - Ol\' Dirty Bastard 
All in together now! - Ol\' Dirty Bastard 
All in together now! - Ol\' Dirty Bastard 
(Now white doesn't really wanna use up
His two remaining pawn moves, so he plays, king to E2)


  ",ALL IN TOGETHER NOW,Gza,,Sabe de quem é a composição? Envie pra gente.
"Amplified Sample
 
Verse one:
Amplified Sample
 
The amplified sample, will trample, the leading cancel 
That vacate your vessel 
Guide this, strenuous as an arm wrestle 
Move swift as light, a thousand years in one night 
Then flight with insight 
Everything i thought of, I saw it happen 
Then I rose from the soil to sun blacken 
Then came rao czars, left tracks and scarred 
A pair of brightness of exploding stars 
Gave me goods to taste 
No ingredients to traced 
And remained stuffed trying to figure the shape of space 
No edge or boundary, released 2 rounds or 3 
Intimidate my razor scrape, phony clown MC 
The physical shatter from the blast 
Pierclastic flow sets of a tower of ash 
Through ignorance and misplaced trust your world's crushed
Too late to activate hyperspace of thrust 
Even wearing camoflauge the analog at war 
He seen his high beems 
The father came in accompianed by deadly rain and when 
Mentally indowed when lighting hit the crowd 
The warm side crushed the barrier 
The storm side destroyed your area
Amplified Sample
 
Repeat verse
Amplified Sample
 
The amplified sample, will trample, the leading cancel 
That vacate your vessel
Amplified Sample
 
The amplified sample, the amplified sample, the amplified sample 
Will trample
Amplified Sample
 
The amplified sample, will trample, the leading cancel 
That vacate your vessel
Amplified Sample
 
The amplified, the amplified sample
Amplified Sample
 
The amplified sample, the amplified
Amplified Sample
 
The amplified sample, will trample, the leading cancel
Amplified Sample
 
The amplified
Amplified Sample
 
The amplified sample, will trample, the leading cancel
Amplified Sample
 
The amplified, the amplified
Amplified Sample
 
The amplified sample (fade out)


  ",Amplified Sample,Gza,,Sabe de quem é a composição? Envie pra gente.
"Animal Planet
 
Gza - Animal Planet
Animal Planet
 
[<br/>, [GZA
 
Welcome to the Jungle where the cat loves to scratch  
The rat squeals  
And the polar bear feasts on the blubber of seals  
The pack of wolves be scheming on a bunch of gazelles  
Where the leopards grab the wilderbeast down by it's tail 
You see the chimps they grow hips they hustle and sling in trees
Animal Planet
 
Elephants for security that move tons of leaves  
The bluebirds arrest parrots that love to talk  
or eagles that stalk fresh-water trout under the wing of the 
hawk  
You see the vultures pick the pocket of whatever remain  
In the brain we watch but a shadow of the lion's mane 
Whose roar is loud enough to take the stripes from a zebra  
He camouflage his bets and his spots of a cheetah  
Shouldn't gamble with a cheetah and not expect to get beat 
You silly goose you know he move fast on his feet  
Now you're neck deep in depth with a bunch of lone sharks 
So you move on a colony of ants with aardvarks, you see  
Most of the everglades controlled by the gators  
It was crashed by the crocs who came years later  
See the locusts had swarmed with the bees  
the tick moved with the fleas  
The dragonflies and the wasps shared with the seas  
The crab and the leeches sucked your blood flow  
And they laugh like hyenas when they out to catch dough  
See a million mosquitos from the West now  
Carrying the virus that made the boars less wild 
Animal Planet
 
[Hook x4 : GZA
 
It's like the jungle sometimes 
Animal Planet
 
[GZA
 
Out of fear of the deer watch for the eye of the tiger  
The Clutch from the Cobra and the venomous viper  
Boa-constrictors that cut your circulation  
Mosts of their prayers die from broke bones and suffocation  
The owls are private eyes that watch from the bark  
Black panthers are the militant who strike in the dark  
Porcupines had a rep' for sticking everything that moved 
In areas that the rhinos and hippos approved  
And the giraffe was a look-out for gorillas in the mist  
And the bats use their sonar to guide and assist  
Those pelicans who smuggle contraband for the whale  
While the skunks spray the scent to keep the dogs off the trail
Animal Planet
 
The scorpion set up a sting for sly foxes  
that use stool pigeons just to keep them in the boxes  
While the black widow laid a web for the bachelor  
like daddy-long-leg and his hype man, tarantula  
They both prey on grasshoppers beetles and flies  
And they all become instant meals the moment it dies  
What costs little, is a little worth  
so some lose they lives wandering on the wrong turf  
From birth they grow up walking the thin line  
It's like the jungle sometimes 
Animal Planet
 
[Hook x4 : GZA
 
It's like the jungle sometimes


  Essa informação está errada? Nos avise. ",Animal Planet,Gza,,Composição: Curtis Mayfield. 
"Auto Bio
 
[GZA
 
I was born, with the mic in my hand 
Then I took it from Medina, to the S.I. land 
I pulled up on the block, go out the truck, tt was the first of pit stops 
The era of the spinnin' tops, the birth of hip hop
That was somethin  I had identified with
So I, made it my point to exploit this fly gift then 
Myself and RZA, made trips to the B.X. 
A mass of ferocious M.C.'s and talent T-Rex
Giants in every ways, rap flows for every day 
We knew we would get a reward for the price we'll pay
The basic training was beyond entertainment 
Just the caters of the verbal expressions, self explainin
Were my boots out in constant walks across the borough 
Tore the troops out the frame when they challenge the most thorough 
From well concealed firing positions we let off the most 
Dangerous with that, slang that just shatter the coast 
They say I rhyme like the bank that stop 
Cause M.C.'s be more shook then the dice that drop
Especially if I'm rollin  then the point is definitely proven
Cause with the GZA holdin  that keep a nigga movin
I walk Broadway, from Quincy to Myrtle 
Back to Quincy, cut careers whatever the expense be 
They heard the Legend, run to the reverend 
With headaches and blackouts, worse then severe seven
Auto Bio
 
[Chorus: GZA
 
And when my job is done 
And it's time to get those that's comin' up some runs
So you can see where they from, from, from... 
They say the product is good 
We gonna sling it from the slums of the hills of the hood 
Til it's understood
Auto Bio
 
[GZA
 
We still search through the crates of songs that just breaks 
At times we play legendary battles on tapes 
Unlikely confrontation with a clash of swords 
In a G that was stored, be rain that just poured 
On cats and dogs, water that, flooded the stance 
The violence and nature had trigged the violence of man 
That was bloodshed, from which said, audible threats 
Publicize regrets, wanted alive or dead 
A hand full recovered from the dramatic plunge 
While the rest kept babblin' and speakin' in tongues
Since the competition already slaked them in a scrimmage 
He continued tarnish that, already faded image 
Any sport, when they come short, majors don't need em
Then they broke, lose they homes, lively hood and freedom 
The rhyme could be a blunt object that make you choke 
Like too many tokes, that'll recharge in growth
This Witty Unpredictable Talent or Natural Game 
With non added of slang, it's all actual fact
The high roller knock the chip off the shoulder 
Strike like the perfect bowler, with catastrophic damage 
My other's hard to vanish, punishment, swift to sudden
Unparalleled advantage, brought to a level where you froze and can't speak
Trapped in the frigid temperatures of that peak
Auto Bio
 
[Chorus



  ",Auto Bio,Gza,,Sabe de quem é a composição? Envie pra gente.
"Beneath the Surface
 
[GZA
 
On a man-made lake, there's a sheet of thin ice
Where unskilled skaters, couldn't figure-8 twice
At 16, uncut, direct from the cult 
Head on assault, the result, death by the bolt 
In a vote, it spoke aboat the average loss commission 
That was seen by a king in a prophetic vision 
Like a plane crash from a bomb blast 
Special broadcast, slot time with con cash 
It kept the jury quiet, and now a riot will form 
While satanic man, now hang in his dorm 
I swing, on you fake, radio personalities 
Boost ya ratings, but hypes behind casualties 
Fire shots, for low-pressure water gun play 
Instantly, slap ya fire like it's Palm Sunday
I fashion the first tool, from the elements 
The earth use, and built it to a complex 
Network, of communications, you're up against a hopeless, situation
I screen every vehicle, through enemy observation 
Swarmin unpredictably, we spread terror 
Increase the force significantly, change the error 
Check my wind pattern, it's headin west
Success is freedom, failure could mean death 
Humans sweat, aim shovels 
Dig up the debris and rubbel 
Permanent, damage caused by the double- 
U, Now who, cowardly urge you to merge through 
And think the workers'll serve you
Signin marvel, who just dropped the next novel 
Worldwide, practically marred in marble 
His accountless, amount of MC's I saved
And those same niggas wanna squander those gifts I gave
Beneath the Surface
 
[Chorus: RES sample
 
Scratch underneath the surface, where does your purpose lie? 
It seems our world is worthless, like we're pawns beneath the sky
Change the race by reason, and ashes just the wind 
The left is so our we're breathin, keep ourself from givin in
Beneath the Surface
 
[Killah Priest of Sunz Of Man
 
Love and hatred, home is most sacred 
Both species, they lay naked in the tombs of oasis 
Think back on niggas I ate with, spent the day with 
Guns we played with, niggas I relate with 
We broke bread, I heard through a vine niggas workin for the Feds 
Sent out secretly to take my head 
I lay back and meditate to the words they say 
Skip town for a mutten goofy dred 
Had a friend tell my family I was dead 
Return at the last fall of the autumn leaves 
Operate the plan accordingly, in case the Feds are recordin me 
Sign all documents, usin forgery, cuz just a near thought of me 
Like Solomon, spoke bluntly 
Told the word I'm black and calmly
Howls from the grave haunt me 
The smell of death's upon me, I dwell in the hills like Gandhi
Been in the presence of mad peasants, and old kings 
Who sold everything, on a quest for god's divine
Slept in caves to get a clear mind 
Who prayed 3 times, when the moon lit and the sun rise 
I met dwellers in the desert, talked to shepherds 
Been in the mouth of many leopards 
Felt the death kiss, of Satan's mistress
Walked the vacant districts, for 4 religions, studied Pagan scriptures 
True philosophers and physicians, on a cure missions 
Who harden their hearts, to ward the weak, sick and ifflicted 
Candles lit, gamble with a bitch 
Who made me love her, when I touch her, soft cause hide claws 
Bees with sweet honey in they mouth 
Have bitter stingers at they tail 
Walk through the chambers of death, take a hold on to hell 
Embracing her was like embracing a 3rd world
Beneath the Surface
 
[Chorus

Beneath the Surface
 
[Outro: RES sample
 
Scratch underneath the surface


  Essa informação está errada? Nos avise. ",Beneath the Surface,Gza,,Composição: J.K. Hunter / Lawrence Seymour / S. White / W. Mitchell / Waymon Reed. 
"B.I.B.L.E. (Basic Instructions Before Leaving Earth)
 
The Basic Instructions Before Leaving Earth 
The Basic Instructions Before Leaving Earth 
The Basic Instructions Before Leaving Earth
B.I.B.L.E. (Basic Instructions Before Leaving Earth)
 
Life is a test many quest the universe 
And through my research, I felt the joy and the hurt 
The first shall be last and the last shall be first 
The basic instructions before leaving earth
B.I.B.L.E. (Basic Instructions Before Leaving Earth)
 
Life is a test many quest the universe 
And through my research, I felt the joy and the hurt 
The first shall be last and the last shall be first 
The basic instructions before leaving earth
B.I.B.L.E. (Basic Instructions Before Leaving Earth)
 
Knowledge this wisdom, this goes back when I was twelve 
I loved doing right but I was trapped in hell 
Had mad ideas, sad eyes and tears 
Years of fears, but yo my foes couldn't bear
I searched for the truth since my youth 
And went to church since birth, but it wasn't worth the loot
That I was paying, plus the praying 
I didn't like staying cuz of busy-bodies and dizzy hotties
That the preacher had souped up with lies 
Had me cooped up lookin at loot, butt, and thighs 
Durin the service, he swallowed up the poor 
And after they heard this, they wallowed on the floor 
But I ignored, and explored my history that was untold 
And watched mysteries unfold 
And dropped a jewel like Solomon, but never followed men 
Cause if you do your brain is more hollow than 
Space oblivia, or the abyss 
With no trace of trivia, left with the hiss 
Does it pay to be deaf, dumb and blind? 
From a slave we was kept from the mind 
And from the caves he crept from behind 
And what he gave, was the sect of the swine 
When the bible, it condemned the pig 
I don't mean to pull your hems or flip your qigs
But we used to wear a turban, but now we're in the urban
No more wearing beanies and dress like a genie 
No hocus pocus cause I focus on the facts 
And put it on the tracks and brought it through the wax 
I speak on Jacob, it might take up some time 
And too much knowledge, it might break up the rhyme 
I did it anyway just to wake up the mind 
Of those who kiss stones or prays on the carpet 
Those who sit home, or sell books by the market 
Need to chill and get their mind revived 
For years religion did nothing but divide 
The basic instructions before leaving earth
B.I.B.L.E. (Basic Instructions Before Leaving Earth)
 
I strolled through the books of Job to unfold 
And open bibles, instead of hoping on revivals 
Calling on His name and screaming hallelujah 
When he hardly knew ya, that's how the devil's fooled ya
See look into my eyes brethren, that's the lies of a Reverand
Why should you die to go to heaven? 
The Earth is already in space, the bible I embrace 
A difficult task I had to take 
I studied till my eyes was swollen, and only arose when 
I found out that we were the chosen 
I deal with the truth, and build with the youth 
And teach my son as he kneels on the stoop 
Son, life is a pool of sin, corrupted with foolish men 
And women with wicked minds, who build picket signs 
To legalize abortion, the evil eye distortion 
I quiz Son with my wisdom 
Before I converted, I was perverted, and knowledge was asserted 
The study of wisdom, I perferred it 
The understanding, it gave me mental freedom 
I even learnt Caucasians were really the Tribe of Edam 
The white image, of Christ, is really Cesare Borgia 
And uhh, the second son of Pope Alexander 
The Sixth of Rome, and once the picture was shown 
That's how the devils tricked my dome
I prophesized to save a man, but no one gave a damn 
For my nation - the seed of Abraham 
Blessed with the tongue of Hebrew 
Now we're strung on needles, and some are plungin evils
So study and be wise in these days of darkness 
Peace to my nephew Marcus
B.I.B.L.E. (Basic Instructions Before Leaving Earth)
 
The basic instructions before leaving earth


  Essa informação está errada? Nos avise. ",B.I.B.L.E. (Basic Instructions Before Leaving Earth),Gza,,Composição: Waymon Reed. 
"Breaker, Breaker
 
[GZA
 
Pump and get sumped, you want none 
Y'all niggas wanna bring, get done
Flashback, eighty-eight, rag type Volvo 
One court solo, slash for logo 
Two-hundred hyenas roam the arena 
Schemin on a truck Chevy, quit the rush every 
criminal mental, satanic penpal 
Wild style on your wax for ten thou
Most notable, hiphop quotable 
See many went, only one got us over do 
Floor soakin wet with the drinks and dance sweat 
Tell me which click got the deadliest handset 
I make the mic pump, force make your feet stomp 
Murderous beats move like rope for you to jump 
And the two-inch, tighten with the wool-wrench 
None qualifyin ass-niggas, the Jon Bentz 
Spend it real, nuff festivals on the grill
Got a deal, no return with the Brook Shield 
Yo
Breaker, Breaker
 
[Chorus 2x: GZA
 
Breaker, Breaker 1-9, can't rhyme
Y'all niggas wanna shine, get off blind
Breaker, Breaker
 
[Inspectah Deck
 
Yo, I use and abuse all groups and crews 
I can't lose, straight up and down, I'm bad news
Like the bears, we eat folks from under the stairs 
Pack a hand trigga, scared niggas don't dare
from the rear, I smash thru like a John Deer 
Plant a bomb in ya ear, then disappear 
with a speed that'll reach mach five
Niggas pop jive, that's why they on the opposite side
Dick riders tryin to make their way inside 
Boy analyze, my camp be amplified 
Certified live, right before your third-eye 
Supply the mental high for the fiendish 
Thru the intervenus, see it like a wide-screen Zenith 
Got sweetness, wanna show me your cleavage 
Leave it to the specialist, leave your wig split 
Leavin no witness, it's a mean business
We mean business, invest in cream 
Till my exit scene, I stay plottin on my next scheme
Breaker, Breaker
 
[Masta Killa
 
Next scheme 
Blessed with the art to pierce and shoot dart 
I toke the bass, put your shovel to the Rebel 
Allah Just, embrace his face with the metal 
Danger, woman adore to the chamber 
Let this nigga run out wild with the banger 
Hiphop socialize, enterprise, snubs in the club 
Twenty wizards, about 300 niggas inching your square 
Or could it be the armory? 
Fifty-two low hand, touch the ground 
Strike his knee, pass the heat to my man 
Windmill backhand bust your nose gland 
Mic stand, might crash a wild fan 
The Aqua, city of Atlantis, mantis, flying locusts 
Surround the oppose, a bomb only has one time to explode 
I blow and break and quake your whole state 
Throw the shit on DAT, and make me a fuckin tape
Breaker, Breaker
 
[Chorus



  Essa informação está errada? Nos avise. ","Breaker, Breaker",Gza,,Composição: Sulayman Ansari / Gary Grice / GZA/Genius. 
