Lyrics,Song,Artist,Genre,Composition
"22 Times
 
Intro/Conversation:
22 Times
 
Yo son, whatcha think about those Peas, though? 
Yo, yo, I don't know, them dudes just be on stage,
dancin and stuff... 
They on some old Las Vegas bullshit 
They move too much, man 
I can't take them fools seriously
I mean, they ain't talk about no 6-4, no Impalas
They ain't shootin nobody (Shootin nobody)
They ain't talkin about clothes
You know what I'm saying?
22 Times
 
Yo, my man, I got a plan to do it all (What kind of 
plan you got) 
I got a plan that none of y'all ever
Talked about cause underground niggas don't be
thinking 
I'm going kinda ?nino? like Lincoln
How can you make moves when you're always strapped
under 
I plan to read the scriptures, tell you more about the 
thunder 
I wonder what really makes the world go round 
Not thugs, cause thugs go round the brain of a
brother's down
You be in it for a quick blink 
But when you start to sink 
You be deeper than you was 
When you should've stop to think
About your consequence your actions don't make lots of
sense 
Brothers use the wicked life cause of lack of
confidence 
The devil jacked you for your sense now 
You can't pay your rent and
That's no accident, you let us slip so we win
The rest of your development 
You should've took time to prevent
The compiscation of your monument 
Now ya, wash up, and a nobody 
No one blame but your body 
You livin life, had thick and uneasy 
You chose to be involved with no deals and crisis 
In a hole cause of lust and greed
Your mind held captive and unable to exceed 
Come out and follow the Peas, we give you what you 
need 
We proceed to give you, what (What, what)
22 Times
 
A... (8x) 
We givin you what you want 
(We give you what you want) -- (3x) 
And you proce-e-e-e-e-e-e-ed 
On fienin on what you need 
(We give you what you need) -- (3x)
22 Times
 
Yo, everybody's goal is to win
But others gettiing caught up within the line of 
commiting sins 
And everybody seems to wanna rule 
It's so ridicule we gotta find the right cure
We approach to penetrate equivalent and strong 
To wash out individual with evil forms 
Conquering battles in these fields of greed 
Dark faces all around me makes it hard for me to see 
Who's got my back and who will backstab
I'm ready for foes and hoes who tries to grab
My currency, if I ain't got none
The (?) crip to runs to the ones who got some 
The war billows to those who makes action 
The main caption is to bring satisfaction 
If you like that contend you see 
How you suppose to call yourself a real MC
22 Times
 
So what's the definition of a true MC
(Someone who rocks swell and put my soul at ease) 
Lyrics went entertaining capability 
(Now that's the realest, see, all around 360 degrees)
22 Times
 
I'm givin you what you want, want
I'm givin you what you want
Na-na-na-na-na-na-na 
Na-na-na-na-na-na 
I'm givin you what you want, want
Na-na-na-na-na-na-na 
Hmm, hmm, hmm, hmm...
22 Times
 
A... (8x) 
We givin you what you want 
(We give you what you want) -- (3x) 
And you proce-e-e-e-e-e-e-ed 
On fienin on what you need 
(We give you what you need) -- (3x)
22 Times
 
Hey, witness grief through startin material 
You are blinded by lights, had an ego ratio 
God bless you with the gift of only show 
Business but you a careless professional 
Is where your failing will show 
Over indos and end only cash flows 
Makin it big, but yet, you never know 
You will pay in your dues bringin on sorrow 
Here today, easily gone tomorrow 
Feel the pain and I never borrow 
From another man, instead I'm making grand
Watch the Peas as we make a stand
22 Times
 
A... (8x) 
We givin you what you want 
(We give you what you want) -- (3x) 
And you proce-e-e-e-e-e-e-ed 
On fienin on what you need 
(We give you what you need) -- (3x)


  ",22 Times,Hymn,,Sabe de quem é a composição? Envie pra gente.
"Abba, Father! We Approach Thee
 
Abba, Father! We approach Thee 
In our Savior's precious Name;
We, Thy children, here assembled, 
Now Thy promised blessing claim; 
From our sins His blood hath washed us, 
Tis through Him our souls draw nigh,
And Thy Spirit, too, hath taught us, 
Abba, Father, thus to cry.
Abba, Father! We Approach Thee
 
Once as prodigals we wandered 
In our folly far from Thee, 
But Thy grace, o'er sin abounding,
Rescued us from misery; 
Thou Thy prodigals hast pardoned, 
Kissed us with a Father's love,
Spread the festive board, and called us, 
E'er to dwell with Thee above.
Abba, Father! We Approach Thee
 
Clothed in garments of salvation, 
At Thy table is our place, 
We rejoice, and Thou rejoicest, 
In the riches of Thy grace; 
It is meet, we hear Thee saying, 
We should merry and be glad, 
I have found My once lost children, 
Now they live who once were dead.
Abba, Father! We Approach Thee
 
Abba, Father! all adore Thee, 
All rejoice in Heav'n above,
While in us they learn the wonders 
Of Thy wisdom, grace, and love; 
Soon before Thy throne assembled, 
All Thy children shall proclaim, 
Glory, everlasting glory, 
Be to God and to the Lamb!


  ","Abba, Father! We Approach Thee",Hymn,,Sabe de quem é a composição? Envie pra gente.
"Abide In Me, o Lord
 
Abide in me, O Lord, and I in Thee, 
From this good hour, oh, leave me nevermore; 
Then shall the discord cease, the wound be healed, 
The lifelong bleeding of the soul be o'er.
Abide In Me, o Lord
 
Abide in me; o'ershadow by Thy love
Each half formed purpose and dark thought of sin; 
Quench ere it rise each selfish, low desire, 
And keep my soul as Thine, calm and divine.
Abide In Me, o Lord
 
As some rare perfume in a vase of clay, 
Pervades it with a fragrance not its own, 
So, when Thou dwellest in a mortal soul, 
All Heaven's own sweetness seems around it thrown.
Abide In Me, o Lord
 
Abide in me; there have been moments blest 
When I have heard Thy voice and felt Thy power; 
Then evil lost its grasp; and passion, hushed, 
Owned the divine enchantment of the hour.
Abide In Me, o Lord
 
These were but seasons beautiful and rare; 
Abide in me, and they shall ever be; 
Fulfill at once Thy precept and my prayer, 
Come, and abide in me, and I in Thee.


  ","Abide In Me, o Lord",Hymn,,Sabe de quem é a composição? Envie pra gente.
"Abide In Thee
 
Abide in Thee, in that deep love of Thine, 
My Jesus, Lord, Thou Lamb of God divine; 
Down, closely down, as living branch with tree, 
I would abide, my Lord, my Christ, in Thee.
Abide In Thee
 
Abide in Thee, my Savior, God, I know 
How love of Thine, so vast, in me may flow: 
My empty vessel running o'er with joy,
Now overflows to Thee without alloy.
Abide In Thee
 
Abide in Thee, nor doubt, nor self, nor sin, 
Can e'er prevail with Thy blest life within;
Joined to Thyself, communing deep, my soul 
Knows naught besides its motions to control.
Abide In Thee
 
Abide in Thee, tis thus alone I know
The secrets of Thy mind e'en while below;
All joy and peace, and knowledge of Thy Word, 
All power and fruit, and service for the Lord.


  ",Abide In Thee,Hymn,,Sabe de quem é a composição? Envie pra gente.
"Afflictions do Not Come Alone
 
Afflictions do not come alone, 
A voice attends the rod; 
By both He to His saints is known, 
A Father and a God!
Afflictions do Not Come Alone
 
Let not My children slight the stroke 
I for chastisement send; 
Nor faint beneath My kind rebuke, 
For still I am their Friend.
Afflictions do Not Come Alone
 
The wicked I perhaps may leave 
Awhile, and not reprove; 
But all the children I receive 
I scourge, because I love.
Afflictions do Not Come Alone
 
If therefore you were left without 
This needful discipline; 
You might, with cause, admit a doubt, 
If you, indeed, were Mine.
Afflictions do Not Come Alone
 
Shall earthly parents then expect 
Their children to submit? 
And wilt not you, when I correct, 
Be humbled at My feet?
Afflictions do Not Come Alone
 
To please themselves they oft chastise, 
And put their sons to pain; 
But you are precious in My eyes, 
And shall not smart in vain.
Afflictions do Not Come Alone
 
I see your hearts, at present, filled 
With grief, and deep distress; 
But soon these bitter seeds shall yield 
The fruits of righteousness.
Afflictions do Not Come Alone
 
Break through the clouds, dear Lord, and shine! 
Let us perceive Thee nigh! 
And to each mourning child of Thine 
These gracious words apply.


  ",Afflictions do Not Come Alone,Hymn,,Sabe de quem é a composição? Envie pra gente.
"Afflictions, Though They Seem Severe
 
Afflictions, though they seem severe; 
In mercy oft are sent; 
They stopped the prodigal's career,
And forced him to repent.
Afflictions, Though They Seem Severe
 
Although he no relentings felt 
Till he had spent his store; 
His stubborn heart began to melt 
When famine pinched him sore.
Afflictions, Though They Seem Severe
 
What have I gained by sin, he said, 
But hunger, shame, and fear; 
My father's house abounds with bread,
While I am starving here.
Afflictions, Though They Seem Severe
 
I'll go, and tell him all I've done,
And fall before his face 
Unworthy to be called his son, 
I\'ll seek a servant\'s place.
Afflictions, Though They Seem Severe
 
His father saw him coming back, 
He saw, and ran, and smiled; 
And threw his arms around the neck 
Of his rebellious child.
Afflictions, Though They Seem Severe
 
Father, I\'ve sinned-but O forgive! 
I've heard enough, he said,
Rejoice my house, my son's alive,
For whom I mourned as dead.
Afflictions, Though They Seem Severe
 
Now let the fatted calf be slain, 
And spread the news around; 
My son was dead, but lives again, 
Was lost, but now is found.
Afflictions, Though They Seem Severe
 
'Tis thus the Lord His love reveals,
To call poor sinners home; 
More than a father's love He feels,
And welcomes all that come.


  ","Afflictions, Though They Seem Severe",Hymn,,Sabe de quem é a composição? Envie pra gente.
"After The Life-paths
 
After the lifepaths we're treading
End upon time's solemn shore,
There will be light at the river 
While the redeemed ones pass o'er.
After The Life-paths
 
Refrain
After The Life-paths
 
There will be light at the river, 
There will be light at the river, 
There will be light at the river, 
While the redeemed ones pass o'er.
After The Life-paths
 
There will be light for the spirits 
Who thro' deep shadows have come-
Fadeless light shining glad welcome 
Out from the windows of home.
After The Life-paths
 
Refrain
After The Life-paths
 
There will be light for the weary 
Who thro' sore trials have passed-
Radiant light as they enter, 
Peace that for ever shall last.
After The Life-paths
 
Refrain
After The Life-paths
 
There will be light for the faithful, 
Whate'er the way they have trod-
Glorious light sent to guide them 
Safe to the city of God.
After The Life-paths
 
Refrain


  ",After The Life-paths,Hymn,,Sabe de quem é a composição? Envie pra gente.
"After The Midnight
 
After the midnight, morning will greet us; 
After the sadness, joy will appear; 
After the tempest, sunlight will meet us; 
After the jeering, praise we shall hear.
After The Midnight
 
Refrain
After The Midnight
 
After the shadows, there will be sunshine; 
After the frown, the soul-cheering smile; 
Cling to the Savior, love Him forever; 
All will be well in a little while.
After The Midnight
 
After the battle, peace will be given; 
After the weeping, song there will be; 
After the journey there will be Heaven, 
Burdens will fall and we shall be free.
After The Midnight
 
Refrain
After The Midnight
 
Shadows and sunshine all thro' the story,
Teardrops and pleasure, day after day; 
But when we reach the kingdom of glory, 
Trials of earth will vanish away.
After The Midnight
 
Refrain


  ",After The Midnight,Hymn,,Sabe de quem é a composição? Envie pra gente.
"Again, As Evening's Shadow Falls
 
Again, as evening's shadow falls,
We gather in these hallowed walls; 
And vesper hymn and vesper prayer 
Rise mingling on the holy air.
Again, As Evening's Shadow Falls
 
May struggling hearts that seek release 
Here find the rest of God's own peace;
And, strengthened here by hymn and prayer, 
Lay down the burden and the care.
Again, As Evening's Shadow Falls
 
O God, our Light! to Thee we bow; 
Within all shadows standest Thou; 
Give deeper calm than night can bring; 
Give sweeter songs than lips can sing.
Again, As Evening's Shadow Falls
 
Life's tumult we must meet again,
We cannot at the shrine remain; 
But in the spirit's secret cell
May hymn and prayer forever dwell.


  ","Again, As Evening's Shadow Falls",Hymn,,Sabe de quem é a composição? Envie pra gente.
"Again He'll Come
 
From Olive's Hill, the multitude upgazing,
Beheld, until the Savior passed from view; 
But radiant heralds uttered words of promise, 
He Who has gone shall come again to you.
Again He'll Come
 
Refrain
Again He'll Come
 
Again, again, the nations shall behold Him! 
Again, again, enrobed in majesty; 
In clouds of glory every eye shall see Him, 
Again, again, the King of Glory see!
Again He'll Come
 
Again, but not in weakness or in sorrow; 
Again, but not for bitter pain and loss; 
The Son of God shall come in glory splendid, 
Again, but not to bear shame's bitter cross.
Again He'll Come
 
Refrain
Again He'll Come
 
O Zion, clothe thyself in raiment holy; 
Lift up thine eyes to greet thy coming King; 
Rejoice, rejoice, no more be robed in sorrow, 
Rejoice, O Zion, lift thy voice and sing.
Again He'll Come
 
Refrain


  ",Again He'll Come,Hymn,,Sabe de quem é a composição? Envie pra gente.
"Again Returns The Day Of Holy Rest
 
Again returns the day of holy rest 
Which, when He made the world, Jehovah blessed; 
When, like His own, He bade our labors cease, 
And all be piety, and all be peace.
Again Returns The Day Of Holy Rest
 
Let us devote this consecrated day 
To learn His will, and all we learn obey; 
So shall He hear, when fervently we raise 
Our supplications and our songs of praise.
Again Returns The Day Of Holy Rest
 
Father in Heaven, in Whom our hopes confide, 
Whose power defends us, and Whose precepts guide, 
In life our Guardian, and in death our Friend, 
Glory supreme be Thine till time shall end.


  ",Again Returns The Day Of Holy Rest,Hymn,,Sabe de quem é a composição? Envie pra gente.
"Again The Lord Of Light And Life
 
Again the Lord of light and life 
Awakes the kindling ray, 
Unseals the eyelids of the morn, 
And pours increasing day.
Again The Lord Of Light And Life
 
O what a night was that which wrapped 
The heathen world in gloom! 
O what a Sun which rose this day 
Triumphant from the tomb!
Again The Lord Of Light And Life
 
This day be grateful homage paid, 
And loud hosannas sung; 
Let gladness dwell in every heart, 
And praise on every tongue.
Again The Lord Of Light And Life
 
Ten thousand different lips shall join 
To hail this welcome morn, 
Which scatters blessings from its wings 
To nations yet unborn.


  ",Again The Lord Of Light And Life,Hymn,,Sabe de quem é a composição? Envie pra gente.
"Again The Morn Of Gladness
 
Again the morn of gladness, 
The morn of light, is here; 
And earth itself looks fairer, 
And Heaven itself more near; 
The bells, like angel voices, 
Speak peace to every breast; 
And all the land lies quiet 
To keep the day of rest.
Again The Morn Of Gladness
 
Refrain
Again The Morn Of Gladness
 
Glory be to Jesus, 
Let all His children say; 
He rose again, He rose again, 
On this glad day.
Again The Morn Of Gladness
 
Again, O loving Savior, 
The children of Thy grace 
Prepare themselves to seek Thee 
Within Thy chosen place. 
Our song shall rise to greet Thee, 
If Thou our hearts wilt raise; 
If Thou our lips wilt open, 
Our mouth shall show Thy praise.
Again The Morn Of Gladness
 
Refrain
Again The Morn Of Gladness
 
The shining choir of angels 
That rest not day or night, 
The crowned and palm-decked martyrs, 
The saints arrayed in white, 
The happy lambs of Jesus, 
In pastures fair above, 
These all adore and praise Him, 
Whom we, too, praise and love.
Again The Morn Of Gladness
 
Refrain
Again The Morn Of Gladness
 
The Church on earth rejoices 
To join with these today; 
In every tongue and nation 
She calls her sons to pray; 
Across the northern snow fields, 
Beneath the Indian palms, 
She makes the same pure offering, 
And sings the same sweet psalms.
Again The Morn Of Gladness
 
Refrain
Again The Morn Of Gladness
 
Tell out, sweet bells, His praises! 
O let us sing His Name! 
Still louder and still farther 
His mighty deeds proclaim; 
Till all whom He redeemèd 
Shall own Him Lord and King, 
Till every knee shall worship, 
And every tongue shall sing.
Again The Morn Of Gladness
 
Refrain


  ",Again The Morn Of Gladness,Hymn,,Sabe de quem é a composição? Envie pra gente.
"Again Thy Glorious Sun Doth Rise
 
Again thy glorious sun doth rise, 
I praise Thee, O my Lord; 
With courage, strength, and hope renewed, 
I touch the joyful chord.
Again Thy Glorious Sun Doth Rise
 
On good and evil, Lord, Thy sun 
Is rising as on me; 
Let me in patience and in love 
Seek thus to be like Thee.
Again Thy Glorious Sun Doth Rise
 
May I in virtue and in faith, 
And with Thy gifts content; 
Rejoice beneath Thy covering wings, 
Each day in mercy sent.
Again Thy Glorious Sun Doth Rise
 
Safe with Thy counsel in my work, 
Thee, Lord, I'll keep in view,
And feel that still Thy bounteous grace 
Is every morning new.


  ",Again Thy Glorious Sun Doth Rise,Hymn,,Sabe de quem é a composição? Envie pra gente.
"Ah, Dearest Jesus
 
Ah, dearest Jesus, holy Child, 
Make Thee a bed, soft, undefiled 
Within my heart, that it may be 
A quiet chamber kept for Thee.
Ah, Dearest Jesus
 
My heart for very joy doth leap, 
My lips no more can silence keep; 
I, too, must sing with joyful tongue 
That sweetest ancient cradle song.
Ah, Dearest Jesus
 
Glory to God in highest Heaven, 
Who unto man His Son hath given; 
While angels sing with tender mirth, 
A glad new year to all the earth.


  ","Ah, Dearest Jesus",Hymn,,Sabe de quem é a composição? Envie pra gente.
"Ah, Holy Jesus
 
Ah, holy Jesus, how hast Thou offended, 
That man to judge Thee hath in hate pretended? 
By foes derided, by Thine own rejected, 
O most afflicted.
Ah, Holy Jesus
 
Who was the guilty? Who brought this upon Thee? 
Alas, my treason, Jesus, hath undone Thee. 
Twas I, Lord, Jesus, I it was denied Thee!
I crucified Thee.
Ah, Holy Jesus
 
Lo, the Good Shepherd for the sheep is offered; 
The slave hath sinned, and the Son hath suffered; 
For man's atonement, while he nothing heedeth,
God intercedeth.
Ah, Holy Jesus
 
For me, kind Jesus, was Thy incarnation, 
Thy mortal sorrow, and Thy life's oblation;
Thy death of anguish and Thy bitter passion, 
For my salvation.
Ah, Holy Jesus
 
Therefore, kind Jesus, since I cannot pay Thee, 
I do adore Thee, and will ever pray Thee, 
Think on Thy pity and Thy love unswerving, 
Not my deserving.


  ","Ah, Holy Jesus",Hymn,,Sabe de quem é a composição? Envie pra gente.
"Ah! Lord God, The World's Creator
 
Ah! Lord God, the world's Creator,
King of all, great or small, 
Earth's Regenerator;
Art Thou cradled, art Thou crying, 
Swathed and bound, on the ground, 
In the stable lying?
Ah! Lord God, The World's Creator
 
Love of man hath brought Me hither, 
Cords of love, from above, 
To exalt him thither; 
Dead in trespass, child, I sought thee; 
Gone astray, from My way, 
Life and pardon brought thee.
Ah! Lord God, The World's Creator
 
Empty be My scrip and coffer, 
Yet tis wealth, plenty, health,
I am come to offer; 
Haste I to enrich and dress thee; 
Born to die, low I lie, 
And would gladly bless thee.
Ah! Lord God, The World's Creator
 
Therefore thousand thousand praises 
Are Thy due, Babe Jesu, 
These my heart upraises; 
Angels, mortals, furthest, nighest, 
Sing in mirth, Peace on earth, 
Glory in the highest.


  ","Ah! Lord God, The World's Creator",Hymn,,Sabe de quem é a composição? Envie pra gente.
"Ah, What Can I Do?
 
Ah, what can I do, or where be secure? 
If justice pursue, what heart can endure? 
When God speaks in thunder and makes Himself known, 
The heart breaks asunder though hard as a stone.
Ah, What Can I Do?
 
With terror I read my sins' heavy score,
The numbers exceed the sands on the shore; 
Guilt makes me unable to stand or to flee, 
So Cain murdered Abel, and trembled like me.
Ah, What Can I Do?
 
Each sin, like his blood, with terrible cry, 
Calls loudly on God to strike from on high: 
Nor can my repentance, extorted by fear, 
Reverse the just sentence; tis just, though severe.
Ah, What Can I Do?
 
The case is too plain, I have my own choice; 
Again, and again I slighted His voice; 
His warnings neglected, His patience abused, 
His Gospel rejected, His mercy refused.
Ah, What Can I Do?
 
And must I then go, forever to dwell 
In torments and woe with devils in hell? 
Oh where is the Savior I scorned in times past? 
His word in my favor would save me at last.
Ah, What Can I Do?
 
Lord Jesus, on Thee I venture to call, 
Oh look upon me, the vilest of all! 
For whom didst Thou languish and bleed on the tree? 
Oh pity my anguish, and say, \'Twas for thee.
Ah, What Can I Do?
 
A case such as mine will honor Thy power; 
All hell will repine, all Heav'n will adore;
If in condemnation strict justice takes place, 
It shines in salvation more glorious through grace.


  ","Ah, What Can I Do?",Hymn,,Sabe de quem é a composição? Envie pra gente.
"Ah! Whither Should I Go?
 
Ah! whither should I go, 
Burdened and sick and faint? 
To whom should I my trouble show, 
And pour out my complaint? 
My Savior bids me come; 
Ah! why do I delay? 
He calls the weary sinner home, 
And yet from Him I stay.
Ah! Whither Should I Go?
 
What is it keeps me back, 
From which I cannot part, 
Which will not let the Savior take 
Possession of my heart? 
Searcher of hearts, in mine 
Thy trying power display; 
Into its darkest corners shine, 
And take the veil away.
Ah! Whither Should I Go?
 
I now believe in Thee, 
Compassion reigns alone; 
According to my faith, to me 
O let it, Lord, be done! 
In me is all the bar, 
Which Thou wouldst fain remove; 
Remove it, and I shall declare 
That God is only love.
Ah! Whither Should I Go?
 
The following stanzas are commonly omitted:
Ah! Whither Should I Go?
 
Some cursèd thing unknown 
Must surely lurk within, 
Some idol which I will not own, 
Some secret bosom sin.
Ah! Whither Should I Go?
 
Jesu, the hindrance show, 
Which I have feared to see; 
Yet le me now consent to know 
What keeps me out of Thee.


  ",Ah! Whither Should I Go?,Hymn,,Sabe de quem é a composição? Envie pra gente.
"Alas! And Did My Savior Bleed?
 
Alas! and did my Savior bleed 
And did my Sovereign die? 
Would He devote that sacred head 
For sinners such as I? 
[originally, For such a worm as I?

Alas! And Did My Savior Bleed?
 
Refrain
Alas! And Did My Savior Bleed?
 
At the cross, at the cross where I first saw the light, 
And the burden of my heart rolled away, 
It was there by faith I received my sight, 
And now I am happy all the day!
Alas! And Did My Savior Bleed?
 
Thy body slain, sweet Jesus, Thine- 
And bathed in its own blood- 
While the firm mark of wrath divine, 
His Soul in anguish stood.
Alas! And Did My Savior Bleed?
 
Was it for crimes that I had done 
He groaned upon the tree? 
Amazing pity! grace unknown! 
And love beyond degree!
Alas! And Did My Savior Bleed?
 
Well might the sun in darkness hide 
And shut his glories in, 
When Christ, the mighty Maker died, 
For man the creature's sin.
Alas! And Did My Savior Bleed?
 
Thus might I hide my blushing face 
While His dear cross appears, 
Dissolve my heart in thankfulness, 
And melt my eyes to tears.
Alas! And Did My Savior Bleed?
 
But drops of grief can ne'er repay
The debt of love I owe: 
Here, Lord, I give my self away 
Tis all that I can do.


  ",Alas! And Did My Savior Bleed?,Hymn,,Sabe de quem é a composição? Envie pra gente.
