Lyrics,Song,Artist,Genre,Composition
"10,000 Hours (feat. Dan + Shay)
 
Do you love the rain? 
Does it make you dance 
When you're drunk with your friends at a party?
What's your favorite song?
Does it make you smile? 
Do you think of me?
10,000 Hours (feat. Dan + Shay)
 
When you close your eyes 
Tell me, what are you dreamin'?
Everything, I wanna know it all
10,000 Hours (feat. Dan + Shay)
 
I'd spend ten thousand hours and ten thousand more
Oh, if that's what it takes to learn that sweet heart of yours
And I might never get there, but I'm gonna try
If it's ten thousand hours or the rest of my life
I'm gonna love you
10,000 Hours (feat. Dan + Shay)
 
Do you miss the road that you grew up on? 
Did you get your middle name from your grandma? 
When you think about your forever now 
Do you think of me?
10,000 Hours (feat. Dan + Shay)
 
When you close your eyes 
Tell me, what are you dreamin'?
Everything, I wanna know it all
10,000 Hours (feat. Dan + Shay)
 
I'd spend ten thousand hours and ten thousand more
Oh, if that's what it takes to learn that sweet heart of yours
And I might never get there, but I'm gonna try
If it's ten thousand hours or the rest of my life
I'm gonna love you
I'm gonna love you
10,000 Hours (feat. Dan + Shay)
 
Ooh, want the good and the bad and everything in between 
Ooh, gotta cure my curiosity 
Ooh, yeah
10,000 Hours (feat. Dan + Shay)
 
I'd spend ten thousand hours and ten thousand more
Oh, if that's what it takes to learn
That sweet heart of yours (sweet heart of yours) 
And I might never get there, but I'm gonna try (yeah)
If it's ten thousand hours or the rest of my life
I'm gonna love you
I'm gonna love you
10,000 Hours (feat. Dan + Shay)
 
Yeah 
And I (do you love the rain, does it make you dance?) 
I'm gonna love you (I'm gonna love you)
I'm gonna love you


  Essa informação está errada? Nos avise. ","10,000 Hours (feat. Dan + Shay)",Justin Bieber,Pop,Composição: Poo Bear / Justin Bieber / Jordan Reynolds / Jessie Jo Dillon / Dan Smyers / Shay Mooney. 
"2 Much
 
Injustice anywhere is a threat to justice everywhere
2 Much
 
Maybe I stare too much 
Maybe not long enough 
Funny how I forget to blink 
But when you let down your hair 
Dancin' like no one's there
I know I'm where I'm s'posed to be
2 Much
 
Say: Love you, under my breath 
More times than you can digest 
Music every time I hear your name, oh 
Your head's layin' right on my chest
Sun's up, but I still ain't got no rest
2 Much
 
Don't wanna close my eyes, I'm scared I'll miss too much
Don't wanna fall asleep, I'd rather fall in love
When I can't feel you, I feel out of touch
Two seconds without you it's like two months
2 Much
 
Don't wanna close my eyes, I'm scared I'll miss too much
Don't wanna fall asleep, I'd rather fall in love
Cause eternity with you ain't long enough
Two seconds without you it's like two months
And that's too much
2 Much
 
Love the way you love your mom 
Take on all your friends problems 
Still, somehow, stop the world for us, oh 
I still relive that second 
I met my biggest blessing 
Prayed for you, look what God has done
2 Much
 
Say: Love you, under my breath 
More times than you can digest 
Music every time I hear your name, oh 
Your head's layin' right on my chest
Sun's up, but I still ain't got no rest
2 Much
 
Don't wanna close my eyes, I'm scared I'll miss too much
Don't wanna fall asleep, I'd rather fall in love
When I can't feel you, I feel out of touch
Two seconds without you it's like two months
2 Much
 
Don't wanna close my eyes, I'm scared I'll miss too much
Don't wanna fall asleep, I'd rather fall in love
Cause eternity with you ain't long enough
Two seconds without you it's like two months
And that's too much


  Essa informação está errada? Nos avise. ",2 Much,Justin Bieber,Pop,Composição: Justin Bieber / Freddy Wexler	 / Gian Stone / Eskeerdo / Skrillex / Josh Gudwin / Martin Luther King Jr. /  Aldae Long. 
"2U (feat. David Guetta)
 
No limit in the sky that I won't fly for ya
No amount of tears in my eyes that I won't cry for ya
Oh, no 
With every breath that I take 
I want you to share that air with me 
There's no promise that I won't keep
I'll climb a mountain, there's none too steep
2U (feat. David Guetta)
 
When it comes to you, there's no crime
Let's take both of our souls and intertwine
When it comes to you, don't be blind
Watch me speak from my heart 
When it comes to you, comes to you
2U (feat. David Guetta)
 
(Want you to share that) 
(When it comes to you)
2U (feat. David Guetta)
 
Cupid ain't a lie, arrow got your name on it
Oh, yeah 
Don't miss out on a love and regret yourself on it, oh
Open up your mind, clear your head 
Ain't gotta wake up to an empty bed
Share my life, it's yours to keep
Now that I give to you all of me, ooh
2U (feat. David Guetta)
 
When it comes to you, there's no crime
Let's take both of our souls, and intertwine
When it comes to you, don't be blind
Watch me speak from my heart 
When it comes to you, comes to you
2U (feat. David Guetta)
 
(Want you to share that) 
(Share) 
(When it comes to you) 
(Want you to share that)
2U (feat. David Guetta)
 
When it comes to you (to you), there's no crime
Let's take both of our souls, and intertwine
When it comes to you (to you), don't be blind
Watch me speak from my heart 
When it comes to you, comes to you


  Essa informação está errada? Nos avise. ",2U (feat. David Guetta),Justin Bieber,Pop,Composição: David Guetta / Cesqeaux / Poo Bear / Giorgio Tuinfort / Justin Bieber. 
"Actin Up (feat. Asher Roth, Rye Rye & Chris Brown)
 
Back up 
Shout to Justin Bieber 
Chris Brown
Actin Up (feat. Asher Roth, Rye Rye & Chris Brown)
 
Base loud 
Hands up 
I don really give a fuck 
They say I ain't old enough
But I'll be young it acting up
Acting, a-acting up 
Acting, a-acting up 
They say I ain't old enough
But I'll be young and acting up
Actin Up (feat. Asher Roth, Rye Rye & Chris Brown)
 
Go go 
Go go 
Go go 
Go go
Actin Up (feat. Asher Roth, Rye Rye & Chris Brown)
 
Here I go 
Yeah, yo what's the scenario?
Can't understand what you staring for?
Like you never seen 
A white boy dance before 
But damn she's fine
That's one chick I can stand behind
Play in my field like a dandelion 
Put it all on if you can't decide
What's it gon' be?
You me, her her her, you me 
Girl, go beserk, gotta beat em with a tree
Go ahead, fall back, to the boy gon' breathe
Actin Up (feat. Asher Roth, Rye Rye & Chris Brown)
 
Ease off, back up 
I'm about to act up
Floating, sipping, having fun 
Cause I'll be young and acting up!
Acting, a-acting up 
Acting, a-acting up 
They say I ain't old enough
But I'll be young and acting up
Actin Up (feat. Asher Roth, Rye Rye & Chris Brown)
 
Base loud 
Hands up 
I don really give a fuck 
They say I ain't old enough
But I'll be young it acting up
Acting, a-acting up 
Acting, a-acting up 
They say I ain't old enough
But I'll be young and acting up
Actin Up (feat. Asher Roth, Rye Rye & Chris Brown)
 
So I walked in the club with a dope hairdo 
Checking my fresh, everything brand new 
Sexy old dude, saying who\'s you?  
You do me, and I'mma do you
What what, what you talkin about with it 
Man fall back, I'm just chillin
Hate when they check for a bad-bad bitch 
Gotta have respect for my bad habits 
P-pass now pass me the drink 
I'm get wild, I'm
Pull out the camera and shoot me a links 
Cause I'mma act up, sweetie pie, what you think?
Going insane in the membrane
Actin Up (feat. Asher Roth, Rye Rye & Chris Brown)
 
slang, come and hang with a real name
Actin Up (feat. Asher Roth, Rye Rye & Chris Brown)
 
Badder than a m-, MJ Level 
Face down, ass up, skinnys on, dirty Chucks 
Showing off, I'mma swag it up
Good girl gone bad, grab my bud
Actin Up (feat. Asher Roth, Rye Rye & Chris Brown)
 
Base loud 
Hands up 
I don really give a fuck 
They say I ain't old enough
But I'll be young and acting up
Acting, a-acting up 
Acting, a-acting up 
They say I ain't old enough
But I'll be young and acting up
Actin Up (feat. Asher Roth, Rye Rye & Chris Brown)
 
19 years old and I gotta act up 
Cause I'm so so fly, I'm so fly
And I don't know why, really know I, go so wow
Till the bass goes oh my 
Oh I, I gotta slow it down 
Yeah I'm on the loose, and I won't stop now
Cause I go so loud, and I go so wow 
So better watch out cause I'm so ahh
I'm on some risky business
I like women and French kisses 
Mama told me do the dishes 
But I'm here catching fishes
Cause I'm still young and acting up
Girls on my mind 
So I still mack up 
They see the money, see the money, rack up 
Till the walls dark cream 
Cause I'm stacking up
Bass loud, hands up, I don't really give a fu
They say I ain't old enough
But I'll be young and acting up
Acting, acting up 
Acting, acting up 
They say I ain't old enough
But I be young and acting up
Actin Up (feat. Asher Roth, Rye Rye & Chris Brown)
 
Yikes, I guess I'm macking up
I'm about to go in, let me wrap it up
Young old school like Gallagher 
But I'mma call these shots, caliber
What it is JB, my Ray-Bans in my jacket 
Might give you rabies 
My chain heavy, give it to the ladies 
Hold up, hold up, watch em go crazy
Chilling with Asher Roth 
Girls let me touch, cause their ass is soft 
Yes I'mma score with them basketballs
She gon' give it up, I don't pass at all
My crew neck match my two-step 
I just had group sex on my new jet 
So many pretty girl, I\'m like who\'s next?  
So drunk all my white friends 
Like do it! 
Actin Up (feat. Asher Roth, Rye Rye & Chris Brown)
 
Jeans off, back up 
I'm about to act up
Smoking, drinking, having fun 
Cause I'll be young and acting up!
Acting, a-acting up 
Acting, a-acting up 
They say I ain't old enough
But I'll be young and acting up
Actin Up (feat. Asher Roth, Rye Rye & Chris Brown)
 
Base loud 
Hands up 
I don really give a fuck 
They say I ain't old enough
But I'll be young it acting up
Acting, a-acting up 
Acting, a-acting up 
They say I ain't old enough
But I'll be young and acting up


  ","Actin Up (feat. Asher Roth, Rye Rye & Chris Brown)",Justin Bieber,Pop,Sabe de quem é a composição? Envie pra gente.
"Afraid To Say (feat. Lauren Walters)
 
I'm afraid to say the wrong thing
Criticized from every angle 
And I'm afraid to lay it on the line
And selfishly I wanna hold back
Afraid To Say (feat. Lauren Walters)
 
Do we got the room to make mistakes? 
Are we judged for everything we say? 
I wanna grow but I'm afraid
And will it always be the same?  
Does what I gotta say even matter?  
Is life about climbing up the ladder? 
And can we even see lives that are shattered? 
Cause I'm really tryna silence the chatter
What have we done with society? 
When everybody's getting canceled
And can't there be room for maturity?
Cause writing em off is not the answer
Afraid To Say (feat. Lauren Walters)
 
Do we got the room to make mistakes? (Do we?) 
Are we judged for everything we say? (Are we?) 
I wanna grow but I'm afraid 
And will it always be the same?  
Does what I gotta say even matter? 
Is life about climbing up the ladder? 
And can we even see lives that are shattered? 
Cause I'm really tryna silence the chatter
What have we done with society? 
When everybody's getting canceled 
And can't there be room for maturity?
Cause writing em off is not the answer
Afraid To Say (feat. Lauren Walters)
 
We can't write people off
God never writes us off 
Even in our darkest days, even when we least deserve it 
Even when we're doing that stupid thing we wish we weren't doing
God never writes us off, ever 
He's with us in our pain, he's with us in our struggle
He's with us in our bad decisions
He's with us all the time, he never writes us off 
Afraid To Say (feat. Lauren Walters)
 
You formed the whole of me 
Inward and out 
I am awesomely and wonderfully created  
Your creations are spectacular 
You skillfully designed me 
You saw the essence of me, before I was formed 
Before I existed, all of my days were written in Your book 
Psalms 139:13-16


  Essa informação está errada? Nos avise. ",Afraid To Say (feat. Lauren Walters),Justin Bieber,Pop,Composição: Justin Bieber / Julian McGuire. 
"Again (feat. Martin Garrix & David Guetta)
 
Well, baby, when you say my name 
And every time you tell me that you love me 
You take me away 
Never ever felt so lucky 
And every time you do it right there 
You got me wrapped around your finger 
And I wanna see your body next to mine to mine, to mine, oh
Again (feat. Martin Garrix & David Guetta)
 
Let me know if you can do the following 
If you can't, then please don't follow me
I won't give you half, I just give you all of me
I just need to hear you say it every time you're calling me
Again (feat. Martin Garrix & David Guetta)
 
Tell me, tell me, tell me, again, again 
Tell me, tell me, tell me, again, again 
Girl, you know our love never ends never ends 
So, baby can you tell me again 
That you love me babe
Again (feat. Martin Garrix & David Guetta)
 
Oh, when you say my name 
And every time you tell me that you love me 
You take me away 
Never ever felt so lucky 
And every time you do it right there 
You got me wrapped around your finger 
And I wanna see your body next to mine, to mine, oh
Again (feat. Martin Garrix & David Guetta)
 
Let me know if you can do the following 
If you can't, then please don't follow me
I won't give you half, I just give you all of me
I just need to hear you say it every time you're calling me
Again (feat. Martin Garrix & David Guetta)
 
Tell me, tell me, tell me, again, again 
Tell me, tell me, tell me, again, again 
Girl, you know our love never ends never ends 
So, baby, can you tell me again 
That you love me babe 
Tell me, tell me, tell me, again, again 
Tell me, tell me, tell me, again, again 
Girl, you know our love never ends never ends 
So, baby can you tell me again 
That you love me babe 
That you love me babe


  ",Again (feat. Martin Garrix & David Guetta),Justin Bieber,Pop,Sabe de quem é a composição? Envie pra gente.
"Ain't Afraid (Unreleased)
 
Yeah, they think that I'm afraid to fall
But you know that I ain’t afraid at all 
Yeah, they think that I'm afraid to fall
But you know that I ain’t afraid at all
Ain't Afraid (Unreleased)
 
I ain’t afraid at all, oh 
I ain’t afraid at all, oh 
I ain’t afraid at all, oh 
I ain’t afraid at all, oh
Ain't Afraid (Unreleased)
 
Let it breathe 
Let it breathe 
Let it breathe 
Let it breathe 
Yeah, let it breathe
Ain't Afraid (Unreleased)
 
Yeah, they think that I'm afraid to fall
But you know that I ain’t afraid at all 
Yeah, they think that I'm afraid to fall
But you know that I ain’t afraid at all
Ain't Afraid (Unreleased)
 
I ain’t afraid at all, oh 
I ain’t afraid at all, oh 
I ain’t afraid at all, oh 
I ain’t afraid at all, oh
Ain't Afraid (Unreleased)
 
Let it breathe 
Let it breathe 
Let it breathe 
Let it breathe 
Yeah, let it breathe


  ",Ain't Afraid (Unreleased),Justin Bieber,Pop,Sabe de quem é a composição? Envie pra gente.
"All About That Bass
 
Because you know 
I’m all about that bass, ’bout that bass, no treble 
I’m all about that bass, ’bout that bass, no treble 
I’m all about that bass, ’bout that bass, no treble 
I’m all about that bass, ’bout that bass
All About That Bass
 
Because you know 
I’m all about that bass, ’bout that bass, no treble 
I’m all about that bass, ’bout that bass, no treble 
I’m all about that bass, ’bout that bass, no treble 
I’m all about that bass, (bass, bass, bass)
All About That Bass
 
I’m all about that, all about that bass 
I’m all about that, all about that bass 
I’m all about that bass, no treble 
We gon’ take it to a whole ‘nother level 
(Bass, bass, bass, bass)
All About That Bass
 
We know that shit ain’t real 
We know that shit ain’t real 
We know that shit ain’t real 
We know it’s Photoshopped
All About That Bass
 
We know that shit ain’t real 
We know that shit ain’t real 
We know that shit ain’t real 
We know it’s
All About That Bass
 
'Cause you know
I’m all about that bass, ’bout that bass, no treble 
I’m all about that bass, ’bout that bass, no treble 
I’m all about that bass, ’bout that bass, no treble 
I’m all about that bass, ’bout that bass
All About That Bass
 
Because you know 
I’m all about that bass, ’bout that bass, no treble 
I’m all about that bass, ’bout that bass, no treble 
I’m all about that bass, ’bout that bass, no treble 
I’m all about that bass, bout the bass


  Essa informação está errada? Nos avise. ",All About That Bass,Justin Bieber,Pop,Composição: Meghan Trainor. 
"All Around Me
 
Not sure what I was doing before ya 
I quit tryna figure it out 
Nothin' like havin' someone for you
Someone besides you when it's time to lay down
Fully committed, you're here for the stay down
Look in the mirror, you ride for the take down
All Around Me
 
Room for you in my coupe, let me open up the door 
Open up my eyes to a feelin' I can't ignore
I need you all around me 
Oh, yeah, yeah, yeah, yeah 
I need you all around me 
Wouldn't wanna be in any other place
All Around Me
 
From my home to the road 
I'll make sure you're comfortable
You make sure I'm comfortable
Our love's unconditional
I need you all around me 
All around me, yeah
All Around Me
 
Never thought I could ever be loyal 
To someone other than myself 
I never thought I could ever be a spoiler 
Guess anything is possible with your help 
Anything's possible since you made my heart melt
Gave me the best hand that I'd ever been dealt
All Around Me
 
Room for you in my coupe, let me open up the door 
Open up my eyes to a feelin' I can't ignore
I need you all around me, yeah 
Oh, yeah, yeah, yeah, yeah 
I need you all around me 
Wouldn't wanna be in any other place
All Around Me
 
From my home to the road 
I'll make sure you're comfortable
You make sure I'm comfortable
Our love's unconditional
I need you all around me 
All around me, yeah, yeah, yeah


  Essa informação está errada? Nos avise. ",All Around Me,Justin Bieber,Pop,"Composição: Jason ""Poo Bear"" Boyd / Justin Bieber / Sasha Sirota. "
"All Around The World (acoustic)
 
You're beautiful, beautiful, you should know it
(You're beautiful, beautiful, you should know it)
I think it's time, think it's time that you show it
You're beautiful, beautiful
Go, go, go 
Baby, whacha doing? Where you at? Where you at? 
Why you're acting so shy? Holding back, holding back
We're not the only ones doing it like that, it like that
So, DJ, bring that, bring that, bring that, bring that back
All Around The World (acoustic)
 
'Cause all around the world people want to be loved
Yeah, cause all around the world, they’re no different than us 
Cause all around the world, people want to be loved 
Cause all around the world, they’re no different than us
Yeah
All Around The World (acoustic)
 
You're crazy girl, crazy girl, you should know it
You're crazy girl, crazy girl, don't control it
Light it up, light it up, so explosive 
You're crazy girl, crazy girl
All Around The World (acoustic)
 
Baby, what you doing? Where you at? Where you at? 
Why you acting so shy? Holding back, holding back 
We're not the only ones doing it like that, yeah, like that
So DJ bring that, bring that, bring that, bring that back
All Around The World (acoustic)
 
All around the world people want to be loved 
Yeah, all around the world, they’re no different than us 
And all around the world people want to be loved 
Cause all around the world, they’re no different than us
All Around The World (acoustic)
 
'Cause all around the world people want to be loved
And all around the world they're no different than us
Cause all around the world
Yeah


  Essa informação está errada? Nos avise. ",All Around The World (acoustic),Justin Bieber,Pop,Composição: Adam Messinger / Justin Bieber / Nasri Atweh / Nolan Lambroza. 
