Lyrics,Song,Artist,Genre,Composition
"100 Degrees (feat. Dannii Minogue)
 
All around the world 
Anticipation 
Cause here it comes again 
You see 
No matter where you are 
It could be near or far 
But it still feels like 
Christmas time 
To me
100 Degrees (feat. Dannii Minogue)
 
I tell you what you already know 
Forget and ready to let it go 
The countdown has begun 
Whether you're in the mmh
North, South, it's all the same
Let your troubles fade away 
Get ready to love everyone
100 Degrees (feat. Dannii Minogue)
 
Whether the sun beats down 
Or there's a storm around
Whether the snow falls or 
It’s 100 degrees 
It’s still Christmas to me
100 Degrees (feat. Dannii Minogue)
 
Oh, we're gonna dance tonight
Oh, let the temperature rise 
To 100 degrees 
To a hundred, hundred, hundred degrees 
Don't you know you just can't get enough?
Gonna keep heating it up 
To 100 degrees 
To a hundred, hundred, hundred degrees
100 Degrees (feat. Dannii Minogue)
 
Can you feel the heat on the floor? 
Really gets you wanting some more 
Let's make it neverending tonight
100 Degrees (feat. Dannii Minogue)
 
Whether the sun beats down 
Or there's a storm around
Whether the snow falls or 
It’s 100 degrees 
It’s still Christmas to me
100 Degrees (feat. Dannii Minogue)
 
Oh, we're gonna dance tonight
Oh, let the temperature rise 
To 100 degrees 
To a hundred, hundred, hundred degrees 
Don't you know you just can't get enough?
Gonna keep heating it up 
To 100 degrees 
To a hundred, hundred, hundred degrees
100 Degrees (feat. Dannii Minogue)
 
Oh, what a cocktail time 
Oh, we're loving all the fairy lights
Everyone's got a different way
But we all want the same 
We want disco night
100 Degrees (feat. Dannii Minogue)
 
Hundred, hundred, hundred 
Hundred, hundred, hundred 
Hundred, hundred, hundred degrees 
It's still Christmas to me
100 Degrees (feat. Dannii Minogue)
 
Oh, we're gonna dance tonight
Oh, let the temperature rise 
To 100 degrees 
To a hundred, hundred, hundred degrees 
Don't you know you just can't get enough?
Gonna keep heating it up 
To 100 degrees 
To a hundred, hundred, hundred degrees


  Essa informação está errada? Nos avise. ",100 Degrees (feat. Dannii Minogue),Kylie Minogue,,Composição: Ash Howes / Kylie Minogue / Richard Stannard / Steve Anderson. 
"10 Out Of 10 (feat. Oliver Heldens)
 
You know I'm gonna give you ten out of ten
Know I'm gonna love you, love you to death
Baby, all night, again and again, yeah 
You know I'm gonna give you ten out of ten
That'll give you something you can't forget
Baby, all night, again and again, yeah 
Ten out of ten (woo)
10 Out Of 10 (feat. Oliver Heldens)
 
Body, ten 
Touch, ten (ooh, ooh) 
Energy, ten 
Ten out of ten 
Body, ten 
Touch, ten (ooh, ooh) 
Energy, ten 
Ten out of ten
10 Out Of 10 (feat. Oliver Heldens)
 
You messin' with a dime, top of the line
Looks so good, should be a crime 
Run in your mind all day and all night 
Wanna kiss me where the Sun don't shine
Wow, wanna devour 
Big boy, I might get wet, bring a towеl 
After we're donе, let's hop in the shower
Counting the seconds, minutes, and hours
10 Out Of 10 (feat. Oliver Heldens)
 
You got my full attention 
Spend it all on you, yeah 
I don't do halfway loves
Not once my mind's made up
10 Out Of 10 (feat. Oliver Heldens)
 
You know I'm gonna give you ten out of ten
Know I'm gonna love you, love you to death
Baby, all night, again and again, yeah 
You know I'm gonna give you ten out of ten
That'll give you something you can't forget
Baby, all night, again and again, yeah 
Ten out of ten (woo)
10 Out Of 10 (feat. Oliver Heldens)
 
Body, ten 
Touch, ten (ooh, ooh) 
Energy, ten 
Ten out of ten 
Body, ten 
Touch, ten (ooh, ooh) 
Energy, ten 
Ten out of ten
10 Out Of 10 (feat. Oliver Heldens)
 
I could love you perfectly 
Come fulfill your fantasy 
Make your dream reality 
Show you every part of me 
One hundred percent 
I ain't on the fence, never been
Be your medicine 
Come and get your fix, ooh, yeah
10 Out Of 10 (feat. Oliver Heldens)
 
You got my full attention 
Spend it all on you, yeah 
I don't do halfway loves
Not once my mind's made up
10 Out Of 10 (feat. Oliver Heldens)
 
You know I'm gonna give you ten out of ten
Know I'm gonna love you, love you to death
Baby, all night, again and again, yeah 
You know I'm gonna give you ten out of ten
That'll give you something you can't forget
Baby, all night, again and again, yeah 
Ten out of ten (woo)
10 Out Of 10 (feat. Oliver Heldens)
 
Body, ten 
Touch, ten (ooh, ooh) 
Energy, ten 
Ten out of ten 
Body, ten 
Touch, ten (ooh, ooh) 
Energy, ten 
Ten out of ten


  Essa informação está errada? Nos avise. ",10 Out Of 10 (feat. Oliver Heldens),Kylie Minogue,,Composição: Jackson Foote / JHart / Kylie Minogue / Liana Bank$ / Oliver Heldens / Sarah Hudson. 
"2000 Miles
 
He's gone two thousand miles
It's very far
The snow is falling down 
Gets colder day by day 
I miss you
2000 Miles
 
The children will sing 
He'll be back at Christmas time
In these frozen and silent nights 
Sometimes in a dream you appear 
Outside under the purple sky 
Diamonds in the snow sparkle 
Our hearts were singing 
It felt like Christmas time
2000 Miles
 
Two thousand miles 
Is very far through the snow 
I'll think of you
Wherever you go
2000 Miles
 
He's gone two thousand miles
It's very far
The snow is falling down 
Gets colder day by day 
I miss you
2000 Miles
 
I hear people singing 
It must be Christmas time 
I can hear people singing 
It must be Christmas time


  ",2000 Miles,Kylie Minogue,,Sabe de quem é a composição? Envie pra gente.
"2 Hearts
 
You make me invisible 
Light the sky and you make my day 
And I feel so wonderful 
Oh, oh, oh, don't let go
2 Hearts
 
I'm deep in the dark of you
It feels like I never saw the sun 
Should I shout for a rescue? 
Oh, oh, oh, don't let go
Oh, oh, oh, don't let go
2 Hearts
 
Two hearts are beating together 
I'm in love, woo
I'm in love, woo
Is this forever and ever? 
I'm in love, woo
I'm in love, woo
2 Hearts
 
Two hearts are beating together 
I'm in love, woo
I'm in love, woo
Is this forever and ever? 
I'm in love, woo
I'm in love, woo
2 Hearts
 
Looks good in the sunshine 
Well hold on coz I'm coming up for air
And I can't even see up here
Oh, oh, oh, don't let go
Oh, oh, oh, don't let go
2 Hearts
 
Two hearts are beating together 
I'm in love, woo
I'm in love, woo
Is this forever and ever? 
I'm in love, woo
I'm in love, woo
2 Hearts
 
Two hearts are beating together 
I'm in love, woo
I'm in love, woo
Is this forever and ever? 
I'm in love, woo
I'm in love, woo
2 Hearts
 
Two hearts are beating together 
I'm in love, woo
I'm in love, woo
Is this forever and ever? 
I'm in love, woo
I'm in love, woo
2 Hearts
 
Two hearts oh oh oh oh oh oh


  Essa informação está errada? Nos avise. ",2 Hearts,Kylie Minogue,,Composição: Kish Mauve. 
"Absolutely Anything And Anything At All
 
Absolutely anything and anything at all 
Streakin' through the light, Jupiter in sight
Absolutely anything
Absolutely Anything And Anything At All
 
You could do anything, whatever you wanna do 
What would you do? And who would you do it to? 
If you could be whoever you wanna be? 
Am I crazy? Or did this just happen to me?
Absolutely Anything And Anything At All
 
Absolutely anything and anything at all 
Streakin' through the light, Jupiter in sight
This star is intergalactic 
Absolutely anything and anything at all 
Shinin' like a star, reignin' like a czar
Oh absolutely anything
Absolutely Anything And Anything At All
 
See now I got everything, whatever you want you get 
When I write a song, everyone sings along 
But I can hear the thunder comin  raining down
Havin' it all was a bit of a ball but the truth keeps rollin' around
Absolutely Anything And Anything At All
 
I think I'm goin' cuckoo
Tell me that I'm wrong
Hittin' me like voodoo
Yeah I'm gonna play along
I think I got the power, what you gonna do? 
I'll make it happy hour, it's on you
So come on people 
Get the world hot 
So come on people 
Give me what you got 
I'm gonna get you jumpin
Jumpin' on the spot
With a little somethin' somethin
Somethin' that you got
So come on people
Absolutely Anything And Anything At All
 
Absolutely anything and anything at all 
Streakin' through the light, Jupiter in sight
This star is intergalactic 
Absolutely anything and anything at all 
I can see the future but I never kiss and tell 
Shining in the starlight, all I wanna do is sing 
Absolutely anything 
Absolutely anything 
Absolutely anything 
Absolutely anything and anything at all 
Streakin' through the light, Jupiter in sight
This star is intergalactic 
Absolutely anything and anything at all 
I can see the future but I never kiss and tell 
Shining in the starlight, all I wanna do is sing 
Absolutely anything


  ",Absolutely Anything And Anything At All,Kylie Minogue,,Sabe de quem é a composição? Envie pra gente.
"After Dark
 
That's right
Let me give you something for your appetite 
You know I wanna be with you all day and night 
Boy, I'll send you spinning like a satellite
Hey you 
I can see you like it when you get the view 
Well, come on over here I'll show it all for you
We'll go somewhere together make a move or two
After Dark
 
No sign of light except the glowing stars 
Don't delay me, drive me crazy
After Dark
 
Oh, baby, I'm ready
So what you waiting for? 
Feel sexy, your body 
Let's take it to the floor
After dark, all night long 
Dusk till dawn, I wanna make some honey
After Dark
 
Tempting 
Everything about you is so tempting 
You make me lose my will to do the shy thing 
Wanted 
Your name is on my poster and you're wanted
Don't break my heart, don't leave me disappointed
After Dark
 
No one around except the sound of us 
Don't delay me, drive me crazy
After Dark
 
Oh, baby, I'm ready
So what you waiting for? 
Feel sexy, your body 
Let's take it to the floor
After dark, all night long 
Dusk till dawn, I wanna make some honey
After Dark
 
Oh, baby, I'm ready
I've got just what you want
Feel sexy, your body 
You really turn me on 
After dark, all night long 
Dusk till dawn, I wanna make some honey
After Dark
 
Give me that touch, give me the night 
Give me that urge that makes me feel right 
You and me here, you and me now 
All the way 
Give me that twist, give me that rush 
Give me the dream I care for so much 
You and me here, you and me now 
Don't delay me, drive me crazy
After Dark
 
Oh, baby, I'm ready
So what you waiting for? 
Feel sexy, your body 
Let's take it to the floor
After dark, all night long 
Dusk till dawn, I wanna make some honey
After Dark
 
Oh, baby, I'm ready
I've got just what you want
Feel sexy, your body 
You really turn me on 
After dark, all night long 
Dusk till dawn, I wanna make some honey


  Essa informação está errada? Nos avise. ",After Dark,Kylie Minogue,,Composição: Cathy Dennis / Chris Braide. 
"A Lifetime To Repair
 
Cupid don't love me like he used to do
Cause I'm broken-hearted way too soon
I let my guard down 
The devil's gone and left me a bruise, mmm
Rocks at the bottom, will I try again? 
Romeo still lives in my head 
Thought I would settle down 
When happy ever after'd been said, mmm
A Lifetime To Repair
 
Six, five, four, three 
Too many times I wish I'd never cared
Been torn and twisted, oh I swear 
Too many nights crying that it's not fair
If I get hurt again 
I'd need a lifetime to repair
I'd need a lifetime to repair
I'd need a lifetime to repair
A Lifetime To Repair
 
They told me stories and they got me good 
Who's sayin' fairytales aren't true?
If he saves me from the dragon 
Well for that lovin  I'd be a fool, mmm
I'd overlook the stupid things he does
Straight up forgive him when he's wrong
When he's fallen off the wagon
We'll still dance to our favourite slow song, mmm
A Lifetime To Repair
 
Six, five, four, three 
Too many times I wish I'd never cared
Been torn and twisted, oh I swear 
Too many nights crying that it's not fair
If I get hurt again 
I'd need a lifetime to repair
I'd need a lifetime to repair
I'd need a lifetime to repair
A Lifetime To Repair
 
They say that love is everywhere 
But it's a game of truth or dare
Gimme that guarantee and I'll be there
Heaven knows I tried my best 
Now I'm swimming in the sea of loneliness
Wanna take that chance and wanna say yeah
A Lifetime To Repair
 
But too many times I wish I'd never cared
Been torn and twisted, oh I swear 
Too many nights crying that it's not fair
If I get hurt again 
I'd need a lifetime to repair
I'd need a lifetime to repair
I'd need a lifetime to repair


  ",A Lifetime To Repair,Kylie Minogue,,Sabe de quem é a composição? Envie pra gente.
"All I See
 
Ohh ohh ohh 
Ohh ohh ohh
All I See
 
Weekend has arrived 
Everybody's trying to find
Something to get into 
My friends wanna go out 
But I can't cancel my plans
I got a date with my baby 
He's taking me out
So I gotta catch up with you 
Some other day 
Gotta go can't make him wait
All I See
 
Tonight I have to make sure I'm looking hot
Cos we're going to our favourite spot
Till the morning we're gonna rock
Boy, you knock me out, yeah
All I See
 
My baby... 
Doesn't matter what's going on or who's around us
All I see is you... 
Right now they're playing our song dance floor is ours
All I see is you... 
The DJ's got me feelin' like I did when I first met you
And there's nothing that can't break us apart in two
Cos all I see is you...
All I See
 
I get lost in time 
When I'm lookin' in your eyes
And we're body to body
I don't want you to rush
Cos you're feeling like heaven to me
Follow the rhythm 
And keep it real close 
In the dark everything goes 
Nothing better than your touch, don't stop
Baby cause we've just begun
All I See
 
Tonight I have to make sure I'm looking hot
cause we're going to our favourite spot
Till the morning we're gonna rock
Boy you knock me out, yeah
All I See
 
My baby... 
Doesn't matter what's going on or who's around us
All I see is you... 
Right now they're playing our song dance floor is ours
All I see is you... 
The DJ's got me feelin' like I did when I first met you
And there's nothing that can't break us apart in two
Cos all I see is you...
All I See
 
Please don't let me go
My love for you is growing 
More and more and more 
As we move across the floor 
Cos all I see is you
Cos all I see is you
DJ spin my record again
All I See
 
My baby... 
Doesn't matter what's going on or who's around us
All I see is you... 
Right now they're playing our song dance floor is ours
All I see is you... 
The DJ's got me feelin' like I did when I first met you
And there's nothing that can't break us apart in two
Cos all I see is you...
All I See
 
My baby... 
Doesn't matter what's going on or who's around us
All I see is you... 
Right now they're playing our song dance floor is ours
All I see is you... 
The DJ's got me feelin' like I did when I first met you
And there's nothing that can't break us apart in two
Cos all I see is you...


  Essa informação está errada? Nos avise. ",All I See,Kylie Minogue,,Composição: Jonas Jeberg / Raymond Calhoun. 
"All I See (feat. Mims)
 
Mims Rap
All I See (feat. Mims)
 
(Kylie) 
Oh, oh, oh 
Oh, oh, oh
All I See (feat. Mims)
 
Weekend has arrived 
Everybody's tryin to find
Something to get into 
My friends wanna go out 
But I can't cancel my plans
Got a date with my baby 
He's taking me out
So I'm gonna catch up with you
Some other day 
Gotta go 
Can't make him wait
Tonight
All I See (feat. Mims)
 
Have to make sure I'm looking hot
Cos we're going to our favourite spot
Till the morning we're gonna rock
Boy you rock me up (yeah)
All I See (feat. Mims)
 
My baby 
Doesn't matter what's going on
Or who's around us
All I see is you 
Right now they're playing our song
Dancefloor is ours 
All I see is you 
The DJ's got me feelin' like I did
When I first met you 
And there's nothing that can't break us apart
In two 
Cos all I see is you
All I See (feat. Mims)
 
I get lost in time 
When I'm lookin' in your eyes
And we're body to body
I don't want you to rush
Cos you're feeling like heaven to me
Follow the rhythm 
And keep it real close 
In the dark everything goes 
Love it better when you touch 
(Don't stop)
Baby cos we've just begun
All I See (feat. Mims)
 
Have to make sure I'm looking hot
Cos we're going to our favourite spot
Till the morning we're gonna rock
Boy you rock me up (yeah)
All I See (feat. Mims)
 
My baby 
Doesn't matter what's going on
Or who's around us
All I see is you 
Right now they're playing our song
Dancefloor is ours 
All I see is you 
The DJ's got me feelin' like I did
When I first met you 
And there's nothing that can't break us apart
In two 
Cos all I see is you
All I See (feat. Mims)
 
Oh, oh, oh 
Please don't let me go oh, oh, oh
My love for you's growing oh, no, no
More and more and more oh, oh, oh 
As we move across the floor, oh, oh, oh 
Cos all I see is you
(Mims Rap) 
(Kylie) 
Cos all I see is you
All I See (feat. Mims)
 
(Mims Rap)
All I See (feat. Mims)
 
(Kylie)
All I See (feat. Mims)
 
'Cos all I see is you
Doesn't matter what's going on
Or who's around us
Cos all I see is you
All I see is you 
Right now they're playing our song
Dancefloor is ours 
All I see is you 
Cos all I see is you
The DJ's got me feelin' like I did
When I first met you 
And there's nothing that can't break us apart
In two 
Cos all I see is you
All I See (feat. Mims)
 
My baby 
Doesn't matter what's going on
Or who's around us
All I see is you 
Right now they're playing our song
Dancefloor is ours 
All I see is you 
The DJ's got me feelin' like I did
When I first met you 
And there's nothing that can't break us apart
In two 
Cos all I see is you
All I See (feat. Mims)
 
My baby 
Doesn't matter what's going on
Or who's around us
All I see is you 
Right now they're playing our song
Dancefloor is ours 
All I see is you 
The DJ's got me feelin' like I did
When I first met you 
And there's nothing that can't break us apart
In two 
Cos all I see is you
All I See (feat. Mims)
 
My baby 
Doesn't matter what's going on
Or who's around us
All I see is you 
Right now they're playing our song
Dancefloor is ours 
All I see is you 
The DJ's got me feelin' like I did
When I first met you 
And there's nothing that can't break us apart
In two 
Cos all I see is you


  ",All I See (feat. Mims),Kylie Minogue,,Sabe de quem é a composição? Envie pra gente.
"All I Wanna Do Is Make You Mine
 
Written: stock aitken waterman
All I Wanna Do Is Make You Mine
 
(* jason singing) 
(+ both kylie and jason singing)
All I Wanna Do Is Make You Mine
 
1a: 
You have got to believe me 
*i would never deceive you 
*i would never let you go 
*don't talk about leavin
*leavin' me here
All I Wanna Do Is Make You Mine
 
You were never at home 
When i called you on the phone, and 
I'm taken for a fool
Don't talk about romance
Talk about last dance
All I Wanna Do Is Make You Mine
 
1b: 
+don't talk about love
+like it is a fashion 
+love without true passion 
+are we really still in love 
+and all i wanna do 
+is make you mine, mine, mine
All I Wanna Do Is Make You Mine
 
Chorus: 
+all i really wanna do 
+is make you so, so happy 
+all i really wanna do 
+is make you smile 
+we can't go talking
+this over and over 
+and all i wanna do 
+is make you mine
All I Wanna Do Is Make You Mine
 
2: 
+don't let's take it for granted
+you still wanna be wanted 
+all we ever do is fight 
+talk about leavin
+each other behind
All I Wanna Do Is Make You Mine
 
+don't talk about love
+like it has not meaning 
+love without true feeling 
+are we really so alone 
+'cause all i wanna do
+is make you mine, mine, mine
All I Wanna Do Is Make You Mine
 
Chorus:
All I Wanna Do Is Make You Mine
 
Chorus:
All I Wanna Do Is Make You Mine
 
1b:
All I Wanna Do Is Make You Mine
 
Chorus: 
Mine mine
All I Wanna Do Is Make You Mine
 
Chorus: 
(repeat & fade)


  Essa informação está errada? Nos avise. ",All I Wanna Do Is Make You Mine,Kylie Minogue,,Composição: Matt Aitken / Mike Stock / Pete Waterman. 
