Lyrics,Song,Artist,Genre,Composition
"Agnieszka
 
Bylo cieple lato 
Choc czasem padalo 
Duzo wina sie pilo 
I malo sie spalo 
Tak zaczela sie 
Wakacyjna przyoda 
On byl jeszcze mlody 
I ona byl mloda
Agnieszka
 
Zakochani przy swietle ksiezyca nocami 
Chodzili dlugimi lesnymi sciezkami 
Tak mijaly tygodnie  
Lecz rozstania nadszedl czas 
Zawsze mowil jedno zdanie 
Moje sliczne ty kochanie 
Agnieszka
 
Ostatniego dnia tych pamietnych wakacji 
Kochali sie namietnie w meskiej ubikacji  
Przysiegli przed Bogiem milosc wzajemna 
Ze za rok sie spotkaja 
I na zawsze ze soba juz beda
Agnieszka
 
Tesknil za nia I pisal do niej listy milosne 
W samotnosci przezyl jesien zime wiosne 
Nie wytrzymal do wakacji 
Postanowil ja odwiedzic 
Bo nie dostal juz dawno  
Od niej zadnej odpowiedzi
Agnieszka
 
Gdy przyjechal do jej domu 
Po dosc dlugiej podrózy 
Cieszyl sie ze ja zobaczy 
W koncu tyle dla niej znaczyl 
Lecz gdy ona go ujrzal 
Szybko sie schowala 
Drzwi mu matka otworzyla 
No i tak mu powiedziala
Agnieszka
 
Agnieszka juz dawno tutaj nie mieszka 
O nie nie nie 
Agnieszka juz dawno tutaj nie mieszka 
Agnieszka juz dawno tutaj nie mieszka 
O nie nie nie 
Agnieszka juz dawno tutaj nie mieszka
Agnieszka
 
Rozczarowal sie  
Bo takie sa zawody milosne 
Cierpial cala jesien troche zimy no i wiosne 
A gdy przeszo mu zupelnie  
Pojechal na wakacje  
W tamto miejsce By zobaczyc Ta pamietna ubikacje 
Tak sie stalo ze przypadkiem ona tez tam byla 
Ucieszyla sie ogromnie Gdy go tylko zobaczyla 
Zapytala sie czy w sercu jego jest jeszcze Agnieszka 
Odpowiedzial jednym zdaniem  
Moje sliczne ty kochanie 
Agnieszka
 
Agnieszka juz dawno tutaj nie mieszka  
O nie nie nie 
Agnieszka juz dawno tutaj nie mieszka 
Agnieszka juz dawno tutaj nie mieszka 
O nie nie nie 
Agnieszka juz dawno tutaj nie mieszka


  Essa informação está errada? Nos avise. ",Agnieszka,Lzy,,Composição: Adam Konkol. 
"Aniele Moj
 
Czy uwazasz, ze wszystko jest w porzadku, 
i ze patrzysz na mnie tak, jak dawniej, 
i jak dawniej przynosisz mi sniadanie 
i jak kiedys mowisz mi Kochanie
Aniele Moj
 
Moze nie chce zobaczyc wielu rzeczy, 
moze ktos naprawde jest bez grzechu, 
lecz kto pierwszy rzuci kamien, nie zaprzeczy, 
ze najszybsza milosc to ta bez pospiechu
Aniele Moj
 
Aniele moj, 
tak brzmialo moje imie 
I magia slow 
zdobyles mnie, zdobyles 
I kto powiedzial, 
ze wszystko jest bez sensu 
Tacy, jak my, 
niewolnicy zmyslow
Aniele Moj
 
Aniele moj, 
tak zwykles mowic do mnie 
By slowa twe, 
tak kochac nieprzytomnie 
Ulotna milosc, 
i twoje porzadanie 
Aniele moj, 
czy w moim snie zostaniesz
Aniele Moj
 
Czy uwazasz, ze wszystko jest w porzadku, 
ze przynosisz mi kwiaty, jak dawniej, 
i ze nie masz nikogo na boku, 
i ze bedziesz mnie kochal w przyszlym roku
Aniele Moj
 
Moze nie chce zobaczyc wielu rzeczy, 
moze ja naprawde nie mam racji, 
wiem, ze chacialbys zatrzymac mnie na zawsze, 
lecz ja nie dam ci tej satysfakcji
Aniele Moj
 
Aniele moj, 
tak brzmialo moje imie 
Aniele moj, 
tak zwykles mowic do mnie


  ",Aniele Moj,Lzy,,Sabe de quem é a composição? Envie pra gente.
"Anka , To Tak
 
Mo¿e i nie jestem taka, jak¹ chcia³byæ abym by³a 
Czasem jestem jestem pró¿na i potrafiê byæ niemi³a  
Czêsto zmienna jak pogoda i za bardzo pewna siebie 
Ale przecie¿ to nie powód aby dzisiaj straciæ ciebie
Anka , To Tak
 
Wczoraj mi obiecywa³eœ bêdê z tob¹ do koñca twych dni 
Dzisiaj p³aczê œwiat siê œmieje co siê z tob¹ Aniu dzieje
Anka , To Tak
 
Moje serce krwawi bo mój ch³opak siê nie zjawi³ 
Stojê sama w sukni bia³ej przed o³tarzem
Anka , To Tak
 
Obiecujê ¿e po œlubie zmieniê w sobie wiele rzeczy 
Twoja mi³oœæ z moich wad szybko mnie wyleczy 
Bêdê grzeczna jak anio³ek zawsze twoja tak jak zechcesz 
Niebo ci otworzê wreszcie tylko gdzie ty teraz jesteœ...


  Essa informação está errada? Nos avise. ","Anka , To Tak",Lzy,,Composição: Adam Konkol. 
"Bez Sensu, Niewazne
 
Czuje sie tak, jakbym swiat odgadla 
Juz zadne ze slow nie cisnie sie do ust 
Nie mowie nic, szarzeje moja postac 
Nie wiem, czy skonczyc juz 
Nie wiem, czy skonczyc juz 
czy jeszcze chwile zostac
Bez Sensu, Niewazne
 
I niewazny jest juz zaden gest 
Nie wazne zadne slowo jest 
Juz nic wiecej nie liczy sie
Bez Sensu, Niewazne
 
Poczujesz sie tak, jakbym ci swiat ukradla 
Juz zadne za slow nie padnie z twoich ust 
Nie bedziesz mogl patrzec na nasza niema rozpacz 
I tak jak ja bedziesz 
I tak jak ja bedziesz 
chcial tu dluzej zostac
Bez Sensu, Niewazne
 
I niewazny jest juz zaden gest 
Nie wazne zadne slowo jest 
Juz nic wiecej nie liczy sie
Bez Sensu, Niewazne
 
I niewazny jest juz zaden gest 
Nie wazne zadne slowo jest 
Juz nic wiecej nie liczy sie
Bez Sensu, Niewazne
 
I niewazny jest juz zaden gest 
Nie wazne zadne slowo jest 
Juz nic wiecej nie liczy sie


  ","Bez Sensu, Niewazne",Lzy,,Sabe de quem é a composição? Envie pra gente.
"Chcialabym, Chcialam Byc
 
Chcialam byc blaskiem w Twoich oczach 
Chcialam byc perla w Twojej dloni 
Nie mam nic oprocz swoich marzen 
Nie chce byc jablkiem na jabloni 
Chcialam byc slowem w Twoich ustach 
Chcialam byc czastka Twoich mysli 
Nie mam nic oprocz swojej piesni 
Nie chce byc lisciem posrod lisci
Chcialabym, Chcialam Byc
 
Chcialam byc spadajaca gwiazda 
Chcialam byc ksiezycem na niebie 
Nie mam nic oprocz swojej dumy 
Nie chce byc galezia na drzewie 
Chcialam byc swiatlem dla Twej drogi 
Chcialam byc sensem Twego zycia 
Oprocz chwil nie mam dzis nic wiecej 
Nie chce byc dzwiekiem w tej piosence


  ","Chcialabym, Chcialam Byc",Lzy,,Sabe de quem é a composição? Envie pra gente.
"Ciszej, Ciemniej
 
ciemno coraz ciemniej za dnia 
nieprzyjemne chlodne sciany ze szkla 
pierwsza spowiedz od dziewieciu lat 
[wiecej grzechow nie pamietam
 
umarl dla mnie swiat
Ciszej, Ciemniej
 
cisza sterylnego tla 
nieprzyjemne chlodne sciany ze szkla 
lezac czekam na ostatni dzien 
rozplyne sie jak cien
Ciszej, Ciemniej
 
niczyj zegar w kacie tkwi 
bez ustanku kradnac dni 
jestes jeden bog wie gdzie
Ciszej, Ciemniej
 
jeszcze wierze ze przyjdziesz 
tylko prosze pospiesz sie
Ciszej, Ciemniej
 
ciemno coraz ciemniej za dnia 
nieprzyjemne chlodne sciany ze szkla 
lezac czekam na ostatni dzien 
[gasnie nocna lampka
 
prosze pospiesz sie
Ciszej, Ciemniej
 
niczyj zegar w kacie tkwi 
bez ustanku kradnac dni 
jestes jeden bog wie gdzie
Ciszej, Ciemniej
 
jeszcze wierze ze przyjdziesz 
tylko prosze pospiesz sie


  ","Ciszej, Ciemniej",Lzy,,Sabe de quem é a composição? Envie pra gente.
"Czasami, Ot Tak
 
Czasem chce uzywac slow, 
ktorych nie wypada mi mowic 
Czasem mysle o rzeczach, 
ktorych nie powinnam robic 
Godzinami wpatruje sie w sciany, 
jakby to tam ukryta byla prawda 
Czasem wydaje mi sie, 
ze jestem w domu wariatow
Czasami, Ot Tak
 
Skoro juz jestem tu, 
nie zatrzymujcie mnie 
Jesli mnie znasz, 
to wiesz, zrobie co chce
Czasami, Ot Tak
 
Wyobrazam sobie czasem 
jakby to bylo skoczyc glowa w dol 
Wyobrazam sobie czasem 
jakby to bylo uderzyc glowa w stol 
A obok mnie dwie czerwone duze plamy 
Zwisajace bezwladnie rece 
na nich nozem ciete rany
Czasami, Ot Tak
 
Czasem to wszystko ma sens 
kiedy przychodzisz tutaj 
Czasem wystarczy twe spojrzenie 
abym wiedziala, jak mam na imie 
Godzinami wpatruje sie w ciebie, 
jakbys to ty byl ukryta prawda 
Czasem wydaje mi sie, 
ze jestem w domu wariatow
Czasami, Ot Tak
 
Skoro juz jestem tu, 
nie zatrzymujcie mnie 
Jesli mnie znasz, 
to wiesz, zrobie co chce
Czasami, Ot Tak
 
Wyobrazam sobie czasem 
jakby to bylo skoczyc glowa w dol 
Wyobrazam sobie czasem 
jakby to bylo uderzyc glowa w stol 
A obok mnie dwie czerwone duze plamy 
Zwisajace bezwladnie rece 
na nich nozem ciete rany
Czasami, Ot Tak
 
Wyobrazam sobie czasem, 
jakby to bylo, gdybym nie byla tu 
Wyobrazam sobie czasem ciebie 
i mnie i nasz szklany stol 
Jemy wspolnie sniadanie 
pamietasz przeciez kiedys tak bylo


  ","Czasami, Ot Tak",Lzy,,Sabe de quem é a composição? Envie pra gente.
"Czy To Grzech, Labedz
 
W labedzia zmienie sie 
i odlece jak najdalej dalej stad 
Bys nie mogl odnalezc mnie 
posrod ludzi ktorzy tutaj gardza mna 
Zabilam czlowieka ktory jeszcze 
nie zdazyl narodzic sie 
I powiedz mi prosze prosze 
czy to jest grzech, 
czy to moze nie jest grzech. 
Nieudana droga zycia 
po ktorej musze isc 
Krete sciezki korytarze 
ktorych musze sie strzec
Czy To Grzech, Labedz
 
I noc byla ciemna piekna 
posrod blaskow ktos stanal 
na mojej drodze 
I zerwal ze mnie wszystko 
co mialam na sobie idac posrod drzew 
Ten gwalt zrodzil zycie 
ktore ja zabilam 
by sie nikt nie dowiedzial 
I powiedz mi prosze 
prosze czy to jest grzech 
czy to moze nie jest grzech 
Nieudana droga zycia 
po ktorej musze isc 
Krete sciezki korytarze 
ktorych musze sie strzec


  ","Czy To Grzech, Labedz",Lzy,,Sabe de quem é a composição? Envie pra gente.
"Dla Milosci Warto
 
Budzisz mnie co rano slodkim pocalunkiem 
Bez okazji podarunkow mam juz sto 
Na dzien dobry rzucasz pare komplementow 
I uwielbiasz kiedy budzi cie moj glos 
Tak wiem, ze wierny jestes mi jak pies 
I nalogow w twoim zyciu zadnych nie ma 
Aureola swieci ponad twoja glowa 
Na pierwszy rzut oka dla wszystkich ideal
Dla Milosci Warto
 
Draznisz mnie gdy jestes gdzies obok 
Gdy zasypiam udajesz, ze cie nie ma 
Kiedy wiesz co mowisz, ze mnie boli glowa 
- Czy wiesz jak cie kocham - twoje glupie slowa 
Tak wiem, ze kochasz mnie bardzo 
I wiem, ze nie mozesz beze mnie zyc 
Dla milosci nie wszystko zrobic warto 
Ja na przyklad juz nie chce z toba byc
Dla Milosci Warto
 
Nie obchodzi mnie co z nami zrobic chcesz 
Nie rozumiem cie juz, Nie kocham cie juz 
Nie obchodzi mnie juz zadna glupia rzecz 
Nie rozumiem cie juz, Nie kocham cie juz 
Nie obchodzi mnie co myslisz i co wiesz 
Nie rozumiem cie juz, Nie kocham cie juz 
Nienawidze twoich ust i twoich slow 
Nie kocham cie juz


  ",Dla Milosci Warto,Lzy,,Sabe de quem é a composição? Envie pra gente.
"Dzis Bedziesz Moj
 
Choc znamy sie od wielu lat 
Nic nie wiesz o tym, 
ze przyslaniasz mi swiat
Dzis Bedziesz Moj
 
To prawda nikogo nie pragne jak ciebie 
to prawda 
Zobaczysz bedzie ci tak dobrze jak w niebie, 
zobaczysz
Dzis Bedziesz Moj
 
Dzis bedziesz moj do ucha ci szepne, 
Bedzie ci tak dobrze jak nigdy przedtem
Dzis Bedziesz Moj
 
Choc zimny jest z ciebie dran 
Jestes najlepszy bez dwoch zdan
Dzis Bedziesz Moj
 
To prawda nikogo nie pragne jak ciebie, 
to prawda 
Zobaczysz bedzie ci tak dobrze jak w niebie, 
zobaczysz
Dzis Bedziesz Moj
 
Nie miales takiej jak ja, 
przekonasz sie tego dnia 
Nie miales takiej jak ja 
przekonasz sie tego dnia
Dzis Bedziesz Moj
 
Dzis bedziesz moj
Dzis Bedziesz Moj
 
Dzis bedziesz moj


  ",Dzis Bedziesz Moj,Lzy,,Sabe de quem é a composição? Envie pra gente.
