Lyrics,Song,Artist,Genre,Composition
"Aquário
 
Aquário 
Personalidade ativa e dinâmica 
Este signo simboliza o julgamento
Aquário
 
Aquário 
Trilha sonora pra um ataque surpresa 
Corajoso ao ponto de audacioso


  Essa informação está errada? Nos avise. ",Aquário,Mzuri Sana,,Composição: Dj Suissac / Mzuri Sana. 
"Bairros Cidades Estrelas Constelações
 
Bairros, cidades, estrelas, constelações 
Homens, mulheres, segredos, imperfeições
Bairros Cidades Estrelas Constelações
 
As cartas tão na mesa, com certeza 
Meu passo não será dado só por um instinto 
Parece fácil, mas se torna complicado 
Achar saída é como um labirinto 
De quatro elementos, foi criado o quinto 
Pensando e agindo com inteligência 
Em um sistema onde muitos só vivem de aparências 
Consciência aflorando na selva de trama 
MSana jogando o álcool que inflama na chama 
Para mantê-la acesa 
Vejo a esperteza de dragões dentro do jogo 
Só usando as presas 
Inteligência emocional se transformando em artificial 
Num mundo mais virtual que a fantasia, afinal
Bairros Cidades Estrelas Constelações
 
Bairros, cidades, estrelas, constelações 
Homens, mulheres, segredos, imperfeições
Bairros Cidades Estrelas Constelações
 
Rimas de todas as cores 
Outros planetas, eu visito num segundo 
Esse mundo onde penso e logo existo 
É só o começo de algo maior 
MCs da minha liga usam martelo como mic, Thor 
Super-poderes para sobreviver na grande cidade 
Onde portões parecem grades 
Vejo manos covardes, ouço vozes ferozes 
Sonhos se quebram como nozes 
Mas o sol que me acompanha pela rua pede calma e foco 
Eu só lhe toco por termos algo em comum 
Codinome Parteum, eu jogo limpo, aperte o cinto 
Se prepare pra entender onde é que o mundo acaba 
Abracadabra, vez em quando, a mágica não acontece 
Quero flores no deserto, chuva no agreste 
Quero paz entre vogais e consoantes 
Nunca um falso militante, memória de elefante 
Nesse jogo que circula vitória, faz só sua glória de ser MC 
De produzir, pra no palco subir 
Poder fluir, como ondas positivas mudam o clima 
Eu ando acima dos olhares que secam o meu caminho 
Estranho no ninho, estilo Jack Nicholson
Bairros Cidades Estrelas Constelações
 
Bairros, cidades, estrelas, constelações 
Homens, mulheres, segredos, imperfeições
Bairros Cidades Estrelas Constelações
 
Pós-guerra, silêncio por toda a esfera 
O jogo ferra, mas quem sabe, não espera 
Msana treme-terra 
Trago inovação e gana pra esse plano 
Faço história nos meus dias dentro desse plano (e aê) 
Eu penso e tento fazer um plano diferente, consciente 
Que traz simplicidade ao planeta Terra 
O ser que odeia o que não entende, nessa terra, erra 
Os pensamentos de luxúria se transformam em guerra 
Eu não vou perder, eu não vou ceder 
Minha existência é controlada por um nobre poder 
Eu alimento a mente, esquento o coração 
Meus pensamentos vão além dessa jurisdição 
Eu não me engano 
Sei que o juiz dos próprios atos é 
Você mesmo e não a sociedade 
A criação e destruição aqui na Terra se conjugam com a humanidade
Bairros Cidades Estrelas Constelações
 
Bairros, cidades, estrelas, constelações 
Homens, mulheres, segredos, imperfeições


  Essa informação está errada? Nos avise. ",Bairros Cidades Estrelas Constelações,Mzuri Sana,,Composição: Parteum / Secreto. 
"Dragão Mimado
 
os surdos não querem que ninguém saiba. 
Velha história passa a ser nova
Dragão Mimado
 
Eu não visto a fantasia e passeio no meu carro invisível, 
Próximo nível só o som é visível 
Indefinível como 11 de setembro de 2001. 
Parte um, eu trago a jóia do nilo. 
Assobio e observo como talentoso ripley 
No limite da minha mente onde mundos colidem, povos se agridem, 
Vocês decidem qual será o final. 
Numa tenda no nepal, ou lá no centro com kamau eu rimo. 
Se liga, primo! tô fazendo meus beats 
Não dá palpite, se o assunto é rhima rhara me cite. 
Já te disse que minha rima é um reflexo complexo 
Da mágica, da lástima, da tática pra ficar vivo. 
Meu plano é bem maior que os prédios da berrini. 
Vim pra aprender, mas querem que eu ensine. supercine. 
Ao mestre com carinho eu dedico. 
Cada instrumental, cada rima, cada linha. 
Meu batuque é na cozinha, na sala, no quarto. 
Se a intenção é dar a luz meu hip-hop entra em trabalho de parto 
Porque eu tô farto dos agentes do fbi, da atf. 
Rimando num blefe, esperando o cash. 
Aperte o flash. todo mundo é damon dash na festa 
E o que me resta senão me concentrar 
Fazer algo que presta, fazer o bem até pra quem me detesta.
Dragão Mimado
 
Levante se estiver sentado, 
Mcees daqui pra frente tudo será mudado 
Eu tô ligado. uma coroa, um castelo encantado 
Pro cavaleiro que vencer no verso livre o tal dragão mimado(x2)
Dragão Mimado
 
Eu enfio o mundo inteiro num disquete, abro a sessão e 
Aumento o som fazendo rap du bom lutando como qui-gon, entenda. 
A força está comigo onde quer que eu vá, 
Numa festa em san diego ou numa van perto da arapuá. 
Vim pra mudar o panorama deste drama malfeito, 
Rimo direito como escravos faziam tempos atrás, 
Mas nunca, não mais preso as correntes. 
Nos olhos da serpente eu vejo a fábrica do mal do mundo. 
Eu não confundo, eu sacudo seu cerebelo. 
Mando cartas sem selo usando um mi-cro-fone de mão. 
Lembro de tudo como o povo brasileiro em dia de eleição.
Dragão Mimado
 
Levante se estiver sentado, 
Mcees daqui pra frente tudo será mudado 
Eu tô ligado. uma coroa, um castelo encantado 
Pro cavaleiro que vencer no verso livre o tal dragão mimado(x2)
Dragão Mimado
 
Ao menos tente. observe a mulher ao seu lado. 
Observe como todos se parecem quando o som tá ligado. 
Baile lotado ninguém tá parado, então eu prossigo 
Defendendo minhas teses de evolução. 
Pacifismo, politeísmo. 
Mesmo à beira de um abismo ouço o som da mudança, 
Mesmo louco e estereotipado. 
Eu sei meu lado, vejo centenas de dragões mimados 
Dizendo que o mundo não pertence a um quadro maior 
E que a eles fora dado o direito de se acharem melhores 
Eu tenho dó, mas agora me deparo com um monstro crescido 
Que engana e dilacera seu melhor amigo. 
Minha rima é o antídoto pra sua cilada. 
Meu parecer é o que faltava na sua folha ilustrada, 
Não diga nada até que o céu mude de cor de repente, 
Não se anime com o sofrer deste povo carente.
Dragão Mimado
 
Levante se estiver sentado, 
Mcees daqui pra frente tudo será mudado 
Eu tô ligado. uma coroa, um castelo encantado 
Pro cavaleiro que vencer no verso livre o tal dragão mimado(x2)


  Essa informação está errada? Nos avise. ",Dragão Mimado,Mzuri Sana,,Composição: Mzuri Sana. 
"Farpas Pregos Nuvens Orações
 
De volta a SP, onde meu celular funciona, mas eu nunca atendo, Jornada em dobro 
Meu talento me garante mais trabalho 
Quanto mais batalho, mais preciso de 
Alho e água benta pra deixar vampiros longe do meu mic 
Eu faço a coisa certa, feito Spike Lee 
Me movo feito Bruce Lee, em Operação Dragão 
Mimado, morto 
Eu sempre rimo torto, acerto bem no som da sua casa 
Sem efeito de fumaça ou barbitúricos 
Meu único trabalho é elevar a alma à areia 
Pra que a ceia seja farta 
Mais capital pra carta que escrevo 
Pra mulher que já me disse sim 
Se for comer capim, que seja orgânico e tratado 
Se for falar de mim, seja no mínimo educado, mais articulado 
Emcee que faz a base, lança o disco 
Corro o risco, como o taxista Max, em Colateral 
Corte longitudinal (ah!) 
Cérebro adentro pra mudar sua percepção 
No fone, com o espião, falo de progressão harmônica 
Bases de sete anos, nunca mudei meus planos 
Mas reprogramei as linhas pra chegar até aqui 
Evoluir dentro do caos da náusea, comer a flor 
Caráter não tem cor 
Mas minha rima é pelo canto dos escravos em navios 
Misture-me ao ritmo 
Função da hemoglobina, cada verso, mente e sina 
A-ha!
Farpas Pregos Nuvens Orações
 
Farpas, pregos, nuvens, orações 
Contas, broncas, timbres, transações
Farpas Pregos Nuvens Orações
 
Meu Star Wars termina onde Batman começa 
Nossa rima te arremessa pra uma outra dimensão 
Quase sempre sem refrão, em discos de vendagem baixa 
Depende da visão de quem os compra 
Eu rompo a face do juízo 
Convém dizer: preciso de mais tempo no estúdio 
Esquecer do jogo sujo das máscaras 
Que alternam em cirandas absurdas 
Pra não rodar nas curvas, flow antiderrapante 
Se a guerra é estressante pra quem tá ganhando 
Diz quem tá ganhando, se até o juiz que fazer gol? 
O amanhã chegou, mas alguns teimam em dizer: 
Ah! Isso aqui não é bem arte 
Releia meu encarte 
De tijolo em tijolo, eu te apresento a segunda parte 
A-ha!
Farpas Pregos Nuvens Orações
 
Farpas, pregos, nuvens, orações 
Contas, broncas, timbres, transações
Farpas Pregos Nuvens Orações
 
Escrevo torto nessa linha certa 
Me diz, aí, quem está alerta 
Então, desvende o maior segredo que pra mim é o mundo 
Porque, se a vida fosse um filme, no fim 
Eu sei que a dama sempre acabaria com um vagabundo 
Nesse mundo moribundo, não confundo 
Piso fundo, lá no fundo, eu já vejo uma janela aberta 
Quanto mais secreto eu sou, mais secretas as mentiras 
Que essa pátria sempre acoberta 
Poesia concreta, nesse mundo de concreto 
Onde janelas não se abrem 
Como as que abrem nos programas de computador 
Será que um NS5 realmente sabe o que é o amor? 
Será que linhas como essa serão escritas por algum robô? 
Extermine esse futuro como fez aquele tal ator 
Enquanto máquinas evoluem 
A humanidade sobrevive dias de terror
Farpas Pregos Nuvens Orações
 
Farpas, pregos, nuvens, orações 
Contas, broncas, timbres, transações


  Essa informação está errada? Nos avise. ",Farpas Pregos Nuvens Orações,Mzuri Sana,,Composição: Mzuri Sana / Parteum / Secreto. 
"Intro
 
[


  Essa informação está errada? Nos avise. ",Intro,Mzuri Sana,,Composição: Mzuri Sana / Parteum. 
"Oh, Vander!
 
Tem uns erros 
Agora é minha vez, hã 
Tem uns erros 
Agora eu vou rimar
Oh, Vander!
 
Minha vez van, vai, uh 
Sai daí baiano 
Baiano não, não me xinga de baiano não 
Sai daí baiano 
Ou, cê acha que esses erros
Oh, Vander!
 
Não, é cê fez o das rimas 
É, das rimas 
E arde o oio 
Oh Vander, vou ter que fazer as mim


  ","Oh, Vander!",Mzuri Sana,,Sabe de quem é a composição? Envie pra gente.
"Pedras No Caminho São
 
Bruxos da corporação mude sua opinião, dance pro meu verso então ouça esse meu plano são 
Larvas dessa plantação, mundo belo homem cão, seria manifestação pedras no caminho são 
(2x)
Pedras No Caminho São
 
Seres perdidos em busca de ouro e fama da tribo Mzuri Sana eu faço beats complicados com a grupe na minha cama 
Alguns imitam Osama mas no fronte tomam tapas socos viram casacas, se escondem atrás de placas, cumprimento  tais babacas e eles nada falam só exalam o cheiro dos falsos 
como botas que calçam eu não aperto me acerto nessa Odisséia 
Anos luz de quem me inveja quem além da media cuspo rimas de fogo tomo liquido dos beats 
Massa de manobra é ridículo, se perca no meu círculo de beats e rimas dissonantes 
Quem vive do instante sempre perde o próximo meu nervo óptico interpreta o caos o plano centro a atenção que se divide como o dinheiro de crime o tormento 
Parte um lente de aumento coesão logística com tolos eu não falo, atrapalham a minha visão mística 
Neuro lingüística explica seu aperto de Mao, força, quem só busca pelo em ovo nunca sai da casca 
Metamorfose tipo France Kafka
Pedras No Caminho São
 
Bruxos da corporação mude sua opinião, dance pro meu verso então ouça esse meu plano são 
Larvas dessa plantação, mundo belo homem cão, seria manifestação pedras no caminho são 
(2x)
Pedras No Caminho São
 
Abalaiaco, Mzuri Sana 
...... manifestações em língua africana, desencana tipo mistura insana 
Aflorando o inconsciente, aham, inteligente nesse mundo mais perdido que Jurassic 
Onde tais malignos um ataque na corporação de bruxos que encontra por todo caminho 
Secreto retomando as lições em dialeto, deixada pelo meu corno velho pergaminho 
Outros caminhos que levam beats e rimas e a vida para um novo aperfeiçoamento 
É mces fazendo ritmo e poesia e além dos fragmentos quinto elemento afogando os lamentos para fazer algo do bem fluir, enfim ser um mc mais underground também é mais um caminho pra o meio swing 
Na moral, sempre sempre na moral 
É como diz aquele velho amigo: sempre congele a opinião dos que te querem como inimigo 
E nunca revidi, M-Z-U dramaturgia da vida como ela é tipo Nelson Rodrigues 
Revelações das transações, onde caneta mudam vidas abrem velhas feridas pra entender 
Você precisa se entender primeiro, no mundo falsos guerreiros defendem 
Falsos condados correndo pra vários os lados presídios super lotados, o homem mais animado pia 
Paralelos entre o erro e a interrogação, o seu destino é me entender bem além do refrão
Pedras No Caminho São
 
Bruxos da corporação mude sua opinião, dance pro meu verso então ouça esse meu plano são 
Larvas dessa plantação, mundo belo homem cão, seria manifestação pedras no caminho são 
(2x)


  ",Pedras No Caminho São,Mzuri Sana,,Sabe de quem é a composição? Envie pra gente.
"Ópera Oblíqua
 
Segundo a tradição machadiana 
Tudo cabe na mesma ópera 
Um de seus ilustres personagens disse 
A vida é uma grande ópera
Ópera Oblíqua
 
As vezes a música vai por um lado, os músicos por outro 
E mesmo que aqui não caiba a briga entre 
Tenores, sopranos, contralto e barítono 
Estamos nós, mais uma vez, no teatro da improbabilidade 
Tecendo novas maneiras de dizer o que você já deve saber
Ópera Oblíqua
 
O agora importa mais que nunca 
Seja bem-vindo à Ópera Oblíqua


  Essa informação está errada? Nos avise. ",Ópera Oblíqua,Mzuri Sana,,Composição: Parteum. 
"Quem é Real
 
E aê, na moral, sempre na moral, sempre na moral 
E a parada é saber quem é real e quem não é porque 
Pode crer, pode acreditar, muita coisa errada
Quem é Real
 
Secreto peka mun zi 
Tomem granadas, Suissac, é tudo humuana fun zi 
Dando a sequência com uma MC 
Levando os beats pras cabeças como eu ponho na MPC 
Sintonizado em 100% Stereo 
Te definindo nas palavras como no Aurélio 
O novo autor da nova escola te traz o critério 
Ultrapassando faculdade com a sabedoria 
A minha ciência de escrever 
Descreve a Terra como um livro de geografia 
E mesmo assim não sou fantástico 
Mas os meus versos se comparam 
Aos textos da Glória Maria 
Mzuri Sana novo estilo de filosofia (aham, aham)
Quem é Real
 
Quem é real e quem não é, eu sei 
Chamei meus manos, fui pro estúdio, chama o DJ 
Peka mun zi, humuana fun zi numa terra sem lei, eu sei 
Quem é real e quem não é, não é, não é
Quem é Real
 
Eu tenho versos e versos, rimas e rimas 
Jogo pra cima, vo + cabulário, ilimitado 
Mzuri Sana bom recado dado 
Verbo elevado em ultima potência 
Que eu recito com inteligência 
Malemolência no microfone 
Eu me defendo de uma pá de clone 
Clones tipo Dolly, corre quando eu apareço 
Humuana fun zi, eu pago o preço, esqueço 
Inveja mata, nada nesse mundo vem de graça 
Mesmo que eu faça o certo 
Ando com o errado do lado 
Quem ta ligado faz acontecer 
É peka mu zi que ativa a leveza do ser, eu traço um no microfone 
Eu tenho muito a fazer, deu pra entender? Se liga primo 
Aqui é tudo humualu 
Evolução na locução dessas palavras que eu rimo 
Estimo poucos, conheço muitos 
Porque a vida sempre foi assim 
A caixa bate, o bumbo explode, eu vou até o fim 
Mas você não me vê, não me ouve, não entende 
Não me ilude mais 
Falando mal do mundo do banco de trás 
Deixa pra lá, eu puxo o verso de maneira eficaz
Quem é Real
 
Peguei no microfone agora vou versar 
Ultrapassando o patamar de não parar de pensar 
Peka mun zi três MCs, três microfones, Sana Mzuri, agrupamento 
Altos acionistas de conhecimento 
Utilizando os elementos, falando até em aramaico 
Com os nossos verso nos formamos um mosaico 
É peka mun zi quem já faz e traz 
Força nas rimas com sais minerais 
Preste atenção na nossa informação 
A ambição faz um irmão chegar a traição 
Mzuri Sana rasga o verbo sem má expressão 
Levando pra batalha uma granada em nosso cinturão 
Pra quem não muda nada, eu trago a solução 
Habilidade na rima com sofisticação 
Aqui Granada, explosão sonora 
Peka mu zi, forte MC memo é humuana fu zi 
Meça as palavras do meu vocabulário 
Nesse jogo eu falo sério, eu to, eu to no páreo 
Tipo um gladiador, não, um mercenário 
Dispense o estrelismo, dispense o estrelismo 
Quebro o cenário 
Pegar papel, caneta e traçar um verso como meu itinerário 
Subir no palco, pegar no microfone, ultrapassar o tempo 
O tempo, ao vento, soltar meus versos, que são complexos 
É como dominar o universo 
Sendo mais um da plebe, minha levada, meu progresso 
Mas eu não meço esforços, se tiver que dar o sangue 
O sangue eu dou até os ossos 
Como os heróis tem a sua resistência 
Do sétimo volume, no sétimo volume foi revelada a essência 
Minha arma é a inteligência 
Eu vim do sétimo volume pra te fazer entender 
Que tem escritor que sobe no palco e não tem proceder 
Eu devo escolhe entre um tridente e uma vida sofrida na Terra 
Parteum conhecimento que se expande além da nula esfera
Quem é Real
 
Quem é real e quem não é, eu sei 
Chamei meus manos, fui pro estúdio, chama o DJ 
Peka mun zi, humuana fun zi numa terra sem lei, eu sei 
Quem é real e quem não é, não é, não é


  Essa informação está errada? Nos avise. ",Quem é Real,Mzuri Sana,,Composição: Granada / Mzuri Sana / Parteum / Secreto. 
"Rap de Raiz
 
(Parteum) 
Aham... certas coisas nunca mudam, outras coisas ... é
Rap de Raiz
 
Dizem que eu rimo complicado não, eu rimo iluminado 
como poucos 
são bem poucos os que andam ao meu lado 
Sem querer me derrubar eu nunca paro pra pensar por 
qual motivo o o que vi esta na boca de quem pensa só 
em roupa, curta e carro 
Eu não rimo por embalo entro em transe quando escrevo 
só me explico quando devo 
então me diga agora mesmo quanto pesa sua alma quando 
na Terra existe carro alguém já foi pra outro plano 
Meu método é insano mas é eficaz eu nunca brigo por 
migalhas juntos ganharemos mais caos 
Ordem e paz os reis aqui são sempre iguais pouco me 
importa sua cor eu vejo alem de cada capa 
Mesmo de um CD pirata aperte o play ouça a mensagem 
O som pra tal viagem que você tanto sonhou 
O abraço que lhe deram quando o diploma chegou 
O beijo da mulher por quem se apaixonou... UOU!
Rap de Raiz
 
Refrão (2x) 
Escute-me, ajude-me, mova-se reflita se puder 
Esse mundo que é sagrado nada vale 
Mas é séria essa missao de me trazer elevaçao em 
outros tópicos 
LÓGICO! 
RAP DE RAIZ!!!
Rap de Raiz
 
(Secreto) 
Escuta escuta e me ajuda que eu te ajudo quando rimo 
Rimo idéias, rimo obras mas a vida é quem te ensina 
Ensina que o ódio não é razão pra se viver 
Saber viver é entender que conviver com nossos erros é 
sinonimo de virtude (escuta-me, ajuda-se) 
Jogue limpo com o proximo se quer que as coisas mudem 
Quem aqui na capital dos 7 pecados não se ilude? 
Rudes, atitudes cada vez mais mantem o homem distante 
da plenitude, como as boas lembranças de um adulto na 
juventude 
A juventude na masturbaçao mental com os estudos do 
pré-modernismo 
Criam sonhos de verao com sonetos e cançoes que abalam 
as estruturas do capitalismo 
Onde o real enferniza quem for real (tisssss) 
Mas real quem for vai manter o realismo 
Reflita nesse meu lirismo onde o visual que é tão 
concreto quanto Augusto de Campos no concretismo 
Sismo, com pose de rappers de profissao HIP HOP é 
liberdade de expressao não de depressao 
O que da forma a nossa arte é criaçao e a inovaçao 
(escuta-me, mova-se) 
Que é rap de raiz vai muito alem de revoluçoes que são 
tão sorte como pluma 
Show é maravilhoso e a cena nunca tem fim porque o 
cenário não é de Trumman
Rap de Raiz
 
Refrão (2x) 
Escute-me, ajude-me, mova-se reflita se puder 
Esse mundo que é sagrado nada vale 
Mas é séria essa missao de me trazer elevaçao em 
outros tópicos 
LÓGICO! 
RAP DE RAIZ!!!
Rap de Raiz
 
(Parteum) 
O amor que tu me destes era vidro e já trincou 
A vida vira pressa em cada linha que sou 
Exato, puro, transparente sou mais um sobrevivente 
dessa guerra sem sentido algum lutando por um bem 
comum 
Eu tento desviar do fogo dos que pecam por engano, dos 
que acham feio o plano de falar bonito na rima 
Eu cito Malcolm, Martin, Seu Antonio, Dona Bete, 
Junior com o mic sempre punha 
Não estive na São Bento mas eu sei a história toda o 
rap em casa já fez Boda paciente como o yoda esperando 
a minha vez 
MCS de um só mês não sei se desse 
Se tá valendo nesse mic então escute-me, ajude-me
Rap de Raiz
 
Refrão (2x) 
Escute-me, ajude-me, mova-se reflita se puder 
Esse mundo que é sagrado nada vale 
Mas é séria essa missao de me trazer elevaçao em 
outros tópicos 
LÓGICO! 
RAP DE RAIZ!!!
Rap de Raiz
 
(scratchs) 
É RAP DE RAIZ 
PODE ACREDITAR


  ",Rap de Raiz,Mzuri Sana,,Sabe de quem é a composição? Envie pra gente.
