Lyrics,Song,Artist,Genre,Composition
"Abrupt Onslaught
 
[


  Essa informação está errada? Nos avise. ",Abrupt Onslaught,NyxTheShield,,Composição: NyxTheShield. 
"A Call From The Past
 
[


  Essa informação está errada? Nos avise. ",A Call From The Past,NyxTheShield,,Composição: NyxTheShield. 
"Accentus
 
[


  Essa informação está errada? Nos avise. ",Accentus,NyxTheShield,,Composição: NyxTheShield. 
"A Cure for Amnesia
 
[


  Essa informação está errada? Nos avise. ",A Cure for Amnesia,NyxTheShield,,Composição: NyxTheShield. 
"A Dreemurr's Return
 
[


  Essa informação está errada? Nos avise. ",A Dreemurr's Return,NyxTheShield,,Composição: NyxTheShield / Toby Fox. 
"Advent
 
[


  Essa informação está errada? Nos avise. ",Advent,NyxTheShield,,Composição: NyxTheShield. 
"A Familiar Theme
 
[


  Essa informação está errada? Nos avise. ",A Familiar Theme,NyxTheShield,,Composição: NyxTheShield. 
"Aftermath
 
[


  Essa informação está errada? Nos avise. ",Aftermath,NyxTheShield,,Composição: NyxTheShield. 
"A Gift
 
[


  Essa informação está errada? Nos avise. ",A Gift,NyxTheShield,,Composição: NyxTheShield. 
"A Last Strike Back
 
[


  Essa informação está errada? Nos avise. ",A Last Strike Back,NyxTheShield,,Composição: NyxTheShield / Toby Fox. 
"Alternation
 
[


  ",Alternation,NyxTheShield,,Sabe de quem é a composição? Envie pra gente.
"Ambitions & Illusions
 
[


  ",Ambitions & Illusions,NyxTheShield,,Sabe de quem é a composição? Envie pra gente.
"Amended
 
[


  Essa informação está errada? Nos avise. ",Amended,NyxTheShield,,Composição: NyxTheShield. 
"A Message
 
[


  Essa informação está errada? Nos avise. ",A Message,NyxTheShield,,Composição: NyxTheShield. 
"A Nightmare Appears
 
[


  ",A Nightmare Appears,NyxTheShield,,Sabe de quem é a composição? Envie pra gente.
"Animus
 
[


  Essa informação está errada? Nos avise. ",Animus,NyxTheShield,,Composição: NyxTheShield. 
"Asgore the Fallen King
 
[


  Essa informação está errada? Nos avise. ",Asgore the Fallen King,NyxTheShield,,Composição: NyxTheShield. 
"Ashen
 
[


  Essa informação está errada? Nos avise. ",Ashen,NyxTheShield,,Composição: NyxTheShield. 
"A Sweet Nightmare
 
[


  Essa informação está errada? Nos avise. ",A Sweet Nightmare,NyxTheShield,,Composição: NyxTheShield. 
"Augury
 
[


  Essa informação está errada? Nos avise. ",Augury,NyxTheShield,,Composição: NyxTheShield. 
"Awaited Return
 
[


  Essa informação está errada? Nos avise. ",Awaited Return,NyxTheShield,,Composição: NyxTheShield. 
"A Welcoming Smile
 
[


  Essa informação está errada? Nos avise. ",A Welcoming Smile,NyxTheShield,,Composição: NyxTheShield. 
"Back To The Start
 
[


  Essa informação está errada? Nos avise. ",Back To The Start,NyxTheShield,,Composição: NyxTheShield. 
"Bakery Show
 
[


  Essa informação está errada? Nos avise. ",Bakery Show,NyxTheShield,,Composição: NyxTheShield. 
"Battered Hero
 
[


  Essa informação está errada? Nos avise. ",Battered Hero,NyxTheShield,,Composição: NyxTheShield. 
"Bete Noire
 
[


  Essa informação está errada? Nos avise. ",Bete Noire,NyxTheShield,,Composição: NyxTheShield. 
"Betrayal
 
[


  ",Betrayal,NyxTheShield,,Sabe de quem é a composição? Envie pra gente.
"Bitter Reception
 
[


  Essa informação está errada? Nos avise. ",Bitter Reception,NyxTheShield,,Composição: NyxTheShield. 
"Black Apple
 
[


  ",Black Apple,NyxTheShield,,Sabe de quem é a composição? Envie pra gente.
"Blooming Flowers
 
[


  Essa informação está errada? Nos avise. ",Blooming Flowers,NyxTheShield,,Composição: NyxTheShield. 
"Bonds
 
[


  Essa informação está errada? Nos avise. ",Bonds,NyxTheShield,,Composição: NyxTheShield. 
"Bonehead
 
[


  Essa informação está errada? Nos avise. ",Bonehead,NyxTheShield,,Composição: NyxTheShield / Toby Fox. 
"Bonestrife
 
[


  Essa informação está errada? Nos avise. ",Bonestrife,NyxTheShield,,Composição: NyxTheShield. 
"Booyah!
 
[


  ",Booyah!,NyxTheShield,,Sabe de quem é a composição? Envie pra gente.
"Breaking Point
 
[


  Essa informação está errada? Nos avise. ",Breaking Point,NyxTheShield,,Composição: NyxTheShield. 
"Bring It On
 
[


  Essa informação está errada? Nos avise. ",Bring It On,NyxTheShield,,Composição: NyxTheShield. 
"Bring It Onwards!
 
[


  Essa informação está errada? Nos avise. ",Bring It Onwards!,NyxTheShield,,Composição: NyxTheShield. 
"Broken Boundaries
 
[


  Essa informação está errada? Nos avise. ",Broken Boundaries,NyxTheShield,,Composição: NyxTheShield. 
"Broken Heart
 
[


  Essa informação está errada? Nos avise. ",Broken Heart,NyxTheShield,,Composição: NyxTheShield. 
"Broken Truce
 
I knew you couldn't just await
Or be idle 
I knew you couldn't just stay and respect
Your part of the arrangement
Broken Truce
 
No, you had to make a move 
And ruin everything for you 
Now, now, the pact is broken 
Now, now, our truce is over
Broken Truce
 
I knew you couldn't just await
Or be idle 
I knew you couldn't just stay and respect
Your part of the arrangement
Broken Truce
 
No, you had to make a move 
And ruin everything for you 
Now, now, the pact is broken 
Now, now, our truce is over


  Essa informação está errada? Nos avise. ",Broken Truce,NyxTheShield,,Composição: NyxTheShield. 
"Bruh
 
[


  ",Bruh,NyxTheShield,,Sabe de quem é a composição? Envie pra gente.
"Brushwork
 
[


  ",Brushwork,NyxTheShield,,Sabe de quem é a composição? Envie pra gente.
"Burning Cold
 
[


  Essa informação está errada? Nos avise. ",Burning Cold,NyxTheShield,,Composição: NyxTheShield. 
"By My Side
 
[


  Essa informação está errada? Nos avise. ",By My Side,NyxTheShield,,Composição: NyxTheShield. 
"Cacophony of Defects
 
[


  Essa informação está errada? Nos avise. ",Cacophony of Defects,NyxTheShield,,Composição: NyxTheShield. 
"Childhood Anew
 
[


  Essa informação está errada? Nos avise. ",Childhood Anew,NyxTheShield,,Composição: NyxTheShield. 
"Closure
 
[


  ",Closure,NyxTheShield,,Sabe de quem é a composição? Envie pra gente.
"Closure (Vocal Version)
 
All of my intentions were pure of heart 
But it didn't matter, I messed all up
My foolish ambitions misled me to this 
Desecrated fate that I must resist
Closure (Vocal Version)
 
Someone, anybody 
Please, save us from this hellscape 
That my misguided self created 
I just want my redemption 
And to find a way 
To save ourselves 
And finally earn 
The chance to obtain clo-
Closure (Vocal Version)
 
Desolation is the only thing that I can see around 
This empty void that I used to call my home is now forsaken 
There is nothing pure about the whiteness that embraces my bones 
My desolated void that used to be my home, reduced to ashes
Closure (Vocal Version)
 
Everyone I once knew is now long by gone 
Reduced to dust by my very own hands 
Trapped by my delusions, stuck in this jail 
Nobody will save us, I'm begging for help
Closure (Vocal Version)
 
Someone, anybody 
Please, save us from this hellscape 
That my misguided self created 
I just want my redemption 
And to find a way 
To save ourselves
Closure (Vocal Version)
 
I just want my redemption 
And to find a way 
To save ourselves 
And finally earn 
The chance to obtain closure


  Essa informação está errada? Nos avise. ",Closure (Vocal Version),NyxTheShield,,Composição: NyxTheShield. 
"Confrontation
 
[


  Essa informação está errada? Nos avise. ",Confrontation,NyxTheShield,,Composição: NyxTheShield. 
"Core-Versation
 
[


  Essa informação está errada? Nos avise. ",Core-Versation,NyxTheShield,,Composição: NyxTheShield / Toby Fox. 
"Corrupted Hope
 
[


  Essa informação está errada? Nos avise. ",Corrupted Hope,NyxTheShield,,Composição: NyxTheShield. 
"Corruption
 
[


  Essa informação está errada? Nos avise. ",Corruption,NyxTheShield,,Composição: NyxTheShield. 
"Coward
 
[


  Essa informação está errada? Nos avise. ",Coward,NyxTheShield,,Composição: NyxTheShield. 
"Crossed Souls
 
[


  Essa informação está errada? Nos avise. ",Crossed Souls,NyxTheShield,,Composição: NyxTheShield. 
"Cross's Theme
 
[


  ",Cross's Theme,NyxTheShield,,Sabe de quem é a composição? Envie pra gente.
"Dauntless Assault
 
[


  Essa informação está errada? Nos avise. ",Dauntless Assault,NyxTheShield,,Composição: NyxTheShield. 
"Dauntless Assault (Vocal Version)
 
Surrounded by this darkness 
I watched my soulmate die 
Even if it kills me 
I will strike you down!
Dauntless Assault (Vocal Version)
 
These hopes 
And dreams 
That you say are fake 
They are real, enough to me!
Dauntless Assault (Vocal Version)
 
Save your 
Words 
No matter what you say 
My soul is proof that I exist!
Dauntless Assault (Vocal Version)
 
These hopes 
And dreams 
That you say are fake 
They are real, enough to me!
Dauntless Assault (Vocal Version)
 
Save your 
Words 
No matter what you say 
My soul is proof that I exist!
Dauntless Assault (Vocal Version)
 
No matter what may come my way 
No matter if I fall 
My friends will rise against the odds 
Together, we'll not give up!
Dauntless Assault (Vocal Version)
 
Surrounded by this darkness 
I watched my soulmate die 
Even if it kills me 
I will strike you down!
Dauntless Assault (Vocal Version)
 
No matter what may come my way 
No matter if I fall 
My friends will rise against the odds 
Together, we'll not give up!


  Essa informação está errada? Nos avise. ",Dauntless Assault (Vocal Version),NyxTheShield,,Composição: NyxTheShield. 
"Daydreaming
 
[


  ",Daydreaming,NyxTheShield,,Sabe de quem é a composição? Envie pra gente.
"Debriefing
 
[


  Essa informação está errada? Nos avise. ",Debriefing,NyxTheShield,,Composição: NyxTheShield. 
"Deceit
 
[


  ",Deceit,NyxTheShield,,Sabe de quem é a composição? Envie pra gente.
"Deep Realization
 
[


  Essa informação está errada? Nos avise. ",Deep Realization,NyxTheShield,,Composição: NyxTheShield. 
"Defective Prototype
 
[


  Essa informação está errada? Nos avise. ",Defective Prototype,NyxTheShield,,Composição: NyxTheShield. 
"Defiled
 
[


  Essa informação está errada? Nos avise. ",Defiled,NyxTheShield,,Composição: NyxTheShield. 
"Demonic Presence
 
[


  Essa informação está errada? Nos avise. ",Demonic Presence,NyxTheShield,,Composição: NyxTheShield. 
"Desires & Delusions
 
[


  Essa informação está errada? Nos avise. ",Desires & Delusions,NyxTheShield,,Composição: NyxTheShield. 
"Dismantle
 
[


  Essa informação está errada? Nos avise. ",Dismantle,NyxTheShield,,Composição: NyxTheShield. 
"Document and Record
 
[


  Essa informação está errada? Nos avise. ",Document and Record,NyxTheShield,,Composição: NyxTheShield. 
"Don't
 
[


  Essa informação está errada? Nos avise. ",Don't,NyxTheShield,,Composição: NyxTheShield. 
"Don't Forget
 
[


  Essa informação está errada? Nos avise. ",Don't Forget,NyxTheShield,,Composição: NyxTheShield. 
"Door Area
 
[


  Essa informação está errada? Nos avise. ",Door Area,NyxTheShield,,Composição: NyxTheShield. 
"Doppelgangers
 
[


  Essa informação está errada? Nos avise. ",Doppelgangers,NyxTheShield,,Composição: NyxTheShield. 
"Dreadful
 
[


  Essa informação está errada? Nos avise. ",Dreadful,NyxTheShield,,Composição: NyxTheShield. 
"Dream Presage
 
[


  Essa informação está errada? Nos avise. ",Dream Presage,NyxTheShield,,Composição: NyxTheShield. 
"Dreemurrs United
 
[


  Essa informação está errada? Nos avise. ",Dreemurrs United,NyxTheShield,,Composição: NyxTheShield. 
"Duplicity
 
[


  ",Duplicity,NyxTheShield,,Sabe de quem é a composição? Envie pra gente.
"Echoes
 
[


  ",Echoes,NyxTheShield,,Sabe de quem é a composição? Envie pra gente.
"Embodiment Of a True Hero
 
[


  Essa informação está errada? Nos avise. ",Embodiment Of a True Hero,NyxTheShield,,Composição: NyxTheShield. 
"Embodiment Of a Yellow Devil
 
[


  Essa informação está errada? Nos avise. ",Embodiment Of a Yellow Devil,NyxTheShield,,Composição: NyxTheShield. 
"Embracing The Void
 
[


  Essa informação está errada? Nos avise. ",Embracing The Void,NyxTheShield,,Composição: NyxTheShield. 
"Encounter
 
[


  Essa informação está errada? Nos avise. ",Encounter,NyxTheShield,,Composição: NyxTheShield. 
"Erased
 
[


  Essa informação está errada? Nos avise. ",Erased,NyxTheShield,,Composição: NyxTheShield. 
"Eventful
 
[


  ",Eventful,NyxTheShield,,Sabe de quem é a composição? Envie pra gente.
"Everlasting Flowers
 
[


  Essa informação está errada? Nos avise. ",Everlasting Flowers,NyxTheShield,,Composição: NyxTheShield. 
"Excluded
 
[


  Essa informação está errada? Nos avise. ",Excluded,NyxTheShield,,Composição: NyxTheShield. 
"Extinguish
 
[


  Essa informação está errada? Nos avise. ",Extinguish,NyxTheShield,,Composição: NyxTheShield. 
"Fading Away
 
I wake up 
My eyes half shut 
Getting ready 
To be erased again
Fading Away
 
These shackles 
They keep tightening 
Waiting here 
I fade away
Fading Away
 
Days blend into the same old gray 
Keep seeking hues that are already dead 
A puppet with no lines to say 
Drifting around, I fade away
Fading Away
 
A hollow vessel, an empty shell 
Yearning freedom, I just wanna run away 
And be myself 
I have no choices, I lack a voice 
A captive bird, my wings clipped and bound 
To this jail 
My muffled cries die in the dark 
I'm a puppet in a theater of despair
Where no one hears 
How I fade away
Fading Away
 
I wake up 
My eyes half shut 
Getting ready 
To be erased again
Fading Away
 
These shackles 
They keep tightening 
Waiting here 
I fade away
Fading Away
 
Days blend into the same old gray 
Keep seeking hues that are already dead 
A puppet with no lines to say 
Drifting around, I fade away


  Essa informação está errada? Nos avise. ",Fading Away,NyxTheShield,,Composição: NyxTheShield. 
"Faithfully
 
[


  Essa informação está errada? Nos avise. ",Faithfully,NyxTheShield,,Composição: NyxTheShield. 
"Fallen
 
[


  Essa informação está errada? Nos avise. ",Fallen,NyxTheShield,,Composição: NyxTheShield. 
"Famous
 
[


  Essa informação está errada? Nos avise. ",Famous,NyxTheShield,,Composição: NyxTheShield. 
"Fanfare
 
[


  Essa informação está errada? Nos avise. ",Fanfare,NyxTheShield,,Composição: NyxTheShield. 
"Fearless Gallant
 
[


  ",Fearless Gallant,NyxTheShield,,Sabe de quem é a composição? Envie pra gente.
"Fearless Terror
 
[


  Essa informação está errada? Nos avise. ",Fearless Terror,NyxTheShield,,Composição: NyxTheShield. 
"Finale!?
 
[


  Essa informação está errada? Nos avise. ",Finale!?,NyxTheShield,,Composição: NyxTheShield / Toby Fox. 
"Flowering Hallucination
 
[


  Essa informação está errada? Nos avise. ",Flowering Hallucination,NyxTheShield,,Composição: NyxTheShield. 
"Forced Recall
 
[


  Essa informação está errada? Nos avise. ",Forced Recall,NyxTheShield,,Composição: NyxTheShield. 
"Foreboding
 
[


  Essa informação está errada? Nos avise. ",Foreboding,NyxTheShield,,Composição: NyxTheShield. 
"Foreseen Choices
 
[


  Essa informação está errada? Nos avise. ",Foreseen Choices,NyxTheShield,,Composição: NyxTheShield. 
"Foreshadow
 
[


  Essa informação está errada? Nos avise. ",Foreshadow,NyxTheShield,,Composição: NyxTheShield. 
"Forget
 
[


  Essa informação está errada? Nos avise. ",Forget,NyxTheShield,,Composição: NyxTheShield. 
"Forgiven
 
[


  Essa informação está errada? Nos avise. ",Forgiven,NyxTheShield,,Composição: NyxTheShield. 
"Forgiveness
 
[


  Essa informação está errada? Nos avise. ",Forgiveness,NyxTheShield,,Composição: NyxTheShield. 
"Fragmented Truce
 
[


  ",Fragmented Truce,NyxTheShield,,Sabe de quem é a composição? Envie pra gente.
"Friendly Foe
 
[


  Essa informação está errada? Nos avise. ",Friendly Foe,NyxTheShield,,Composição: NyxTheShield. 
"Friendship
 
[


  Essa informação está errada? Nos avise. ",Friendship,NyxTheShield,,Composição: NyxTheShield. 
"Fulfilled Presage
 
[


  Essa informação está errada? Nos avise. ",Fulfilled Presage,NyxTheShield,,Composição: NyxTheShield. 
"Futile Measures
 
[


  Essa informação está errada? Nos avise. ",Futile Measures,NyxTheShield,,Composição: NyxTheShield. 
"Future
 
[


  Essa informação está errada? Nos avise. ",Future,NyxTheShield,,Composição: NyxTheShield. 
"Gateway to a Happier Place
 
[


  Essa informação está errada? Nos avise. ",Gateway to a Happier Place,NyxTheShield,,Composição: NyxTheShield. 
"Genesis
 
[


  Essa informação está errada? Nos avise. ",Genesis,NyxTheShield,,Composição: NyxTheShield. 
"GENOCIDE
 
[


  Essa informação está errada? Nos avise. ",GENOCIDE,NyxTheShield,,Composição: NyxTheShield. 
"Gloomy Endeavors
 
[


  Essa informação está errada? Nos avise. ",Gloomy Endeavors,NyxTheShield,,Composição: NyxTheShield. 
"Golden Seraph
 
[


  Essa informação está errada? Nos avise. ",Golden Seraph,NyxTheShield,,Composição: NyxTheShield. 
"Guardian Automata
 
[


  ",Guardian Automata,NyxTheShield,,Sabe de quem é a composição? Envie pra gente.
"Halcyon
 
[


  ",Halcyon,NyxTheShield,,Sabe de quem é a composição? Envie pra gente.
"Hateful
 
[


  Essa informação está errada? Nos avise. ",Hateful,NyxTheShield,,Composição: NyxTheShield. 
"Hatred Horror
 
[


  Essa informação está errada? Nos avise. ",Hatred Horror,NyxTheShield,,Composição: NyxTheShield. 
"Hearthbound
 
[


  Essa informação está errada? Nos avise. ",Hearthbound,NyxTheShield,,Composição: NyxTheShield. 
"Heartmending
 
[


  Essa informação está errada? Nos avise. ",Heartmending,NyxTheShield,,Composição: NyxTheShield. 
"Heart Of Gold
 
[


  Essa informação está errada? Nos avise. ",Heart Of Gold,NyxTheShield,,Composição: NyxTheShield. 
"Hideaway
 
[


  Essa informação está errada? Nos avise. ",Hideaway,NyxTheShield,,Composição: NyxTheShield. 
"Hollowed
 
[


  ",Hollowed,NyxTheShield,,Sabe de quem é a composição? Envie pra gente.
"Homecoming
 
[


  Essa informação está errada? Nos avise. ",Homecoming,NyxTheShield,,Composição: NyxTheShield. 
"Home New Home
 
[


  Essa informação está errada? Nos avise. ",Home New Home,NyxTheShield,,Composição: NyxTheShield / Toby Fox. 
"Hope
 
[


  ",Hope,NyxTheShield,,Sabe de quem é a composição? Envie pra gente.
"Hopeless
 
[


  ",Hopeless,NyxTheShield,,Sabe de quem é a composição? Envie pra gente.
"Hopes and Dreams (feat. GatoPaint)
 
[


  Essa informação está errada? Nos avise. ",Hopes and Dreams (feat. GatoPaint),NyxTheShield,,Composição: NyxTheShield / Toby Fox. 
"Hopes And Dreams Will Save The World (feat. GatoPaint)
 
[


  Essa informação está errada? Nos avise. ",Hopes And Dreams Will Save The World (feat. GatoPaint),NyxTheShield,,Composição: NyxTheShield / Toby Fox. 
"Impasse
 
[


  Essa informação está errada? Nos avise. ",Impasse,NyxTheShield,,Composição: NyxTheShield. 
"Indoctrination
 
[


  Essa informação está errada? Nos avise. ",Indoctrination,NyxTheShield,,Composição: NyxTheShield. 
"Inking Mistake
 
[


  ",Inking Mistake,NyxTheShield,,Sabe de quem é a composição? Envie pra gente.
"Insurrect
 
[


  Essa informação está errada? Nos avise. ",Insurrect,NyxTheShield,,Composição: NyxTheShield. 
"Intermission
 
[


  ",Intermission,NyxTheShield,,Sabe de quem é a composição? Envie pra gente.
"Into a Clear Void
 
[


  ",Into a Clear Void,NyxTheShield,,Sabe de quem é a composição? Envie pra gente.
"In Vain
 
[


  ",In Vain,NyxTheShield,,Sabe de quem é a composição? Envie pra gente.
"Isolated
 
[


  Essa informação está errada? Nos avise. ",Isolated,NyxTheShield,,Composição: NyxTheShield. 
"I Won't Die
 
So then 
This is where it ends? 
But I won't die yet
I Won't Die
 
I have to defend all the hopes 
And dreams of everyone that is 
Believing in our wish
I Won't Die
 
Come on now! Is this all? 
Everything that you got? 
You are gonna have to try harder than that
I Won't Die
 
If you want 
To defeat me once for all 
Cause I won't give up just yet
I Won't Die
 
'Cause I will defeat you
Have you had enough 
No matter how much you try
I Won't Die
 
I will never give up, no 
This is why I was afraid of you 
No, this isn't yet my moment to die
I Won't Die
 
No, I won't die, I won't die
And I won't die yet
I have to protect
I Won't Die
 
I won't die
I won't die
I won't die
And I won't die
I won't die
I Won't Die
 
I won't die
I won't die
I won't die
And I won't die


  Essa informação está errada? Nos avise. ",I Won't Die,NyxTheShield,,Composição: NyxTheShield. 
"Kaiserherz
 
[


  ",Kaiserherz,NyxTheShield,,Sabe de quem é a composição? Envie pra gente.
"Kindness
 
[


  Essa informação está errada? Nos avise. ",Kindness,NyxTheShield,,Composição: NyxTheShield. 
"Last Favour
 
[


  Essa informação está errada? Nos avise. ",Last Favour,NyxTheShield,,Composição: NyxTheShield. 
"Last Respite
 
[


  Essa informação está errada? Nos avise. ",Last Respite,NyxTheShield,,Composição: NyxTheShield. 
"Leader's Burden
 
[


  Essa informação está errada? Nos avise. ",Leader's Burden,NyxTheShield,,Composição: NyxTheShield. 
"Life in Blue
 
[


  Essa informação está errada? Nos avise. ",Life in Blue,NyxTheShield,,Composição: NyxTheShield. 
"Life In Grey
 
[


  Essa informação está errada? Nos avise. ",Life In Grey,NyxTheShield,,Composição: NyxTheShield. 
"Like Them
 
[


  Essa informação está errada? Nos avise. ",Like Them,NyxTheShield,,Composição: NyxTheShield. 
