Lyrics,Song,Artist,Genre,Composition
"4 Sho Sho
 
[Intro/Outro: Forest Whitaker
 
The way of the samurai is found in death 
Meditation of inevitable death should be performed daily 
Every day, when one's body and mind are at peace
He should meditate up on being up to blocked 
by arrows, rifles, spears and swords 
Being carried away by surging waves 
Being thrown in to the midst of a great fire 
Being struck by a lightning, and shaken to death by a great earthquake 
Falling from thousand foot cliffs, dying of a disease 
Commiting seppiku at the death of one's master
In everyday when one fails, one should consider himself as dead 
This is a substance of the way of a samurai
4 Sho Sho
 
[Christ Bearer
 
Nigga I don't wanna talk
I own one, ghost gun, briefcase in this equilibrium 
It's the killa on your block, melodic flux
War flock, of perfected, dead it, bloods chop it up 
And the birds of a feather, fly together 
Intellaced moving mo' murder messages of me and Leatha Face
I'm your retainer, your perfect stranger
36th Chamber, Wu-Tang banga 
I hit the dust and bust a straight no braina 
Heavyweight gaina, and a lone blown ranger 
Welcome to the world I rock 
Doing what in the cut, while niggas know not 
Grand theft, awaited with baited breath 
Hear witnesses fear just as clear as death 
In the twinklin of an eye, in the ways of the samurai 
It's do or die, for the devil's pie
Now I'm phat broad down, received from mo' high
So beautiful it make you wanna cry, cry, cry 
Power Equality, Ghost Dog 
For Christ Bearer, Killa Bees, west coast God
4 Sho Sho
 
[Chorus: RZA
 
Yo, 
Yo, son will you kill kill for sho, sho 
Yo, son will you kill kill for sho, sho 
Yo, dog will you kill kill for sho, sho 
Yo, son will you kill kill for sho, sho 
Yo, Black will you kill kill for sho, sho 
Yo, D will you kill kill for shoe, sho 
Yo, Mink will you kill kill for sho, sho 
Yo, Christ will you kill kill for sho, sho
4 Sho Sho
 
[Minky, (RZA)
 
Ah, designed to cause disaster, the mic blaster 
Cause atoms to transfer, with immediate report for you bastards 
I make minds stagger, with this North Star golden dagger 
I self Lord and master, represented in this chapter 
For you phony wild actors, I crack ya 
for tryin to distract us, in the west 
transportin flows of energy in your chest 
Over deep bass tones, in the flesh 
Odd bones are rock clones 
Repentance in the devil home cause he divided the whole globe
Transform souls, told lies, we wrote scrolls 
Now it's on, it's bid war
360 degrees that form the negative swarm 
Born mentally and physically from the essence 
Where North Star be flexin, questin, addressing 
All minds that's hectic, no place to be
North Star trilogy, west coast Killa Bee 
(Killa Who?) Killa Bee, (Killa Who?) Killa Bee 
Killa Bee, (Killa Who?) Killa Bee
4 Sho Sho
 
[Chorus: RZA
 
Yo, yo, 
Yo, son will you kill kill for sho, sho 
Yo, Doc will you kill kill for sho, sho 
Yo, Monk will you kill kill for sho, sho 
Yo, Black will you kill kill for sho, sho 
Yo, dog will you kill kill for sho, sho 
Yo, G will you kill kill for sho, sho 
Yo, Christ will you kill kill for sho, sho 
Yo, Blacks will you kill kill for sho
4 Sho Sho
 
For shoe shoe, for shoe, for sho, sho 
Killa Bees will kill kill for sho, sho 
Ghost Dog will kill kill for sho, sho 
Wu-Tang will kill kill for sho, sho 
West coast will kill kill for sho, sho 
Blood niggas will kill kill for sho, sho 
Crip niggas will kill kill for sho, sho 
Black man will kill kill for sho, sho 
White man will kill kill for sho, sho 
G-O-D will smash you for sho, sho 
G-O-D will smash you for sho, sho 
For sho, sho 
(For sho, sho)


  ",4 Sho Sho,Rza,,Sabe de quem é a composição? Envie pra gente.
"A Day To God Is 1000 Years
 
I wanna stay with you, forever
A Day To God Is 1000 Years
 
[RZA
 
Yo, yo, the A-1 sauce, the Divine Force 
My mind blind force is known to blow time off course 
Even, if I rode around the world on a blind horse 
Strapped down, I'd still get my point across
Allah is father of all 
You debate whether big, whether small 
Whether short, whether tall 
Whether dense, whether length 
Whether strength, whether width 
Either man, animal, bird or fish 
Whether, black or white, more shapes than snowflakes 
Existin  everywhere but you still can't locate
The man of steel couldn't bend me
Time couldn't end me
Even the great devil Satan that tried to befriend me 
Understand the equality, God in a bodily 
Form, lettin' my knowledge be born
Lettin' my knowledge be born...
A Day To God Is 1000 Years
 
I wanna stay with you, forever
A Day To God Is 1000 Years
 
[RZA
 
Yo, yo, yo 
I be the fatal flyin  I'm like NATO flyin
Over your country and droppin' down forty tons of iron
Filled with explosives, your chance is hopeless 
We have your head poppin' up like the blowfish
I'm not talkin' Hootie, nigga pass the zootie
I could bag the cootie, maybe smoke the ootie 
The runaway train with no track 
I got the heart of Faye Dunaway whippin' that child with the coatrack
T.V. droppin' bombs or droppin' germs
Baby moms in the courthouse, she's droppin' terms
Guns go off, bustin' all directions
D.J. choose, another fuckin' dope selection
A Day To God Is 1000 Years
 
...with you forever... 
Like the corners of my mind.... 
I wanna stay with you, forever
A Day To God Is 1000 Years
 
[RZA
 
Yo, the pen is mightier than the sword, as I face my worldly challenge 
In the scale of justice and my heart remains balanced and neutral 
My respect for all men is mutual 
As my thoughts surpass a level to which you devils compute to 
You've been given the chance to hear the true and living
So do the knowledge, son, before you do the wisdom 
So you can understand, how the thunder and 
Lighting above your head is caused by the Son of Man 
We experimentin' with high explosions
That cause the place to quake and the surface erosions 
The earth produce lava like the mouth produce saliva 
This wisdom goes deeper than your scuba diver 
In search for the pearl jewels sold to Tiffany 
My verbal heart symphony will strike the epiphany 
Insight, ignite, and then men might, see love and hell 
Hell and right, then excel, to be masters of your circumference 
First, by obtainin' mastery of your common sense
This supreme wisdom clears a man's vision
You can see it through the lies and the fantism 
Of the equivocal, two-faced political individual 
Who's only out for residual, fabricatin' lies
To eradicate the wise 
But we come to civilize and gravitate to the skies 
Of the heavenly celestial sphere 
Trust me, son, it's dear, in between your ears
A Day To God Is 1000 Years
 
[Chorus 2X: RZA
 
A day to God is a thousand years 
Men walk around with a thousand fears 
The true joy of love bring a thousand tears 
In the world of desire, there's a thousand snares
A Day To God Is 1000 Years
 
I wanna stay with you forever [2X



  ",A Day To God Is 1000 Years,Rza,,Sabe de quem é a composição? Envie pra gente.
"Airwaves
 
Ultimate Breakbeats and shit right? 
Niggaz still makin money offa those shits 
Loopin the same shits for a thousand years 
and shit right?
Airwaves
 
The B the O the B the B the Y 
The D the I the G the I the T the A the L 
The B the O the B the B the Y 
The D the I the G the I the T the A the L 
Digital
Airwaves
 
Yo you know us to be robust the greatest crew since Cold Crush 
This poisonous slang keep MC's avoidin us
Can't think about the proper remedies for destroyin us
Your best bet black is sit back and start enjoyin us 
And run your commisary, attack your corinary, I'ma bury revolutionary
Honorary is sonic electronic brain like Johnny Nneumonic 
Get boosted from the sorrow and went Wu-tonic 
You be fickle, get your tongue thrown into a jar of pickle 
to serve to your bird, with cheese and pumpernickle *Ch-cha Pssh* 
Three state Charlie a classic like Marley Marl 
Tie your ass down and run you over with a trolley car 
My nigga Kucky keep em Bucky like Dent 
Intent, read the fine print -- it says
Airwaves
 
Do not enter, or cross the lines 
You be tossed behind, and forced to submit to the rhyme
Airwaves
 
B-O-B-B-Y 
D-I-G-I-T-A-L 
B-O-B-B-Y 
D-I-G-I-T-A-L 
B-O-B-B-Y 
D-I-G-I-T-A-L 
Digital, Digital
Airwaves
 
Four-four in the holster strapped tight by the velcro 
Steel padded vest on the chest armed right from the elbow 
Pointed rings resemble Killa Bee stings 
It's the mental of slingin swords, thing ? a buck brings
Rain, hail, snow and earthquakes, search your mental birthdate 
50 state prisons keep the body in perfect shape 
Just got hit on the hip by this bird talkin bout 
she got a blister on her lip 
That comes from not garglin after suckin 
I'm togglin the bu


  Essa informação está errada? Nos avise. ",Airwaves,Rza,,Composição: Robert Diggs. 
"Alone Against Him
 
You can't escape fate
Allah be the maker 
Bow down to your creator...
Alone Against Him
 
Who put the sun in the sky 
Who caused the birds to fly 
Who put the light in the eye 
Who's the answer to why
Alone Against Him
 
Every step you take 
Every breath you take 
Every move you make 
The most high create
Alone Against Him
 
No computer data 
The lies shatter 
Only truth matter 
I drew the verbal gun of allah to shoot atcha 
I self lord and master islam ruler zigzagzig alar and I am


  ",Alone Against Him,Rza,,Sabe de quem é a composição? Envie pra gente.
"Assassination Day
 
(Raekwon: What? Hey yo!)
Assassination Day
 
Intro: [from the motion picture The Usual Suspects

Assassination Day
 
There's no coke!
What? 
You heard me you dumb fuck, there's no coke!
What the fuck do you mean, there's no coke?
I've been up and down this ship. I've been in every
fuckin room! 
There's gotta be coke!
There is nothing! NOTHING!
Assassination Day
 
Huh, uh, uh, help please! 
Huh, uh, uh, uh, uh, uh, uh, help me! *gunshot*
Assassination Day
 
Intro Two: Master Killer
Assassination Day
 
It's assassi, it's assination day, I stalk...
It's assassination, I sta...
It's assassination day... 
It's assassination day, I
Assassination Day
 
Verse One: Inspector Deck
Assassination Day
 
Ryzarector, Madman, uh, uhh, yo, uhh 
I move through the third world, my third eye's the
guiding light 
Invite the fight, we all die tonight 
The life I lived, a 25 to life bid 
Parole reneged, I stroll the globe fugitive 
CREAM is short, C-cypher power stalk plus the fiend 
talk 
Three G's accost in Supreme Court
White lies and blackmail land me back in jail 
We're all for sale, a stolen gold but it fail
Stranded on the front line, I shine to the dumb and 
blind 
It comes time I take back what was once mine 
Crunch time in the first quarter, from the worst 
slaughter 
Devil's poisonin the birth water
The earth daughter rest her head on my chest 
Through the struggle we cuddle under half-moon crest 
While the press plant fear and exploit the gun blastin 
Central broadcasting is shackling, nerves are 
unfastened, shhhh 
Trapped in deep-water gaspin 
I Clash With the Titans from my half on the action
Assassination Day
 
Verse Two: RZA
Assassination Day
 
I stop producers careers, the weak spot was their ears 
Scorpion darts hits their mark, pierce their heart 
with silver spears 
You're bewil


  Essa informação está errada? Nos avise. ",Assassination Day,Rza,,Composição: C. Woods / E. Turner / J.K. Hunter / Robert Diggs. 
"Be A Man
 
Yeah it's Bobby Digital
Just floatin over +The City+ 
I came across this, this, this black man 
He was talkin about (look down below)
Be A Man
 
Sure of yourself risin, prices of food skyrisin 
Foreign countries movin in USA, enterprisin 
Snatchin your mic then speakin, while you might be leakin 
Then losin the luxury, average man be seekin 
Thought he was so smart; hoe's cheatin, life fall apart
F**kin a hundred bitches couldn't mend a broken heart
Start as a soda jerk job, as a mail clerk 
F**ked this white bitch in the office, got fired from work 
Nine-to-five, government high taxes, police dispatches 
Beauracatic attackin black Asiatics, resident with bad plumbin 
Cocaine got my brain numb an' bitch complained bout cummin
Pussy stay hummin; $200 parkin, summer's out of state warrants
Be A Man
 
High blood pressure pills prescribed by Dr. Lawrence 
Got me gainin weight, f**kin up my right kidney 
Cousin raped at school Allah wit me
Be A Man
 
Peoples' eyes closed like envelopes by folk membership
With unpaid doctor bills 
Framed got shot and killed, cops poppin pills
Be A Man
 
Three pair cotton, steel closet, cabinet of +No Frills+ 
Mo' bills, sister got evicted from Park Hill
Be A Man
 
Punch a hole inside the NARC wheels 
My dogs bark, still carry dark steel 
And unmarked bills, I'm from the uncut, dope, found on director's reels
Bobby Digital may switch back to Bobby Steels 
Rusty .38's, bought rust inside the herb gate
Be A Man
 
So +Hungry+, son, bout to shrink down to a bird's weight
Rash break out, where's the blue ointment, face-to-face appointments
Un-proudly in the church paid for annointment
Be A Man
 
Bet the checks don't come late
About to separate with her man
Be A Man
 
In +The City+, +Domestic Violence+ excavates 
Get a highest ratio in five years 
The idea is to plant fear 
Boy you slap yo' bitch, po-lice is there to cuff you or snuff you
They might bust you
Be A Man
 
Cause your hoe snatched your money up, didn't want to f**k you
Be A Man
 
We must learn to communicate, and unificate 
Stop the black on black, hate on hate 
White on white, black on white 
Put the love in love 
I'm blunted up, blasted inside the strip club
Shorty wop, fifteen year old, all she needed was love 
And mo' dough so she won't have to show her knotty afro
Collect call from my son to now, he might blow trial 
Foul cut, and cop out to a 3 to 6 
Bad situations, bein a man is hard shit 
Somethin'll get trapped out, I mean, yo
Got crack fiends in spots with vaccine shots 
Black teens drop out of high school, white teens sellin stock
Be A Man
 
with bonds they can't put their word on
20 years, shorty wop, pussy bout to swerve on
Up in the crib, new fridge, dead pig 
Two kids, pawned this older cat who looked like Calvin Coolridge 
But got splat in his back last year 
Robbin' his jewel inside the diamond district
No one got convicted, heard they never found the biscuit 
I'm booby trapped by the capitalists
Tryin to subsist, sometimes happiness is hot grits and catfish 
Or a bowl of Cookie Crisp, I got harassed by this rookie bitch 
Talkin' bout I couldn't put my feet on the fire hydrants
to tie my kicks, $50 ticket, bout to strike and picket
and shout at the City Hall, motherf**k the wicked 
Too greedy, give to the needy, down on my luck 
bout to jab a ouija board, that's when Bobby Digi seen me
Be A Man
 
Said, Yo son, don\'t stress out over no one, learn the slogan: 
Knowledge is half the battle, that's one to grow on
And don't be counterfeit
It\'s a bad situation which bein a man, but we got to handle it 
Bad situation when you ain't bein a man


  ",Be A Man,Rza,,Sabe de quem é a composição? Envie pra gente.
"Bebop
 
[Intro: RZA
 
We at the Downtown Cabinay, right across the street from the Coca Cobana 
We have the midnight roof special going on 
We have Choco on the wheels of steel 
Slow it down for a minute Choco 
Yo, Zig Zag on the M.I.C 
We givin' a special tribute to Charlie Parker, here tonight
The midnight rooftop special 
We gon' bring it like this, I want all ladies
Who came with their men, come on in 
Get into sweety, and drink all night
Bebop
 
[RZA
 
Bebop, we walk with our hats on tilt 
Pink and white silk, made of shoes on stilts 
Dressed as the morning milk, plus, like the quilt 
When we rock at the club, no blood got spilt 
Where dime piece wizes, had they legs in the air 
From being sprung by the swings, so they legs in the air 
Long dresses, and they silk brassiere 
Ya'll unloosen the twist, Rob came in the air
Bebop
 
[Chorus 4X: RZA
 
I rock the bebop, the bebop, the bebop 
The bud-bud-a-budda-bidda bebop, bebop, somebody don't bopped bopped
Bebop
 
[RZA
 
The saxophone doctor can blow on any octave 
Performance, of some of the world's greatest jazz rocker
From bebop to hip hop, back to bebop 
Charlie Parker lids blow hot like boiling tea pot 
From pull to press, not white and up tight 
To blowin' horns, to walking with the bass up right
To having our crowns polished, and our face up right 
To clean our neighborhood's and I play sometin' right
Bebop
 
[Chorus 4X

Bebop
 
[Interlude: RZA
 
So we still groovin' wit it
Keepin' the flow poppin' here
We gon' turn the lights down a little low
Just hide the identity, yo, yo
Bebop
 
[RZA
 
The saxophone doctor can blow on any octave 
Performance, of some of the world's greatest jazz rocker
From bebop to hip hop, back to bebop 
Charlie Parker lids blow hot like boiling tea pot 
From pull to press, not white and up tight 
To blowin' horns, to walking with the bass that's up right
To having our crowns polished, and our face up right 
To clean our neighborhood's and I play sometin' right
Bebop
 
[Chorus 4X

Bebop
 
[Outro: RZA
 
Bebop... hehehehe 
Take it back, heh 
Bebop.. 
Bebop..


  ",Bebop,Rza,,Sabe de quem é a composição? Envie pra gente.
"Billy
 
[Intro: RZA
 
Eh-yo, man, fuckin'..
Mothafuckin' Billy, man
Yeah, man 
That mothafucka, man, just called me and shit 
From fuckin  a, some county jail, man
Down South or some shit 
He's mothafuckin' crazy
I thought that nigga was comin' here next week too and shit
But I guess he went down South with them fuckin' white boys
You know he love headin' with them white boys and shit
Billy
 
[RZA
 
Yo, yo, yo, Billy 
He sniffed dope and swallow acid, took cokes of cold classics 
Smoked hashes, tote plastic glocks and low jackets 
Cross country, cousin Billy with forty monkeys 
Twenty honkeys, Harley Davidson bike junkies 
In a convoy escapin' from Rosco Pico
And those four redneck cops who had Woppy in a sleephold 
The SWAT team, U.S. army shock team 
The snipers who shot King, infrared dot beams 
Aimed at windshields, gas tanks and wheels 
From the bank they yanked the mil, hot lead and stainless steel 
Shot through the helments, cracked heads like halibut jaw 
Ripped through the wolves and blew the hood off the car 
A.T.F., F.B.I., D.E.A., chopper in the sky 
Eye witness news on standby 
Built to tell, it was Mit from the metly metly 
Teeth dipped in P.C.P., hit to the head like a D.D.T. 
Hard on the gut like liq' B.L.T.
C-cipher punks with the A.P.B. 
Only destroys who was drunk of the J.N.B. 
Ran up in A&P, hit the safe at P&C 
Documentary on A&E, eight P.M. E.S.T. 
Five P.T., the ho tapin' on V.C.R.
Three victims shot, one was saved by C.P.R. 
Fuckin' Billy be wildin
Like Robert L. Lee on Storwall Jackson 
He always out for action 
I was at an eighteen hole golf course relaxin
When I received the collect call, BOODOODOODOO 
Collect call from cousin Billy
Billy
 
[Phone Skit: RZA (Billy)
 
(Eh-yo, Bobby, I'm in trouble)
Yo, what's goin' on, cousin?
What the fuck, man? 
(Listen, yo I need fifty thousand) 
Oh sh--, eh-yo, Kinetic 
Check it out, nigga said he need fifty fuckin' g's Son
(Listen, yo, we got into a fight 
In the bar, shit was just crazy) 
Eh-yo, I heard you was fuckin' with the white boy Tommy again
Takin' that acid, nigga
(Yeah, oh yeah, we chillin' though
I just need you to come get me, for real) 
No problem, son 
Yo, I'll send my nigga Kinetic down to get you and shit (Aight)
Aight, there it is


  ",Billy,Rza,,Sabe de quem é a composição? Envie pra gente.
"Black Star Line-Up
 
[Chorus/Intro: 2X

Black Star Line-Up
 
Hook (2x):
Black Star Line-Up
 
Sékou: Is the Black Star Line-up
Black Star Line-Up
 
Sékou: In case y'all forgot
Afrob: Der Black Star Reimer 
Afrob: Here is your reminder
Black Star Line-Up
 
[Chorus
 (2x)
Black Star Line-Up
 
[Verse: Afrob
 
Wer versteht etwas, von dem was ich sage? 
Keiner von euch Lutschern, denn ihr seid nicht in der Lage
Black Star Line-Up
 
Du verstehst nicht was ich mein, ich versteh nicht deine Frage 
Bin halt so frustriert, weil ich meine Gründe habe 
Sag was tut dir weh und verursacht bei dir Schmerzen? 
Tief in deinem Herzen, deine Jungs sind oft die ersten 
Reden über dich und woll'n sich's aber nicht verscherzen
Black Star Line-Up
 
Auf einmal siehst du klar und diese Tage sind am schwersten 
Um mich rum ist eine Sperre, Mauern dick und Stacheldraht
Kehr mein Inneres nach außen, Negerkrause, Stachelbart 
Versteh' mal einen Bruder ohne ne einzige Kommune
Black Star Line-Up
 
Ist auf sich allein gestellt, wie ein Fang an der Harpune 
Eines wusst' ich, wenn bei dir der Frust spricht
Intellektuelle machen sich gern drüber lustig 
Dreh noch meine Runden, spiel mir Sehe-das-was-du-nicht-siehst 
Lese das, was du nicht liest 
Hol dich aus deim' Paradies
Arroganz, denn Überheblichkeit, meine Wenigkeit
Black Star Line-Up
 
Für gewöhnlich ziemlich cool, doch damit komm ich eh nicht weit 
Schau wir Leute sind verschieden 
Ich brauch' nicht dein Respekt, wenn's so wäre würd' ich lügen
Du kannst es dreh'n und wenden, wir kommen niemals auf den Nenner
Warum musst du soviel reden, komm wir regeln das wie Männer 
Tief in mir drin will ich eigentlich was anderes 
Tief in mir drin bin ich eigentlich ein anderer 
Ein Wanderer, und leiste ungern Widerstand 
Es gab so viele Battles, wo man niemals einen Sieger fand
Black Star Line-Up
 
[Hook
 (2x)
Black Star Line-Up
 
[Outro

Black Star Line-Up
 
[Chorus
 (4x)


  ",Black Star Line-Up,Rza,,Sabe de quem é a composição? Envie pra gente.
"Black Widow Pt2
 
thats right, thats right,  
thats right yeah check this shit  
out nam sayin this is dedicated  
to all my hoes nam sayin all my  
babies mothers nam sayin all my  
bitches nam sayin let me tell a motherf**ker  
something ya'll motherf**kers 
want this money bitch you better  
earn this motherf**king money  
bitch let me show you something  
my names dirt dog bitch aint no  
frontin bitch let me show you something  
my names dirt dog bitch aint no frontin  
bitch let me show you something 
my names dirt dog bitch aint no frontin  
AAAAAAHHHH!!  
walking down the street dark, dark,  
not saw a pretty bitch caught  
my sight bitch so fine  
fine as can be bitch you know you belong to me drove over said how you be bitch you know my names dirtdog dirtMC dirt dog i kno what you about bitch get the f**k in the car!! drove her to my house aaaaahhh to my house open the door take off your clothes throw'em on the floor took off my clothes show'em my dick bitch dis something that you'll never forget on the 1st punch started to scream on the 2nd punch started to have a bad dream on the 3rd punch started to cry dirt dog i dont wanna die well shut the f**k up!! pussy aint nuttin but a skin on your bone you can f**k it you can suck you can leave it alone 25 cents is the regular price 50 cents you can f**k it twice 75 cents you can f**k it to the bone and a dollar worth leave it alone


  Essa informação está errada? Nos avise. ",Black Widow Pt2,Rza,,Composição: R. Jones / Robert Diggs. 
