Lyrics,Song,Artist,Genre,Composition
"Abel Caïn mon fils
 
Je t'ai fait d'un amour si tendre
Que tu es doux comme le miel 
J'ai tant rêvé à tant t'attendre
J'ai voulu t'appeler Abel
Tu vas grandir et j'en frissonne
Car les vautours, les financiers 
Feront de ton rire qui sonne 
Un bêlement standardisé 
Abel, mon fils, ils vont te rendre 
Imbécile mais bien vêtu 
Tout ce que j'aurai pu t'apprendre
Par quoi le remplaceras-tu ? 
Par des slogans, des chansonnettes,  
Un érotisme de bazar 
Ils t'abêtiront, mon poète, 
Toi, le contraire du hasard
Abel Caïn mon fils
 
Ahaha ha haha...
Abel Caïn mon fils
 
Ou si je t'ai porté, farouche
Dans un moment de désespoir,  
Caïn, tu sauras de ma bouche 
Tout ce qu'il ne te faut pas croire
Mon fils, mon beau comme un orage,  
Moi, si je te préfère ainsi,  
Il me faudra un grand courage 
Pour t'élever comme un souci
Car, si tu deviens violence,  
Tu peux être bêtise en plus 
La sincérité à outrance 
Devient mensonge, le sais-tu ? 
Comme on prend goût à la bataille 
On finit par la provoquer 
De quel côté faut-il que j'aille, 
Mon fils, pour ne pas te manquer ?
Abel Caïn mon fils
 
Ahaha ha haha...
Abel Caïn mon fils
 
Abel Caïn, mon fils, mon âme,  
Comment démêler ton destin ? 
Comment protéger ta flamme 
Sans par trop me brûler les mains ? 
Si tu es doux, si tu succombes 
À leurs lentes machinations,  
Abel, je préfère la bombe 
À cette crétinisation 
Mais si tu te bats, mon archange,  
Tu devras être un assassin 
Aussi bien, pour ce que ça change,  
C'est moi qui te tuerai, Caïn
D'ailleurs à défaut de la bombe
D'autres moyens me sont offerts
Pour ne pas pleurer sur ta tombe 
Mon fils pour ne jamais te faire
Abel Caïn mon fils
 
Ahaha ha haha...
Abel Caïn mon fils
 
Abel Caïn, mon fils


  ",Abel Caïn mon fils,Anne Sylvestre,,Sabe de quem é a composição? Envie pra gente.
"Agressivement Vôtre
 
Puisqu'enfin je suis un chameau
Permettez que je vous agresse 
Ce qui veut dire en d'autres mots
Veuillez accepter ma tendresse
Agressivement Vôtre
 
Comme j'ai la réputation
D'irréductible peau de vache
Je livre à votre discrétion 
Cette faiblesse que je cache
Agressivement Vôtre
 
Il me vient comme une douceur 
Il faut l'extraire, j'en ai peur
Agressivement Vôtre
 
Puisque me voici dans vos bras 
Malgré que je sois une peste 
Constatez que je ne mords pas 
Et permettez qu'ainsi je reste
Agressivement Vôtre
 
Si pourtant par goût personnel 
Vous préférez que je vous brusque 
C'est votre droit le plus formel
Et honni soit qui s'en offusque
Agressivement Vôtre
 
Mais cette sorte de langueur 
Que vais-je en faire, quel malheur
Agressivement Vôtre
 
La garder, vous n'y pensez pas
Je n'en ai vraiment pas l'usage
Auriez-vous oublié déjà 
Que je me dois d'être sauvage?
Agressivement Vôtre
 
Vous me frôliez du bout des doigts 
Vous me preniez pour une brute 
Mais quand aujourd'hui je vous vois
Dois-je penser que vous me crûtes?
Agressivement Vôtre
 
Mais j'y songe, cette douceur
Est-ce vraiment un grand malheur?
Agressivement Vôtre
 
Je peux bien la cacher aussi 
Et l'on dira, puisque l'on cause
Que nous voilà mal assortis 
À moins que, la plaisante chose
Agressivement Vôtre
 
Puisque semblable est notre lot 
Et qu'enfin je suis une teigne
Étant vous-même un beau salaud 
On nous loge à la même enseigne
Agressivement Vôtre
 
Et s'il est question de bonheur
Nous pouvons garder ma douceur 
Mais si je vous fais toujours peur 
Ne changez rien, c'est bien meilleur, meilleur


  Essa informação está errada? Nos avise. ",Agressivement Vôtre,Anne Sylvestre,,Composição: Anne Sylvestre. 
"Ah l'amour l'amour
 
L'amour c'est sale, ça fait désordre
Quand ça nous donne envie de mordre 
Dans les fruits sans les éplucher 
Ça nous oblige à trébucher 
Sur les beaux z'animaux qui passent
Un sourire idiot sur la face
Ah l'amour l'amour
 
T'es jeune t'es belle t'es pas méchante
Et en plus t'es z'intelligente
Mais faut qu'j'te dise
Que tu m'épuises
J'veux pas de gondole à Venise
Ah l'amour l'amour
 
{Refrain:} 
Ah l'amour l'amour l'amour l'amour
Toujours est de plus en plus court 
Ah l'amour l'amour l'amour l'amour
Toujours est de plus en plus lourd
Ah l'amour l'amour
 
L'amour c'est gros et c'est pas propre
Ça s'exaspère et ça galope
Ça se mouche dans des billets doux 
Ça patauge, ça fait des remous 
Et ça promet, ça se parjure 
Ça collectionne les bavures
Ah l'amour l'amour
 
T'es vieux t'as un gros nez du ventre
Tes cheveux suivent la mauvaise pente 
Mais tu m'épates
Mais tu m'éclates
Avec toi je me fends la rate
Ah l'amour l'amour
 
{au Refrain}
Ah l'amour l'amour
 
L'amour ça n'a rien de convenable
Ça met les coudes sur la table 
Ça oublie tout, ça perd ses clés 
Ça s'en va du mauvais côté
Ça couche, mais ça dit pas je t'aime
Les mots, ça lui pose un problème
Ah l'amour l'amour
 
T'es vieille, t'es grosse, et puis t'es moche
Mais des sous, t'en as plein les poches
Faut qu'on s'arrange
Qu'est-ce que ça change ?
Après tout on n'est pas des anges
Ah l'amour l'amour
 
{au Refrain}
Ah l'amour l'amour
 
Mais l'amour c'est un mille-feuilles
Un pissenlit quand on le cueille 
On peut bien l'envoyer prom'ner
Avec du sucre sur le nez 
Il revient couvert de paillettes 
Un oranger dans sa braguette
Ah l'amour l'amour
 
T'es beau, t'es belle, tu m'entourloupes
Que j'sois damnée si je te loupe
Tu m'ensorcelles
C'est pas nickel
Mais on peut croire au Père Noël
Ah l'amour l'amour
 
{au Refrain}


  Essa informação está errada? Nos avise. ",Ah l'amour l'amour,Anne Sylvestre,,Composição: Anne Sylvestre. 
"Allez j' vais y aller
 
Allez, j' vais y aller
C'est pas le moment de reculer
J'avais besoin d'un p'tit palier
J'ai plus qu'à me faire oublier
Allez, j' vais y aller
Allez j' vais y aller
 
Allez, du courage 
On a mis du cœur à l'ouvrage
Il faut savoir se montrer sage 
Vous fatiguer serait dommage 
Allez, du courage
Allez j' vais y aller
 
Allez, j' vais y aller
J'espère que j'ai rien oublié
Pourrez toujours me l'envoyer ?
J'adore recevoir du courrier
Allez, faut y aller
Allez j' vais y aller
 
Allez, j' voulais dire
Merci beaucoup pour vos sourires 
Ça va pas m'aider à partir
Mais ça nous fait des souvenirs 
Allez, j' voulais l' dire
Allez j' vais y aller
 
Allez, j' vais y aller
Et pas besoin de me pousser 
J' pourrais tomber dans l'escalier
Vous n'auriez plus qu'à m' ramasser
Allez, allez, j'vais y aller
Allez j' vais y aller
 
Allez, ça vaut mieux 
Je n'aime pas beaucoup les adieux
La petite larme au coin des yeux 
En général, c'est contagieux
Allez, ça vaut mieux
Allez j' vais y aller
 
Allez, j' vais y aller
J'ai pas l'idée de m'incruster
Z'avez d'autres chats à fouetter
D'autres mouchoirs à agiter
Allez, j'vais y aller
Allez j' vais y aller
 
Allez, c'était bien
On n'a vraiment manqué de rien
À part peut-être sur la fin 
On aurait bu un peu de vin 
Allez, mais c'était bien
Allez j' vais y aller
 
Allez, j' vais y aller
Je vois qu' vous en avez assez
Mais je n' pouvais pas m'éclipser
Sans avoir eu le temps d'y penser
Allez, bon, j' vais y aller
Allez j' vais y aller
 
Allez, ça suffit 
Je crois que je vous ai tout dit 
Et si ça n'est pas vrai tant pis
Fallait pas me jeter d'ici
Allez, ça suffit
Allez j' vais y aller
 
Allez, j' vais y aller
C'est pas le moment de reculer
J'avais besoin d'un p'tit palier
J'ai plus qu'à me faire oublier
Allez, j'vais y aller
Allez j' vais y aller
 
Allez, allez, j'vais y aller
Allez, bon, ben, allez, j' vais y aller
Oui ! J' vais y aller !
Allez, allez, j' vais y aller
Bon, ben, j'y vais !


  ",Allez j' vais y aller,Anne Sylvestre,,Sabe de quem é a composição? Envie pra gente.
"Allez-y doux
 
J'habitais la banlieue du cœur
Maintenant, je squatte en plein centre 
Mais j'ai toujours la peur au ventre
Tant votre sourire est moqueur 
J'ai cheminé en franc-tireur
Sans provisions et sans boussole 
Parfois, une main qui console 
Des bras pour conjurer la peur 
Le chemin qui menait vers vous 
N'était pas signalé du tout
Quand je tombais sur les cailloux,  
Où étiez-vous ?
Allez-y doux
 
Mais si vous me cherchez des poux 
Allez-y doux 
Parfois, je n'aime pas beaucoup
Vos yeux jaloux 
Allez-y doux 
Allez-y doux
Allez-y doux
 
Sachant pas vraiment où j'allais
Je dispensais mes sortilèges 
Avec les mots, faisais des pièges 
Et tissais ma toile en secret 
Un jour que je n'y croyais plus, 
Vous êtes venu vous y prendre 
Et les pièges se sont faits tendres 
La toile n'a plus rien tenu
Mais vous aviez mis un temps fou 
Quand je ne parlais qu'aux hiboux
Dans les forêts pleines de loups,  
Où couriez-vous ?
Allez-y doux
 
Mais si vous me cherchez des poux 
Allez-y doux 
Parfois, je n'aime pas beaucoup
Vos yeux jaloux 
Allez-y doux 
Vous, allez-y doux
Allez-y doux
 
Quand vous venez à mon terrier 
Pour y déballer mes trouvailles 
Il n'y a vraiment rien qui vaille
Qu'en rêve vous vous torturiez
J'ai passé l'épreuve du feu
Celui qui filtre à vos paupières 
Et j'ai brûlé mes éphémères
C'est votre chaleur que je veux
Vous me faites des plans de fou 
Mais quand je vous cherchais partout,  
Aux moustaches de quel matou 
Vous frottiez-vous ?
Allez-y doux
 
Moi, si je vous cherchais des poux 
J'irais très doux
Même si vous aimez beaucoup 
Mes yeux jaloux 
J'irais très doux
Doux, j'irais très doux
Allez-y doux
 
Et si nous nous cherchons des poux 
Allons-y doux 
Bien que nous aimions peu ou prou 
Les yeux jaloux 
Allons-y doux 
Nous, allons-y doux


  Essa informação está errada? Nos avise. ",Allez-y doux,Anne Sylvestre,,Composição: Anne Sylvestre. 
"Allô je vous appelle en cadeau
 
{Refrain:} 
Allô ! Je vous appelle en cadeau 
Pour que votre Noël soit beau 
Que votre année soit bonne 
Allô, allô ! Je vous appelle en cadeau 
Vous pouvez poser vos sabots 
Devant le téléphone
Allô je vous appelle en cadeau
 
Vous n'avez pas de visites
Et moi je suis loin 
Même si je faisais vite 
En auto, grande ou petite 
Par avion ou par le train 
Je ferai moins de chemin
Allô je vous appelle en cadeau
 
{au Refrain}
Allô je vous appelle en cadeau
 
Quand s'allument les lumières
Je vous aime tant 
Mais depuis l'année dernière
Nous avons eu trop à faire 
Nous n'avons pas eu le temps
De nous dire plus souvent
Allô je vous appelle en cadeau
 
{au Refrain}
Allô je vous appelle en cadeau
 
Pardon si je vous réveille 
Mais j'avais envie
De vous parler à l'oreille
Et que votre voix pareille 
Vienne me conter aussi 
La douceur de cette nuit
Allô je vous appelle en cadeau
 
Voici que je vous appelle 
Depuis près d'une heure
C'est que la nuit de Noël
Nous sommes des ribambelles 
A glisser dans l'écouteur
Les mots qui viennent du cœur


  ",Allô je vous appelle en cadeau,Anne Sylvestre,,Sabe de quem é a composição? Envie pra gente.
"Alors Ce N'était Que Ça
 
Alors ce n'était que ça
Cette poussière au bout des doigts 
Ce rire d'enfant, cette bulle
Ce frôlement de libellule 
Ce souvenir inopportun 
De mousseline et de parfum
Alors Ce N'était Que Ça
 
Hum hum hum hum
Alors Ce N'était Que Ça
 
Alors ce n'était que ça
Cette douceur au creux des bras 
Cette moiteur dans une chambre 
Et ces instants piégés dans l'ambre
Ou cette pluie sur le chemin 
Surtout ne lâche pas ma main
Alors Ce N'était Que Ça
 
Hum hum hum hum
Alors Ce N'était Que Ça
 
Alors ce n'était que ça
Ce jardin qu'on n'arrose pas
Et cette porte qu'on referme
Sans savoir si le grain qui germe 
Aura de quoi faire sa fleur 
Et ce sourire qui fait peur
Alors Ce N'était Que Ça
 
Hum hum hum hum
Alors Ce N'était Que Ça
 
Alors ce n'était que ça
Cette colombe qui s'en va
Cet oiseau-lyre qui s'égare
Aux cordes cassées des guitares 
Cet écho d'un rire moqueur
Comme une pierre sur le cœur
Alors Ce N'était Que Ça
 
Hum hum hum hum
Alors Ce N'était Que Ça
 
Alors ce n'était que ça
Ces mots-couteaux qui volent bas 
Ces simulacres de blessures 
Ces morts sans une égratignure 
Ces nuits couvertes d'oripeaux
Pour ne pas se toucher la peau
Alors Ce N'était Que Ça
 
Hum hum hum hum
Alors Ce N'était Que Ça
 
Alors ce n'était que ça
Tous ces verrous, ces cadenas 
Ce bâillon qui blesse la bouche 
Et rend le silence farouche 
Ces forteresses, ces prisons 
Que toujours nous rebâtissons
Alors Ce N'était Que Ça
 
Hum hum hum hum
Alors Ce N'était Que Ça
 
Et si ce n'était que ça
Cette poussière au bout des doigts 
Ce rire d'enfant, cette bulle
Ce frôlement de libellule 
Ce souvenir inopportun 
De mousseline et de parfum
Alors Ce N'était Que Ça
 
Hum hum hum hum
Alors Ce N'était Que Ça
 
Et s'il ne restait que ça, 
On ne l'effacerait pas


  ",Alors Ce N'était Que Ça,Anne Sylvestre,,Sabe de quem é a composição? Envie pra gente.
"Ça n'se voit pas du tout
 
Les enfants des chômeurs 
Des sans-abris, des RMistes 
Reçoivent le meilleur 
De ce qui passe sur nos listes 
Couverts de pied en cap 
De vêtements des grandes marques 
Fini le handicap 
Et bien malin qui les remarque 
Ca gêne beaucoup moins 
Et quand ils se lavent les mains 
Je vous jure, on s'y tromperait
On dirait des enfants, des vrais
Ça n'se voit pas du tout
 
Ça n'se voit pas du tout, pas du tout
Ça n'se voit pas du tout
Ça n'se voit pas du tout
 
Ces gens dans le métro 
Qui nous imposent leur musique 
Ou ceux qui parlent trop 
En recherchant le pathétique 
Jamais vous ne croiriez 
Qu'ils sont vraiment ce qu'ils prétendent
Ils sont bien habillés 
Y en a qui sentent la lavande 
Leur faire la charité 
Moi, j'aurais peur de les vexer
Entre nous, et bien franchement 
Ils sont pauvres ou ils font semblant ?
Ça n'se voit pas du tout
 
Ça n'se voit pas du tout, pas du tout
Ça n'se voit pas du tout
Ça n'se voit pas du tout
 
Mon épicier m'a dit
Qu'autrefois dans le voisinage
Il y avait des taudis 
Qui déparaient le paysage 
Il devait s'y passer
Les choses que l'on imagine
On ne pouvait laisser 
Proliférer cette vermine 
On les a remplacés 
Par des immeubles policés 
Ce qu'on a fait des habitants ?
Ils sont relogés depuis longtemps
Ça n'se voit pas du tout
 
Ça n'se voit pas du tout, pas du tout
Ça n'se voit pas du tout
Ça n'se voit pas du tout
 
Quand ma fille a fauté 
J'ai failli la mettre à la porte
Mais j'étais révoltée
A la seule idée qu'elle avorte
Il y a des endroits 
Où on peut arranger les choses 
Et tout le monde croit 
Qu'en ce moment elle se repose
Elle a eu son bébé 
Il était bien un peu foncé 
Mais tout de même assez mignon 
Ça sera mieux pour l'adoption
Ça n'se voit pas du tout
 
Ça n'se voit pas du tout, pas du tout
Ça n'se voit pas du tout
Ça n'se voit pas du tout
 
Mon fils qui est très beau 
Va bien se décider, j'espère
A reprendre le flambeau 
De la famille et des affaires 
Il n'a pas l'air pressé
De rechercher le mariage 
J'ai beau lui présenter
Des jeunes filles de son âge 
Il n'y a que des garçons
Qui viennent le voir à la maison 
Mais s'il avait des goûts pervers
Je le saurais, je suis sa mère
Ça n'se voit pas du tout
 
Ça n'se voit pas du tout, pas du tout
Ça n'se voit pas du tout
Ça n'se voit pas du tout
 
Je suis sollicitée 
Par les œuvres de la paroisse 
Je suis trop occupée 
Pour éprouver la moindre angoisse 
Je me lève très tôt 
Pour attraper la première messe 
Puis dans les hôpitaux 
Je vais secourir les détresses 
Oui, j'aime mon prochain
Et je m'applique à faire le bien
Car j'ai un cœur très généreux
Mais j'ai l'impression, c'est curieux
Ça n'se voit pas du tout
 
Ça n'se voit pas du tout, pas du tout
Ça n'se voit pas du tout


  ",Ça n'se voit pas du tout,Anne Sylvestre,,Sabe de quem é a composição? Envie pra gente.
"Antoinette a peur du loup
 
Vous veniez pour Antoinette 
Pour lui faire votre cour 
Moi, j'étais sa sœur cadette
J'écoutais vos beaux discours
Je vous ai guetté, furtive 
En riant, mon beau Monsieur,  
De vos flammes les plus vives 
Sachant son cœur si peureux
Antoinette a peur du loup
 
{Refrain:} 
Antoinette a peur du loup 
Antoinette a peur du noir 
Antoinette a peur de tout 
Même le soir, même avec vous
Antoinette a peur du loup
 
Vous veniez pour Antoinette 
Et la serrant de bien près 
Vous rêviez folles conquêtes 
En des draps de tissu frais 
Moi, j'étais la laideronne
Je vous servais le café 
Sachant que rien ni personne 
De ma sœur, n'aurait la clé
Antoinette a peur du loup
 
{au Refrain}
Antoinette a peur du loup
 
Vous veniez pour Antoinette 
Et vous la brusquiez un peu 
Vous moquant de ses toilettes 
Vous vous perdiez dans ses yeux 
Mais j'avais ses confidences
Je connaissais bien sa peur 
Et sa grande méfiance 
Pour ce qui est en d'ssous du cœur
Antoinette a peur du loup
 
{au Refrain}
Antoinette a peur du loup
 
Vous veniez pour Antoinette 
Qui ne vous a pas reçu 
Vous veniez pour Antoinette 
Ne soyez pas si déçu 
Je n'ai pas ses yeux, sans doute
Je suis la petite sœur 
Depuis que je vous écoute 
Il me semble avoir un cœur
Antoinette a peur du loup
 
Et puis moi, j'aime le loup
Et puis moi, j'aime le noir
Et puis moi, j'aime tout
Même le soir, même avec vous
Antoinette a peur du loup
 
Oh, oui, moi, j'aime le loup
Oh, oui, moi, j'aime le noir
Oh, oui, moi, moi, j'aime tout
Surtout le soir, et surtout vous


  ",Antoinette a peur du loup,Anne Sylvestre,,Sabe de quem é a composição? Envie pra gente.
"Après le théâtre
 
En scène 
Avant qu'on lève le rideau
Déposons là tous nos fardeaux 
Nos peines 
Et retrouvons nos oripeaux 
Ils sont plus vrais que notre peau 
Ils viennent 
Faire de nous des éphémères 
Capables de tous les frissons 
D'apprivoiser mille chimères
Et puis le temps d'une chanson
D'être Arlequin ou Cléopâtre
Après le théâtre
 
Y a-t-il une vie après le théâtre ?
Après le théâtre
 
En scène 
Une fois le rideau levé 
Plus rien ne peut nous arriver 
La reine 
Ailleurs si prête à trébucher 
Promène sans s'effaroucher
Sa traîne 
Chacun de nous reprend sa place 
Le bègue oublie de bafouiller 
Le timide est rempli d'audace
Le muet peut s'égosiller
C'est leur coeur qui se met en quatre
Après le théâtre
 
Y a-t-il une vie après le théâtre ?
Après le théâtre
 
En scène 
C'est la vie mais pas tout à fait
C'est une apparence, un reflet
A peine 
Comme si juste on attendait 
Que ce moment presque parfait 
Survienne 
C'est une quête si fragile
Qu'un souffle peut la déranger
C'est une fée aux pieds d'argile
C'est un éclat c'est un danger
Mais c'est l'espérance opiniâtre
Après le théâtre
 
Y a-t-il une vie après le théâtre ?
Après le théâtre
 
En scène 
On est le rêve du passant 
De ses amours le remplaçant 
On traîne 
Un univers envahissant 
Dont la tendresse veut qu'on s'en
Souvienne 
On sourit on salue on brille 
On garde plus que de raison 
Son diadème de pacotille 
Et on ramène à la maison 
Ce pauvre moi qu'on idolâtre
Après le théâtre
 
Y a-t-il une vie après le théâtre ?
Après le théâtre
 
En scène 
Le temps s'égrène au ralenti
Mais l'heure petit à petit
S'amène
Où le dernier mot retentit 
Où le rideau nous engloutit 
Obscène 
Et sans qu'au dehors on le sache
Dans les coulisses on fait son deuil 
Avec un restant de panache 
D'une existence en trompe-l'oeil
D'un coeur qui s'arrête de battre
Après le théâtre
 
Y a-t-il une vie après le théâtre ?
Après le théâtre
 
On sait qu'il n'y aura pas de fleurs
Pour accompagner le silence 
Loin de la scène loin du coeur 
Plus de musique pour la danse 
On aura cessé de combattre
Après le théâtre
 
Y a-t-il une vie sans le théâtre ?


  Essa informação está errada? Nos avise. ",Après le théâtre,Anne Sylvestre,,Composição: Anne Sylvestre. 
