Lyrics,Song,Artist,Genre,Composition
"1000 Gute Gründe
 
Hohe Berge, weite Täler 
Klare Flüsse, blaue Seen 
Dazu ein Paar Naturschutzgebiete 
Alles wunderschön!
1000 Gute Gründe
 
Wir lieben unser Land!
1000 Gute Gründe
 
Totale Pflichterfüllung 
Ordnung und Sauberkeit 
Alles läuft hier nach Fahrplan 
Der Zufall ist unser Feind
1000 Gute Gründe
 
Wir lieben unser Land 
Unser Fernsehprogramm, unsere Autobahn 
Wir lieben unser Land 
Es gibt tausend gute Gründe 
Auf dieses Land stolz zu sein 
Warum fällt uns jetzt auf einmal 
Kein einziger mehr ein?
1000 Gute Gründe
 
Unser Lieblingswort heißt Leistung 
Wir sind auf Fortschritt eingestellt 
Nichts ist hier unkäuflich 
Wir tun alles für gutes Geld 
Wir lieben unser Land 
All die Koruption, die Union 
Wir lieben unser Land 
Es gibt tausend gute Gründe 
Auf dieses Land stolz zu sein 
Warum fällt uns jetzt auf einmal 
Kein einziger mehr ein?
1000 Gute Gründe
 
Unsere Pässe sind fälschungssicher 
Und unser Lebenslauf bekannt 
Keiner scheint hier zu merken 
Das man kaum noch atmen kann 
Wir lieben unser Land 
Für jeden Querkopf ein Gummigeschoss 
Wir lieben unser Land!
1000 Gute Gründe
 
Es gibt tausend gute Gründe 
Auf dieses Land stolz zu sein 
Warum fällt uns jetzt auf einmal 
Kein einziger mehr ein? 
All die ganzen Gründe 
All die ganzen Gründe 
All die ganzen Gründe 
All die ganzen Gründe


  ",1000 Gute Gründe,Die Toten Hosen,,Sabe de quem é a composição? Envie pra gente.
"100 Tage bis zum Untergang
 
Hast du alles eingepackt 
was dir hier lieb und wichtig war? 
Hast du deinen Reisepass 
und überall Lebwohl gesagt? 
Ist irgendwas noch nicht erledigt? 
Jede Rechnung abbezahlt? 
Ist dein Grabstein schon bestellt 
oder ist er dir egal? 
100 Tage bis zum Untergang
 
Was würdest du tun wenn die Nachricht käm: 
Nur noch 100 Tage bis zum Untergehn? 
Wär dein letzter Spruch ein Witz oder ein Gebet? 
100 Tage bis zum Untergehn. 
100 Tage bis zum Untergehn. 
100 Tage bis zum Untergang
 
Du hast Zeit auf jeden Berg zu steigen 
und durch jedes Tal zu gehen, 
jedes Meer zu überqueren, 
und jedes Land der Welt zu sehn. 
100 mal kannst du noch wählen 
in welche Richtung du jetzt rennst. 
100 Tage bis zum Untergang
 
Was wirst du tun wenn die Nachricht kommt: 
100 Tage bis zum Untergang? 
Bist du bereit oder glaubst du nicht daran? 
100 Tage bis zum Untergang. 
100 Tage bis zum Untergang. 
100 Tage bis zum Untergang
 
Langsam musst du dich entscheiden, 
was du von deinem Leben willst. 
Wer für dich ab heute Feinde 
und wer deine Freunde sind. 
Wen du in deinen Armen hältst, 
wenn alles hier gelaufen ist. 
100 Tage bis zum Untergang
 
Was würdest du tun wenn die Nachricht käm: 
100 Tage bis zum Untergehn? 
Wär dein letzter Spruch ein Witz oder ein Gebet? 
100 Tage bis zum Untergehn. 
100 Tage bis zum Untergehn. 
100 Tage bis zum Untergang
 
Was würdest du tun wenn die Nachricht käm: 
Nur noch 100 Tage bis zum Untergehn? 
Wär dein letzter Spruch ein Witz oder ein Gebet? 
100 Tage bis zum Untergehn. 
Nur noch 100 Tage bis zum Untergehn. 
100 Tage bis zum Untergehn.


  ",100 Tage bis zum Untergang,Die Toten Hosen,,Sabe de quem é a composição? Envie pra gente.
"10 Kleine Nazischweine
 
>>>
10 Kleine Nazischweine
 
10 kleine Nazischweine prügeln heftig rein 
Ein Mollie kam geflogen, da waren's nur noch neun - neun
10 Kleine Nazischweine
 
9 kleine Nazis war'n in Rostock über Nacht
Ein Zwillenschütze war gut drauf, da waren's nur noch acht - acht
10 Kleine Nazischweine
 
8 kleine Nazischweine robbten durch die Rüben 
Sie robbten auf ne Weltkriegsmine, übrig blieben sieben - sieben
10 Kleine Nazischweine
 
7 kleine Nazischweine stritten um ne Flex
Der eine wollt' der Führer sein da warens nur noch sechs - sechs
10 Kleine Nazischweine
 
6 kleine Nazis trafen Punker im Revier 
Die wurden etwas ärgerlich, da waren's nur noch vier - vier
10 Kleine Nazischweine
 
4 kleine Nazis war'n beim Fußball gern dabei
St. Pauli spielte in der Stadt da warens nur noch drei - drei
10 Kleine Nazischweine
 
3 kleine Nazis fuhren in die Wallachei 
Ein Waldmann hielt sie für nen Hirsch, da waren's nur noch zwei - zwei
10 Kleine Nazischweine
 
2 kleine Nazis stürmten in ein Flüchtlingsheim 
Doch zwei das sind zu wenige und einer blieb allein - hey
10 Kleine Nazischweine
 
Das letzte kleine Nazischwein rief laut die Welt ist schlecht 
Bewirbt sich um nen Studienplatz und liest jetzt fleißig Brecht
10 Kleine Nazischweine
 
Ihr Nazischweine höret die Moral von der Geschicht' Paßt auf sonst wird's euch auch so gehn
Denn Schwein sein lohnt sich nicht
10 Kleine Nazischweine
 
>>>


  ",10 Kleine Nazischweine,Die Toten Hosen,,Sabe de quem é a composição? Envie pra gente.
"180 Grad
 
Wir brauchen hier keinen der aus der Reihe tanzt 
keinen der zuviel denkt und auch noch Zweifel hat 
Wir brauchen keinen der ständig dagegen ist 
und dem Fortschritt immer nur als eine Bremse dient. 
Du warst viel zu lange viel zu unbequem 
doch wir bringen Dich schon auf den richtigen Weg 
Ja, Du wirst bald lernen an Deinem Platz zu stehen 
Wir werden Dir Deinen Kopf wieder grade drehen. 
(Chorus) 
Um 180 Grad, heyheyhey (3x) 
In Reih' und Glied mit uns zieh'n
Um 180 Grad? 
Keiner entkommt unserm Intensiv-System 
In jedem Supermarkt läuft unsere Weichspülmelodie 
an jeder Häuserwand ein Verhaltensbefehl 
Wir polen alles um was in die falsche Richtung geht! 
(Chorus 2x)


  ",180 Grad,Die Toten Hosen,,Sabe de quem é a composição? Envie pra gente.
"35 Jahre
 
Er sitzt die meiste Zeit am Fenster 
Mit einem Kissen unterm Arm 
Ist ein Fahrrad auf dem Gehweg 
Ist ein Wagen falsch geparkt 
Er ist allzeit bereit und schlägt Alarm
35 Jahre
 
Vor einem Jahr ging er in Rente 
Nun weiß er nicht wie´s weitergeht 
Sein Wellensittich ist der letzte 
Der hin und wieder mit ihm spricht 
Wenn er alleine vor seiner Fototapete sitzt
35 Jahre
 
35 Jahre lang 
Haken für den Duschvorhang
35 Jahre
 
Früher stand er mal am Fließband 
In Halle 24 B 
Er war Kolonnenführer 
Denn er hat sich hochgedient 
Die Stechuhr hat seinen Lebenslauf bestimmt
35 Jahre
 
Sein allererster Blaumann 
Hängt wie ne Uniform im Schrank 
Den Abschiedsbrief der Firma 
Hat er sich eingerahmt 
Er macht dieselbe Frühstückspause wie in all den Jahrn
35 Jahre
 
35 Jahre lang 
Haken für den Duschvorhang


  ",35 Jahre,Die Toten Hosen,,Sabe de quem é a composição? Envie pra gente.
"5 Minuten
 
So sicher wie die Erde um die Sonne kreist, 
lief das Leben auf einer Bahn ohne jede Schwierigkeit. 
Eine Stimme aus dem Telefon stürzt alles auf einmal um. 
Verkündet die Katastrophe, sagt: Man kann jetzt nichts mehr tun.
5 Minuten
 
5 Minuten trennen mich von der Vergangenheit. 
Alle Träume, alle Pläne, mit einem Schlag vorbei. 
Zerstört und vergessen - willkommen in der Wirklichkeit!
5 Minuten
 
Plötzlich wird das Spielfeld in voller Wucht vom Tisch gefegt. 
Suche nach dem Regelheft, das seit eben nicht mehr gilt. 
Keine Atempause um zu verstehen, dass die Uhr jetzt anders läuft. 
Sich fügen oder untergehen ist alles, was dir bleibt.
5 Minuten
 
5 Minuten trennen mich von der Vergangenheit. 
Alle Träume, alle Pläne, mit einem Schlag vorbei. 
Zerstört und vergessen - willkommen in der Wirklichkeit!
5 Minuten
 
5 Minuten trennen mich von der Vergangenheit. 
Kein Stein mehr auf dem anderen, nichts, das wie vorher bleibt. 
Alle Träume, alle Pläne, mit einem Schlag vorbei. 
Zerstört und vergessen - willkommen in der Wirklichkeit!


  ",5 Minuten,Die Toten Hosen,,Sabe de quem é a composição? Envie pra gente.
"Abitur
 
Ich hab Abitur  
Ich bin so stolz dafür 
Abitur
 
Ich hab mich jahrelang so durch geschwitzt  
Doch jetzt ist die Sache voll geritzt  
Ich hab den Beweis, dass ich nicht blöd sein kann  
Wer hätte das je von mir gedacht? 
Abitur
 
Ich hab Abitur  
Ich bin so stolz dafür 
Abitur
 
Vater gab mir einen Rat  
Mach \'ne Lehre bei der Bank  
Dann hätt' ich was Festes in der Hand 
Doch ich weiss nicht genau  
Bin ich dann noch ein Punk? 
Abitur
 
Ich hab Abitur  
Ich bin so stolz dafür


  ",Abitur,Die Toten Hosen,,Sabe de quem é a composição? Envie pra gente.
"Achterbahn
 
Seid ihr so weit? 
Dann geht's jetzt los!
Hals- und Beinbruch 
und Gott mit uns. 
Achterbahn
 
Wir fahren ohne Ziel und ohne Plan, 
es kommt uns nur auf Geschwindigkeit an. 
Es gibt für uns nur ein Gebot: 
wir fahren bis zur Endstation. 
Achterbahn
 
Gebt die Bahn frei -  
geht aus dem Weg. 
Wenn ihr helfen wollt, 
sprecht ein Gebet. 
Achterbahn
 
Der Eintrittspreis ist nicht sehr hoch, 
doch unterwegs wirst du alles andere los. 
Unser Glück dauert nur ne kurze Zeit,
doch das ist besser als Langeweile in alle Ewigkeit. 
Es liegt an dir, du hast die Wahl 
zwischen Spielzeugkarussell und Achterbahn. 
Achterbahn
 
Gebt die Bahn frei -  
geht aus dem Weg. 
Wenn ihr helfen wollt, 
sprecht ein Gebet. 
Achterbahn
 
Erst geht es nach oben, dann geht es bergab. 
Unser Leben fliegt vorüber im 4/4-Takt. 
Irgendwann fliegt jeder aus der Bahn, 
wir alle warten auf diesen Tag. 
Eine Stimme ruft uns zu: Letzte Warnung! 
es läuft der Countdown für den Absturz. 
Achterbahn
 
Gebt die Bahn frei -  
geht aus dem Weg. 
Wenn ihr helfen wollt, 
sprecht ein Gebet.


  ",Achterbahn,Die Toten Hosen,,Sabe de quem é a composição? Envie pra gente.
"Agent X
 
You never say what you feel, 
you're like a cog in a wheel.
You better be quiet, never rebel or riot. 
Could it be that you are free?
Agent X
 
When their eyes can see 
what you're doing all day long,
whistle hum or sing a song. 
Don't start to run, they've got a gun.
Agent X
 
Whatever you say, 
whatever you do, 
Agent X is watching you.
Agent X
 
You come home early, you come home late, 
there's only someone who will wait.
Someone knows if you're for or against,
what you think and what you say.
Agent X
 
They try to look inside your head, 
you're in a cage until you dead.
You never say what you feel, 
you're like a cog in a wheel.
Agent X
 
Whatever you say, 
whatever you do, 
Agent X is watching you.
Agent X
 
Don't be afraid,
try to escape.
Agent X
 
Whatever you say, 
whatever you do, 
Agent X is watching you.


  ",Agent X,Die Toten Hosen,,Sabe de quem é a composição? Envie pra gente.
"Alkohol
 
Ihm ist so richtig übel, 
so wacht er jeden Morgen auf. 
Er quält sich aus dem Bett 
und kotzt sich erstmal aus. 
Alkohol
 
Seine Hände zittern, 
sein Gesicht ist leichenblass. 
Er stolpert panisch durch die Wohnung 
und sucht nach einem Glas. 
Alkohol
 
Es gibt für ihn nur einen Freund, 
der ihn wirklich versteht, 
der immer für ihn da ist, 
auch wenn's ihm noch so dreckig geht. 
Alkohol
 
Mit ihm durchquert er 
selbst das allertiefste Tal. 
Schluck für Schluck 
kämpft er sich durch den Tag. 
Alkohol
 
Mit Alkohol, mit Alkohol! 
Alkohol macht Kinder froh 
und Erwachsene ebenso. 
Alkohol
 
Alkohol, Alkohol, 
wie der Vater, so der Sohn. 
Warum wundert sich Mami so? 
Alkohol
 
Sie hat den ganzen Tag geschuftet, 
unbemerkt und ohne Dank. 
Danach geht sie wie ferngesteuert 
in Richtung Küchenschrank. 
Alkohol
 
Vor ihr steht ne Flasche, 
sie ruft Komm und trink mich aus! 
Dann bist du ein paar Stunden frei 
und wachst erst morgen wieder auf. 
Alkohol
 
Mit Alkohol, mit Alkohol! 
Alkohol macht Kinder froh 
und Erwachsene ebenso. 
Alkohol
 
Alkohol, Alkohol, 
wie die Mutter, so die Tochter. 
Warum wundert sich Mami so?


  ",Alkohol,Die Toten Hosen,,Sabe de quem é a composição? Envie pra gente.
"All Die Ganzen Jahre
 
Du hast mich noch nicht erkannt, obwohl ich vor dir steh'.
Ich möchte mit dir reden, doch irgendwie kann ich's nicht.
Ich hab dich lang nicht mehr geseh'n, guck jetzt in dein Gesicht.
Ich suche einen alten Freund, doch ich entdecke nichts!
All Die Ganzen Jahre
 
Refrain: 
Versuch dich zu erinnern, wir haben so viel erlebt. 
Es ist als wäre das alles nie gescheh'n.
Nichts ist mehr geblieben, alles ausgelöscht, all die ganzen Jahre. 
Ob's dir wohl auch so geht, dass du mich nicht mehr verstehst, es ist als wär das alles nie gescheh'n.
Nichts ist mehr geblieben, alles ausgelöscht, all die ganzen Jahre. 
All Die Ganzen Jahre
 
Wo ist der Funke, der uns verbunden hat. 
Es gibt nichts, dass uns trennt, habe ich immer gedacht.  
Haben wir uns jemals die Freundschaft geschworen? 
Wenn es einen Grund gab, wir haben ihn verloren.
All Die Ganzen Jahre
 
Refrain
All Die Ganzen Jahre
 
Deine Augen bleiben tod und ich weiß jetzt bescheid, ohne ein Wort zu sagen geh ich an dir vorbei.
All Die Ganzen Jahre
 
Versuch dich zu erinnern, wir haben so viel erlebt. 
Es ist als wäre das alles nie gescheh'n.
Nichts ist mehr geblieben, alles so weit weg, all die ganzen Jahre. 
Ob's dir wohl auch so geht, dass du mich nicht mehr verstehst, es ist als wär das alles nie gescheh'n.
Nichts ist mehr geblieben, alles so weit weg, all die ganzen Jahre.


  Essa informação está errada? Nos avise. ",All Die Ganzen Jahre,Die Toten Hosen,,Composição: Andreas Frege. 
"Allein Vor Deinem Haus Oder Dein Vater Der Boxer
 
Ich frier jetzt schon zwei Stunden hier 
Nachts vor eurem Haus 
Die Eltern schlafen unter dir 
Das Licht geht endlich aus 
Ich werf noch einen Kieselstein 
Denn das ist das Signal 
Wie kann denn sowas möglich sein 
Ich weiss doch, du bist da
Allein Vor Deinem Haus Oder Dein Vater Der Boxer
 
Ich seh ziemlich blöde aus 
Allein vor deinem Haus 
Ich seh ziemlich blöde aus 
Allein vor deinem Haus
Allein Vor Deinem Haus Oder Dein Vater Der Boxer
 
Ich frier jetzt schon vier Stunden hier 
Allein vor eurem Haus 
Die Eltern schlafen unter dir 
Das Licht ist lange aus 
Ich werfe noch einen Kieselstein 
Denn das ist das Signal 
Wie kann denn sowas möglich sein 
Ich weiß doch, du bist da
Allein Vor Deinem Haus Oder Dein Vater Der Boxer
 
Ich seh ziemlich blöde aus 
Allein vor deinem Haus 
Ich seh ziemlich blöde aus 
Allein vor deinem Haus
Allein Vor Deinem Haus Oder Dein Vater Der Boxer
 
Allein, allein, allein
Allein Vor Deinem Haus Oder Dein Vater Der Boxer
 
Was macht denn Rolands Fahrrad hier 
Es lehnt dort an dem Zaun 
Jetzt weiß ich auch was hier passiert 
Du bist ganz schön braun 
Der Hund bellt los, das Licht geht an 
Roland war zu laut 
Hart küsst er den Straßenrand 
Und sein Rad ist geklaut
Allein Vor Deinem Haus Oder Dein Vater Der Boxer
 
Roland sieht ziemlich blöde aus 
Allein vor deinem Haus 
Roland sieht ziemlich blöde aus 
Allein vor deinem Haus
Allein Vor Deinem Haus Oder Dein Vater Der Boxer
 
Roland ist allein, Roland ist allein, Roland ist allein
Allein Vor Deinem Haus Oder Dein Vater Der Boxer
 
Allein, allein, allein


  ",Allein Vor Deinem Haus Oder Dein Vater Der Boxer,Die Toten Hosen,,Sabe de quem é a composição? Envie pra gente.
"Alle Jahre Wieder
 
Alle Jahre wieder 
kommt das Christuskind 
auf die Erde nieder, 
wo wir Menschen sind.
Alle Jahre Wieder
 
Kehrt mit seinem Segen 
ein in jedes Haus, 
geht auf allen Wegen  
mit uns ein und aus.
Alle Jahre Wieder
 
Alle Jahre wieder 
kommt das Christuskind 
auf die Erde nieder,  
wo wir Menschen sind.
Alle Jahre Wieder
 
Ist auch mir zur Seite, 
still und unerkannt, 
dass es treu mich leite 
an der lieben Hand.
Alle Jahre Wieder
 
Alle Jahre wieder 
kommt das Christuskind 
auf der Erde nieder, 
wo wir Menschen sind.


  ",Alle Jahre Wieder,Die Toten Hosen,,Sabe de quem é a composição? Envie pra gente.
"Alle Mädchen Wollen Küssen
 
Alle Mädchen wollen küssen  
Und von der Liebe alles wissen  
Und möchten nichts vom Glück vermissen  
Sie wollen alle glücklich sein 
Alle Mädchen Wollen Küssen
 
Alle Boys die wollen hören  
Dass die Mädchen sie begehren  
Und gern in ihrer Nähe wären  
Sie wollen glücklich sein 
Alle Mädchen Wollen Küssen
 
Oh, my Baby, Susi Baby  
Jung sein ist so schön 
Alle Mädchen Wollen Küssen
 
Alle Mädchen wollen küssen  
Und von der Liebe alles wissen  
Und möchten nichts vom Glück vermissen  
Sie wollen alle glücklich sein 
Alle Mädchen Wollen Küssen
 
Oh, my Baby, Susi Baby  
Jung sein ist so schön 
Alle Mädchen Wollen Küssen
 
Alle Mädchen wollen küssen  
Und von der Liebe alles wissen  
Und möchten nichts vom Glück vermissen  
Sie wollen glücklich sein  
Sie wollen alle glücklich sein
Alle Mädchen Wollen Küssen
 
[<br/>, Note: [Originally by Peter Kraus



  ",Alle Mädchen Wollen Küssen,Die Toten Hosen,,Sabe de quem é a composição? Envie pra gente.
"Alles Aus Liebe
 
Ich würde dir gern sagen 
Wie sehr ich dich mag 
warum ich nur noch an dich denken kann. 
Ich fühl mich wie verhext und in Gefangenschaft 
Und du allein trägst Schuld daran 
Worte sind dafür zu schwach 
Ich befürchte, du glaubst mir nicht. 
Mir kommt es vor, als ob mich jemand warnt, 
Dieses Märchen wird nicht gut ausgehen.
Alles Aus Liebe
 
Es ist die Eifersucht, die mich auffrisst, 
Immer dann, wenn du nicht in meiner Nähe bist. 
Von Dr. Jekyll werd' ich zu Mr. Hyde,
Ich kann nichts dagegen tun, plötzlich ist es soweit. 
Ich bin kurz davor, durchzudrehen, 
Aus Angst, dich zu verlieren. 
Und das uns jetzt kein Unglück geschieht, 
Dafür kann ich nicht garantieren.
Alles Aus Liebe
 
Chorus: 
Und alles nur, 
Weil ich dich liebe. 
Und ich nicht weiß wie ichs beweisen soll. 
Komm ich zeig dir wie groß meine Liebe ist 
Und bringe mich für dich um.
Alles Aus Liebe
 
Sobald deine Laune etwas schlechter ist 
Bild' ich mir gleich ein, dass du mich nicht mehr willst.
Ich sterbe beim Gedanken daran, 
Dass ich dich nicht für länger halten kann. 
Auf einmal brennt ein Feuer in mir 
Und der Rest der Welt wird schwarz. 
Ich spür wie unsere Zeit verinnt. 
Wi nähern uns dem letzten Akt.
Alles Aus Liebe
 
Chorus: 
Und alles nur, 
Weil ich dich liebe. 
Und ich nicht weiß wie ichs beweisen soll. 
Komm ich zeig dir wie groß meine Liebe ist 
Und bringe mich für dich um.
Alles Aus Liebe
 
Ich bin kurz davor, durchzudrehen, 
Aus Angst dich zu verlieren 
Und das uns jetzt kein Unglück geschieht, 
Dafür kann ich nicht garantieren.
Alles Aus Liebe
 
Chorus: 
Und alles nur, 
Weil ich dich liebe. 
Und ich nicht weiß wie ichs beweisen soll. 
Komm ich zeig dir wie groß meine Liebe ist 
Und bringe mich für dich um.
Alles Aus Liebe
 
Komm ich zeig dir wie groß meine Liebe ist, 
Und bringe uns beide um.


  Essa informação está errada? Nos avise. ",Alles Aus Liebe,Die Toten Hosen,,Composição: Andreas Frege. 
"Alles Hat Seinen Grund
 
Du bist die Schönheit 
Ich bin das Biest 
Ich brech' dein Herz
Du mein Genick 
Wir lassen los 
Wir fallen tief 
Du bist Verzweiflung 
Ich bin der Strick
Alles Hat Seinen Grund
 
Doch alles hat seinen Grund 
Wo wollen wir mit uns noch hin? 
Du schreist nach Liebe, ich bleibe stumm 
Wir kommen nicht raus aus diesem Spiel 
Wir wollen nicht gehen und wir wollen nicht bleiben 
Wir haben Angst, uns zu entscheiden 
Wann und wo unser Weg zu Ende ist
Alles Hat Seinen Grund
 
Du bist die Wahrheit 
Ich bin die Tat 
Wir schmeißen Steine 
Wir sind aus Glas 
Du bist der Schall 
Ich bin der Rauch 
Du bist der Fehler 
Ich bin es auch
Alles Hat Seinen Grund
 
Denn alles hat seinen Grund 
Wo wollen wir mit uns noch hin? 
Wir können nicht gehen und wir können nicht bleiben 
Uns fehlt die Kraft, selbst zu entscheiden 
Wann und wo unser Weg zu Ende ist


  ",Alles Hat Seinen Grund,Die Toten Hosen,,Sabe de quem é a composição? Envie pra gente.
"Alles Ist Eins
 
Es ist der tod 
der wie ein stern 
unverhofft vom himmel fällt 
und irgendwo 
am horizont 
lautlos im meer versinkt 
und wenn er kommt 
hab keine angst 
jedes ende ist ein neuanfang 
um zu sterben leben wir ein leben lang 
alles ist eins und gehört zusammen 
unsere zeit 
ist immerzu 
nur auf der flucht vor uns 
irgendwann 
holen wir sie ein 
das wird unser ende sein 
und wenn es kommt 
hab keine angst 
es ist nur ein neuanfang 
was wäre ein leben ohne tod 
was wär die sonne ohne mond 
das leben und der tod sind ein liebespaar 
was wäre der tag ohne nacht 
alles ist eins und gehört zusammen 
es gibt immer wieder einen neuanfang


  ",Alles Ist Eins,Die Toten Hosen,,Sabe de quem é a composição? Envie pra gente.
