Lyrics,Song,Artist,Genre,Composition
"Bad Boy
 
Oooh, oooh 
Oooh, oooh
Bad Boy
 
[Verse:
 
Money ain't a issue of mine
I need a man who can take over the spot of ya mind 
I need somebody with a strong bank plan 
I need a man who can with the third hand 
Bad boy hangin out in the club on dubs 
Reminiscin what it feels with a thug, playa what 
That's the kind i need in my life
That will make a sista feel right, ooh
Bad Boy
 
[Chorus:
 
I need a bad boy, to stay with 
I need a bad boy, to lay with 
I need a bad boy in a beater and tims 
Wanna a thug around then i wanna do it again
Bad Boy
 
[Verse:
 
I don't care what time it will be, like 2 or 3
When you bring that body next to me, that's what i need
We can do it fast or slow, and around and round we go 
Strawberries and ice cream, that's what he brings
But we never do the same thing, ya na' mean
That's the kind i need in my life
That will make a sista feel right 
Sippin champagne, shootin dice games, it don't quit
In the rain or a ninja doin tricks 
He's a thug and he's pretty
But he'll throw em' up quickly
I need a bad boy
Bad Boy
 
[Chorus: 2x

Bad Boy
 
[Verse: (rap)

Bad Boy
 
[Chorus: until fade off



  Essa informação está errada? Nos avise. ",Bad Boy,Keke Wyatt,,Composição: Steve Huff. 
"Call On Me
 
Oh baby, oh baby, oh baby, oh baby 
[verse 1
 
If you ever need someone that you can put your trust in 
If you ever need someone that you can call a true friend (yeah, yeah, yeah, yeah) 
If you ever need to have a shoulder just to cry on (just to cry on) 
Baby, just believe in you know in me, you can rely on
Call On Me
 
[Chorus
 
If you just call on me (if you just call on me) 
I will come running to you 
Whatever you need baby, i'll give it to you
[2x's

Call On Me
 
I'll give it you baby
Do you hear me 
Do you hear me 
Let me finish baby
Call On Me
 
[Verse 2
 
Now see if you need someone to love you all through the night (just call me) 
And baby if you need someone to hold you oh so tight 
If you feel the need to talk about things you don't understand
Let me be the one you call i reach out my hand to you
Call On Me
 
[chorus

Call On Me
 
I'll give you my love (love, love)
I'll give you my peace (peace, peace)
I'll give you my time (time, time)
I'll give you everything you need
(I'll give you every single thing you need)
I'll give you my love (my love)
I'll give you my joy (joy, joy)
I'll give you my life (my life, my life)
I'll give you everything you need, you need
(I'll give you every single thing you need)
Call On Me
 
[Chorus until fade



  Essa informação está errada? Nos avise. ",Call On Me,Keke Wyatt,,Composição: Steve Huff. 
"Daydreaming
 
[Verse 1:
 
Ohh when we touch I get this feelin 
When you not around I feel so different 
In it a year whoa 
(I just can't understand what she says here)
Feel somewhat exposed, so intense (so intense yea yea) 
You got me spinning like a record 
When you bring ya pressure 
Such crazy measures 
Hard to let it go, so you need flow 
When you take control
Daydreaming
 
[Chorus:
 
I know it right for me to be thinkin bout lovin you 
I can't tell my heart how to be
Is it cheatin cause I'm daydreamin
I'm daydreamin I can't stop thinkin bout ya
I close my eyes to be around you 
Things about you make me want you 
When I'm daydreamin
Daydreaming
 
[Verse 2:
 
When I look into the mirror 
I can't help but to catch a flash back
Body, it's time to flash
My system is on the go 
I can't pretend
You got me open for another round 
It's drizzling and it's raining now
I'm so in need and I can't contain
Cause you're bringin out the best in me
Daydreaming
 
[Chorus:
 
I know it right for me to be thinkin bout lovin you 
I can't tell my heart how to be
Is it cheatin cause I'm daydreamin
I'm daydreamin I can't stop thinkin bout ya
I close my eyes to be around you 
Things about you make me want you 
When I'm daydreamin
Daydreaming
 
[Hook:
 
I know that this just ain't right
For me to think about touchin you, kissin you 
Knowin we can't be
I'm daydreamin yeahh... ohhh-hh-ohhhh
Daydreaming
 
I know it right for me (ohh-hh-oohh)
Daydreaming
 
Oh no no no no no no no no no no 
Yea yea-ea yeahhhh oh yea yea yeahh
Daydreaming
 
[Chorus:
 
I know it right for me (right for me baby) 
To be thinkin bout lovin you 
(thinkin bout lovin you ohh oh yea) 
I can't tell my heart how to be
Is it cheatin cause I'm daydreamin (daydreamin baby)
I'm daydreamin I can't stop thinkin bout ya (ya beautiful face)
I close my eyes to be around you (around you my baby) 
Things about you make me want you 
When I'm daydreamin (oh ohhh oh)
Daydreaming
 
I know it right for me (my baby) 
To be thinkin bout lovin you (ya beautiful eyes) 
I can't tell my heart how to be
Is it cheatin cause I'm daydreamin
I'm daydreamin I can't stop thinkin bout ya
I close my eyes to be around you 
Things about you make me want you 
When I'm daydreamin


  Essa informação está errada? Nos avise. ",Daydreaming,Keke Wyatt,,Composição: Keke Wyatt / Theodore Range Bowen. 
"Diamonds
 
Shine bright like a diamond 
Shine bright like a diamond
Diamonds
 
Find light in the beautiful sea 
I choose to be happy 
You and I, you and I 
We're like diamonds in the sky
Diamonds
 
You're a shooting star I see
A vision of ecstasy 
When you hold me, I'm alive
We're like diamonds in the sky
Diamonds
 
I knew that we'd become one right away
Oh, right away 
At first sight, I felt the energy of sunrays 
I saw the life inside your eyes
Diamonds
 
So shine bright, tonight, you and I 
We're beautiful, like diamonds in the sky
Eye to eye, so alive 
We're beautiful, like diamonds in the sky
Diamonds
 
Shine bright like a diamond 
Shine bright like a diamond 
Shine bright like a diamond 
We're beautiful, like diamonds in the sky
Diamonds
 
Shine bright like a diamond 
Shine bright like a diamond 
Shine bright like a diamond 
We're beautiful, like diamonds in the sky
Diamonds
 
Palms rise to the universe 
As we moonshine and molly 
Feel the warmth, we'll never die
We're like diamonds in the sky
Diamonds
 
You're a shooting star I see
A vision of ecstasy 
When you hold me, I'm alive
We're like diamonds in the sky
Diamonds
 
At first sight, I felt the energy of sunrays 
I saw the life inside your eyes
Diamonds
 
So shine bright, tonight, you and I 
We're beautiful, like diamonds in the sky
Eye to eye, so alive 
We're beautiful, like diamonds in the sky
Diamonds
 
Shine bright like a diamond 
Shine bright like a diamond 
Shine bright like a diamond 
We're beautiful, like diamonds in the sky
Diamonds
 
Shine bright like a diamond 
Shine bright like a diamond 
Shine bright like a diamond 
We're beautiful, like diamonds in the sky
Diamonds
 
So shine bright, tonight, you and I 
We're beautiful like diamonds in the sky
Eye to eye, so alive 
We're beautiful, like diamonds in the sky
Diamonds
 
Shine bright like a diamond 
Shine bright like a diamond 
Shine bright like a diamond 
Shine bright like a diamond 
Shine bright like a diamond 
Shine bright like a diamond 
Shine bright like a diamond


  ",Diamonds,Keke Wyatt,,Sabe de quem é a composição? Envie pra gente.
"Diamonds and Pearls
 
This will be the day 
That you will hear me say 
That I will never run away 
I am here for you 
Love is meant for two 
Now tell me what you're gonna do
Diamonds and Pearls
 
If I gave you diamonds and pearls 
Would you be a happy boy or a girl 
If I could I would give you the world 
But all I can do is just offer you 
My love
Diamonds and Pearls
 
Which one of us is right 
If we always fight 
Why can't we just let love decide
(Let love decide) 
Am I the weaker man 
Because I understand 
That love must be the master plan
Diamonds and Pearls
 
If I gave you diamonds and pearls 
Would you be a happy boy or a girl 
If I could I would give you the world 
But all I can do is just offer you 
My love
Diamonds and Pearls
 
D to the I to the A to the M 
O to the N to the D to the pearls of love 
D to the I to the A to the M 
O to the N to the D to the pearls of love
Diamonds and Pearls
 
There will come a time 
(Thery'll come a time)
When you will blow your mind 
(Your mind) 
And everything you look for you'll find
(Take a look inside) 
There will be the time 
(Thery'll be the time)
When everything will shine 
(Oh yeah) 
So bright it makes you color blind 
(You will be color blind)
Diamonds and Pearls
 
If I gave you diamonds and pearls 
Would you be a happy boy or a girl 
If I could I would give you the world 
But all I can do is just offer you 
My love
Diamonds and Pearls
 
If I gave you diamonds and pearls 
Would you be a happy boy or a girl 
If I could I would give you the world 
But all I can do is just offer you 
My love


  ",Diamonds and Pearls,Keke Wyatt,,Sabe de quem é a composição? Envie pra gente.
"Don't Take Your Love
 
Now baby you, you know my heart 
Better than anyone else 
And yes I know that it's been hard
But we always seem to work things out 
All we need is time
Don't Take Your Love
 
Baby all that we need is time, to 
So don't take your love away from me
If you can hear me now, boy 
Just don't take your love away
Don't Take Your Love
 
Now baby you, you know my love for you 
Is brighter than the stars and the moon, (so bright, so bright) 
And yes I see that baby you are 
The best that's ever happened to me
For so long I never saw the wrong 
I handled things kinda bad 
Yes I did 
I never thought that I would lose the wrong 
Looking for what I already had 
So please
Don't Take Your Love
 
Baby all that we need is time, to 
So don't take your love away from me
If you can hear me now, boy 
Just don't take your love away
Don't Take Your Love
 
Your love for me 
Your trust in me 
The things you do 
Baby you got the best in me 
Baby let me make it up to you 
Tell me what I need to do 
Don't wanna live without
Your love
Don't Take Your Love
 
Baby all that we need is time, to 
So don't take your love away from me
If you can hear me now, boy 
Just don't take your love away
Don't Take Your Love
 
Let me break it down, let me break it down 
Just hear me now, just hear me now 
Think about, promise me you'll be around
One more time 
Said I'm gonna break it down, break it down
Just hear me now, hear me now 
Think about, promise me you'll be around
Don't Take Your Love
 
Baby all that we need is time, to 
So don't take your love away from me
If you can hear me now, boy 
Just don't take your love away
Don't Take Your Love
 
Baby all that we need is time, to 
So don't take your love away from me
If you can hear me now, boy 
Just don't take your love away


  Essa informação está errada? Nos avise. ",Don't Take Your Love,Keke Wyatt,,Composição: Steve Huff. 
"Enough
 
It's crazy, I know just how you're feeling
So alone, hope it's gone til it's useless
Don't let yourself fall apart
Is not a movie, it's addicting like a drug
It's so scary, I won't let it bring me down
It ain't a beauty, and it's so emotional it's overwhelming
Enough
 
Don't be blinded by love
Cause enough's enough's enough's enough
Heard a million stories 
Enough's enough's enough's enough
You got to let him go 
There is no reason to love love love love 
Can't let him take control
It's only burning you
Enough's enough's enough's enough
It's tearing you apart
Enough
 
Lately I know at times you have been empty 
So lost without the calls it's confusion
Don't let it disturb your mind, oh no
You can lose it, I have seen it with my eyes 
It's abusive, and it comes in different disguises
Some excuse it, it can leave you so hurt and miserable 
Without a question
Enough
 
Can't be blinded by love
Cause enough's enough enough's enough
Heard a million stories 
Enough's enough enough's enough
You got to let him go 
There is no reason to love love love love 
Can't let him take control
It's only burning you
Enough's enough enough's enough
It's tearing you apart
Enough
 
I know love makes you do some crazy things 
First it plays with your emotions then you're stuck with the shame
It starts out cool, then it ends cold, 
And out of blue it winds up, it slaps you in the face 
I hope you will find someone that cares about you girl 
Who respect you who appreciates you and holds it down for you 
Gotta know how much you're truly worth
Enough is enough
Enough
 
Don't be blinded by love
Cause enough's enough enough's enough
Heard a million stories 
Enough's enough enough's enough
You got to let him go 
There is no reason to love love love love 
Can't let him take control
It's only burning you
Enough's enough's enough's enough
It's tearing you apart no, no
It's only burning you, enough enough


  ",Enough,Keke Wyatt,,Sabe de quem é a composição? Envie pra gente.
"Fall in Love
 
Tell me are you ready for what I got and how I got it planned out 
Tell me that you want it and you can't wait for me to put my hands on you
Boy you feel that heat all on your body 
And you're waiting on me to get it started and your body's waiting on me
Fall in Love
 
You can't wait for me to put my hands on
Your body's calling me, I've gotta handle
Tell me where and how you want it, (want it) 
You don't know the best cause you ain't had me yet
And when we finish making sweet love baby 
You gon' fall in love with me
And baby tonight, you gon' fall in love with me (with me)
Fall in Love
 
Baby put your hands on me, cause I wanna feel good
Its the way that you grab my waist in the place that you should 
Boy you know my body is calling your name 
Every night is something new your touch is not the same 
You can be excited, surprised everyday 
I can't wait for you to put your hands on me baby
Fall in Love
 
You can't wait for me to put my hands on
Your body's calling me, I've gotta handle
Tell me where and how you want it 
You don't know the best cause you ain't had me yet
And when we finish making good love, baby 
You gon' fall in love with me
Baby tonight, you gon' fall in love with me
Fall in Love
 
Baby I feel it, Oh! I know you feel it too 
Baby I want it, I know you want it too!
Fall in Love
 
You can't wait for me to put my hands on
Your body's calling me, I've gotta handle
Tell me where and how you want it 
You don't know the best cause you ain't had me yet
And when we finish making good love 
You gon' fall in love with me
Oh baby tonight you're, you gon' fall in love with me
Fall in Love
 
Baby don't you hear me now, gonna fall in love
You gonna fall in love with me (with me baby yeah) 
You gonna fall in love with me
Fall in Love
 
You gonna want more and more, more and more, more and more, more of me


  ",Fall in Love,Keke Wyatt,,Sabe de quem é a composição? Envie pra gente.
"For Every Mountain
 
I've got so much to thank God for
So many wonderful blessings 
And so many open doors 
A brand new mercy 
Along with each new day 
That's why I praise You
For Every Mountain
 
And for this I give You praise 
For waking me up this morning 
That's why I praise You
For sending me on my way 
That's why I praise You
For letting me see the sunshine 
Of a brand new day 
A brand new mercy
For Every Mountain
 
Along with each new day 
That's why I praise You and for this
I give You praise 
You're Jehovah Jhireh
That's why I praise You
You've been my Provider
That's why I praise You
So many times YouÂ've met my need
For Every Mountain
 
So many times You rescued me 
That's why I praise You
I want to thank You for the blessing 
You give to me each day 
That's why I praise You
For this I give You praise 
For every mountain You brought me over 
For every trial you've seen me through
For every blessing 
Hallelujah, for this I give You praise


  ",For Every Mountain,Keke Wyatt,,Sabe de quem é a composição? Envie pra gente.
"Ghetto Rose
 
[Intro:
 
Hmm, Hmm, Hmm, Yeah [x2

Ghetto Rose
 
[Verse 1:
 
Young men please be careful with, the young ladies. 
Don't do the things, you know that guys do.
Cause' shes growing up and showing it, you know she believes.
So don't make it harder, than it has to be.
Ghetto Rose
 
[Pre-Hook:
 
Don't let nobody, treat her rough.
Be the one to back her up. 
Weither she do or don't put out.
Ghetto Rose
 
[Hook:
 
Tell her that's shes,
Wonderful, Beautiful, Fabulous, 
Tell her that's shes,
Got someone, To stand by for the road, 
Tell her that's shes,
Everything, you prayed for, and even more, you adore her. 
In and out the clothes, 
Shes your Ghetto Rose.
Ghetto Rose
 
[Verse 2:
 
Young men please be careful with, your own ladies. 
Don't do the things, you know that guys do.
If there's anyway your gonna keep, a family.
And everything as precious to you.
Ghetto Rose
 
[Pre-Hook:
 
Don't ever ever, treat her rough.
Be the one to lift her up. 
And don't you ever shut her out.
Ghetto Rose
 
[Hook:
 
Tell her that's shes,
Wonderful, Beautiful, Fabulous, 
Tell her that's shes,
Got someone, To stand by for the road, 
Tell her that's shes,
Everything, you prayed for, and even more, you adore her. 
In and out the clothes, 
Shes your Ghetto Rose.
Ghetto Rose
 
Cherish her 
(ooooooo) 
Love her 
(Ghetto rose) 
Oooooo 
(shes you) 
(When times get hard oh baby) 
Love her 
(oh oh) 
Cherish her 
(When she needs you most) 
When she needs you mooost
Ghetto Rose
 
[Hook:
 
Tell her that's shes,
Wonderful, Beautiful, Fabulous, 
Tell her that's shes,
Got someone, To stand by for the road, 
Tell her that's shes,
Everything, you prayed for, and even more, you adore her. 
In and out the clothes, 
Shes your Ghetto Rose.


  Essa informação está errada? Nos avise. ",Ghetto Rose,Keke Wyatt,,Composição: Franne Golde / Kasia Livingston. 
