Lyrics,Song,Artist,Genre,Composition
"
        Aboji (Feat. Psy)
        
    
 
Rap)  
Yo~ nomu aphman bomyo saraoshyone  
onuse jashigdul morikhoso maldo andudne  
hanpyongseng je jashig babguruse chongchun golgo  
sekkidul sajinbomyo hanphunirado do bolgo  
nunmul moggo mogsum golgo  
himdurodo tolgo irona  
iroda surojimyon ochona  
appanun supermaniya yedura gogjongma  
wieso jidnullodo tinel sudo obgo  
are eso chigo ollawado pihal su obne  
musobine sesang domanggago shiphne  
jenjang guredo chamgo ine  
mennal amugodo morunche  
oroji ne pumeso dinggulgorinun  
sekkidure jangnan temune nanun sanda  
himdurodo yobo yedura appa chulgunhanda 

        Aboji (Feat. Psy)
        
    
 
Aboji ijeya kedarayo ochi gurohge sashyonayo  
doisang sulsurhe haji mayo ije nawa gathi gayo 

        Aboji (Feat. Psy)
        
    
 
Rap)  
Onuse hagsengi doen aidurege  
appanun baranun go tag hana  
jongjighago gonganghan chaghan ai barun ai  
darun ai bodan jal halteni  
hakgyo we e hagwon gwawe  
darun appadulgwaye gyongjengeso  
igigoja muoshidunji da hejwoya he  
goro manhi boroya he none appahante jarhe  
aidurun chingudurul sagwigo manhun yegi nanugo  
bogo dudgo do manhun gosul hejunun name appawa bigyo  
do johun gosul sajunun name appawa narul bigyo  
galsurog sagaji obsojinun aidulgwa  
bagajiman gulnun ansarame dungsare  
werowodo ganda  
yobo yedura (yedura) appa chulgunhanda 

        Aboji (Feat. Psy)
        
    
 
Aboji ijeya kedarayo ochi gurohge sashyonayo  
doisang sulsurhe haji mayo ije nawa gathi gayo 

        Aboji (Feat. Psy)
        
    
 
Rap)  
Yobo onuse sewori manhi hullosso  
chodchenun sahoero dulche nomun dehagro  
ijen ongajogi hamke hago shiphjiman  
aphojigi temune yegihagi orobguman  
sewore musanghame nunmuri goigo  
aidurun bappuboigo  
aigo sanchegina gayagesso yobo  
hamkegajushio~!! 

        Aboji (Feat. Psy)
        
    
 
Aboji ijeya kedarayo ochi gurohge sashyonayo  
doisang sulsurhe haji mayo ije nawa gathi gayo  
oh oh dangshinul taragalleyo 

        Aboji (Feat. Psy)
        
    
 
Sewore musanghame nunmuri goigo  
aidurun bappoboigo  
aigo sanchegina gayagesso yobo  
hamkegajushio~!! 

        Aboji (Feat. Psy)
        
    
 
Sewore musanghame nunmuri goigo  
aidurun bappoboigo  
aigo sanchegina gayagesso yobo  
hamkegajushio~!! 

        Aboji (Feat. Psy)
        
    
 
Sewore musanghame nunmuri goigo  
aidurun bappoboigo  
aigo sanchegina gayagesso yobo


  ",,,,Sabe de quem é a composição? Envie pra gente.
"
        A girl who wants to date
        
    
 
Always like the first time, a sweet phone call to wake me up.  
Even if they tell me a they love me countless times it's 
like cotton candy that you can't get sick of 

        A girl who wants to date
        
    
 
When was that day? Even my memory is very vague.  
I was pretty popular long time ago. 

        A girl who wants to date
        
    
 
On an off day I call because I'm bored. All my friends say 
they're busy meeting their boyfriends. 
After cleaning all day I took a nap because I was tired  
thinking that maybe in my dreams.. maybe in my dreams 

        A girl who wants to date
        
    
 
When my friends see that I'm alone they tell me that my standards 
are too high and that I've gotta feel the lonliness more 
to get a hold of myself. 

        A girl who wants to date
        
    
 
I spend today thinking about what I'm going to do. I spent the whole 
day ranksacking the internet looking for my first love wondering if  
I should give them a call. Maybe they're waiting for me. 

        A girl who wants to date
        
    
 
What is this thing called love? I'm waiting for it. 
If I meet a really good person this time then I'm 
really going to hold onto them.  
I'm so lonely. I'll wait for you


  ",,,,Sabe de quem é a composição? Envie pra gente.
"
        Amudo (Feat. Kang Jinwoo from Bounce)
        
    
 
Ne morirul jamgwojwo ije nanun momchul suga obso  
dashi doraogien nomu molli gaboringol ara 

        Amudo (Feat. Kang Jinwoo from Bounce)
        
    
 
Nan noui misodo jagun ibsuldo  
nomu tugowo ne moril jabgo isso 

        Amudo (Feat. Kang Jinwoo from Bounce)
        
    
 
Amudo obso ne gyothen nomajo  
amudo obso nal borigo uso  
amudo obso ne binjarin norul wiheso  
gunyang yogi namgyodugiro he ne maumul 

        Amudo (Feat. Kang Jinwoo from Bounce)
        
    
 
Ne morirul jamgwojwo ije nanun momchul suga obso  
dashi doraogien nomu molli gaboringol ara 

        Amudo (Feat. Kang Jinwoo from Bounce)
        
    
 
Nan noui misodo jagun ibsuldo  
nomu tugowo ne moril jabgo isso 

        Amudo (Feat. Kang Jinwoo from Bounce)
        
    
 
Amudo obso ne gyothen nomajo  
amudo obso nal borigo uso  
amudo obso ne binjarin norul wiheso  
ijodon naldure sulphun chuogdo  
dagaol shigane aphun giogdo  
gunyang yogi namgyodugiro he he maumul 

        Amudo (Feat. Kang Jinwoo from Bounce)
        
    
 
Ijen modu gwenchanha kumirago senggaghe  
achimi wado jamun yojonhi ne mogul jorugeji 

        Amudo (Feat. Kang Jinwoo from Bounce)
        
    
 
Amudo obso nemaum soge nomajo  
amudo obso narul borigo tonasso  
amudo obso nebinjarin norul wiheso  
ijodon naldure sulphun chuogdo  
dagaol shigane aphun giogdo  
gunyang yogi namgyodugiro he ne maumul 

        Amudo (Feat. Kang Jinwoo from Bounce)
        
    
 
Nege sondejima  
ijen piryo obso nan amudo


  ",,,,Sabe de quem é a composição? Envie pra gente.
"
        Andant'e
        
    
 
neureege hajeeman poonmyeonghage  
jogeume meomotgeoreemdo eopshee  
meoreojyeo kaneun keudael paraboda  
moondeuk nan eojeereopjyo 

        Andant'e
        
    
 
sarangdo saramee mandeuneun eel  
mot meedeul maeumee cheeneun jangnan  
yasok'ajeeman motnae seoreopjeeman 
eoreol soodo eettneun keojyo 

        Andant'e
        
    
 
algo eesseoyo keudaeran saram  
keureon sarameejanayo  
hoohwe kat'eun keo hagee sheereoseo 
chararee eetneun 

        Andant'e
        
    
 
keu han keoreum han keoreum nareul jeeweo kanayo  
keudae keoreum mank'eum naneun mooneojeejyo 
kkok hanbeonman hanbeonman tora pool soon eopnayo  
keugeot maneerado haejool soon eopnayo 

        Andant'e
        
    
 
algo eesseoyo keudaeran saram  
keureon sarameejanayo  
sangcheo kat'eun keo joogee sheereoseo 
teo mojeelge kooneun 

        Andant'e
        
    
 
keu han soongan han soongan saranghageen haettnayo  
keudae eopshee heureul noonmooree kayeoweo  
kkok hanbeonman hanbeonman tora pol soon eopnayo  
nareul poneun keudael kee-eok hal soo eettge 

        Andant'e
        
    
 
keu han keoreum han keoreum nareul jeeweo kanayo  
keudae keoreum mank'eum naneun mooneojeejyo 
hanbeonman hanbeonman tora pol soon eopnayo  
keugeot maneerado haejool soon eopnayo


  ",,,,Sabe de quem é a composição? Envie pra gente.
"
        And I love you
        
    
 
Is that really you turned around?  
I feel like I'm dreaming even when my eyes are open 
I was the one who hurt you and told you to leave,  
but I'm crying 

        And I love you
        
    
 
These conversations going around and around in my heart,  
and the love that I should've turned away from 
I've got to put them behind me just like this and let you go 
The more I love you I'm left with longing 

        And I love you
        
    
 
My love, please leave me now because  
I've hidden my tears with my long hair 
Turn away from me right here, look I'm smiling 

        And I love you
        
    
 
You have to be happy where you're going 
so that I won't even wait for you. 
Just believe my lie this time, that there's 
already another love inside of me. 

        And I love you
        
    
 
These conversations going around and around in my heart,  
and the love that I should've turned away from 
I've got to put them behind me just like this and let you go 
The more I love you I'm left with longing 

        And I love you
        
    
 
My love, please leave me now because  
I've hidden my tears with my long hair 
Turn away from me right here, look I'm smiling 

        And I love you
        
    
 
Sometimes everything becomes hazey  
and this moment will probably become a memory too  
I want to believe that... 

        And I love you
        
    
 
Though there were a lot of tears when we were together, we were happy.  
The love you've given me is enough for me. 
I was everything to you, I'm only going remember up to that point.


  ",,,,Sabe de quem é a composição? Envie pra gente.
"
        A song for you
        
    
 
GIRL, arumdaun guderur tollimyon nan himi najyo kumkudud nollabjyo

        A song for you
        
    
 
Sesang moduga ne chajirangor amudo morujyo 
nuni bushige hankod orujyo nophi gudewa hamkeramyon (nowa) 
midoyo uri dur hamkemyon gumaningor mosharge mwoga ijyo 
gunshimun godwoyo nanwoyo himdungon mwodunji toanurkeyo nege math gyojwoyo

        A song for you
        
    
 
Guderan mar sesangeso jongmar jeir johayo

        A song for you
        
    
 
Sesang moduga ne chajirangor amudo morujyo 
nuni bushige hankod orujyo nophi gudewa hamkeramyon (nowa) 
midoyo uri dur hamkemyon gumaningor mosharge mwoga ijyo shirum jom math gijyo

        A song for you
        
    
 
usoya gudeya nunbushin najirkoyeyo wo~wo~wo

        A song for you
        
    
 
Yahago musoun yonghwanun jirsegigo sollonghan yumoedo bingushi usojugo 
sasohan iredo thorajyo idon ibsur pijug dedon gudega nan jongmar johayo

        A song for you
        
    
 
A SONG FOR YOU BABE (repeat)


  ",,,,Sabe de quem é a composição? Envie pra gente.
"
        Beautiful One
        
    
 
Nunul dachindud udgiji anha  
no obnun harun odumpuningol  
daril dachindud oro buthun barun  
gu ottongodo gorulsu objanha 

        Beautiful One
        
    
 
You remember nulbidnadon  
sarangenun hengboghedon  
I remember iji mothe  
oh my baby I will or is it time 

        Beautiful One
        
    
 
Beautiful one arumdaun naldul  
you are the beautiful one  
negyotheso sara sumshwinun  
beautiful one niga idon naldul  
naui beautiful girl in my love 

        Beautiful One
        
    
 
Sesangun machi norul dugoso  
amuil obdun hulloman gajana  
maumun norul jabgo inunde  
shigani norul teo nohgoman isso 

        Beautiful One
        
    
 
You remember nunkiljuosso  
sarange hengboghesso  
I remember iji mothe  
oh my baby i will or is it time 

        Beautiful One
        
    
 
Beautiful one arumdaun naldul  
you are the beautiful one  
negasumi nohji mothanun  
beautiful one niga idon naldul  
naui beautiful girl in my love 

        Beautiful One
        
    
 
Noro inhe bidnadon na chorahan naldul  
noraso uimi idon ne mojaran maum  
ajigdo mothdahan naui sarangul  
dajugo shiphun naui nore oh 

        Beautiful One
        
    
 
Beautiful one arumdaun naldul  
you are the beautiful one  
negyotheso sara sumshwinun  
beautiful one niga idon naldul  
naui beautiful girl in my life


  ",,,,Sabe de quem é a composição? Envie pra gente.
"
        Beautiful World (Miracle)
        
    
 
You are my everything  
The everlasting all in all  
For in your arms l find  
the strength to carry on and on  
It? your goodness,  
Love that sets me free for life it is your,  
Love that makes me strong  
A love forever 

        Beautiful World (Miracle)
        
    
 
Ijebuteo naui sarangeun  
geudael wihae junbidoen sarangijyo  
himi deulgo manhi jichyeoisseul ttae  
naege yaksok haejul mari isseoyo.  
amu maldo haji motaetdeon  
geudae pyojeong soge naega inneun geon hanbeonimyeon  
chungbunhadan geu mari geudaeege deutgo sipeun aegijyo 

        Beautiful World (Miracle)
        
    
 
You are my everything  
The everlasting all in all  
For in your arms I find  
the strength to carry on and on  
it? your goodness,  
Love that sets me free for life it is your,  
Love that makes me strong A love forever 

        Beautiful World (Miracle)
        
    
 
Amu geokjeonghaji marayo uri maeum hamkkehal geunalkkaji  
jigeumkkaji manhi chama wasseotdeon  
geudae nunmul dasin eobseultenikka  
uriui sarangeun ije sijagingeojyo  
uriui miraeneun geudae moseubingeollyo  
areumdaun sesang soge gamchwojin geu sarang geudae ingeollyo. 

        Beautiful World (Miracle)
        
    
 
Uriui sarangeun ije sijagingeojyo  
uriui miraeneun geudae moseubingeollyo  
areumdaun sesang soge gamchwojin geu sarang geudae ingeollyo 

        Beautiful World (Miracle)
        
    
 
You are my everything


  ",,,,Sabe de quem é a composição? Envie pra gente.
"
        Because of the memory
        
    
 
The day that I fell in love it felt as if I'd suffocate. 
That day I lost you who had become my everything.  
Why is fate so cruel?  
And though I close my eyes to try and look away, the past comes closer. 

        Because of the memory
        
    
 
I am able to withstand another day because of those memories  
Because the memories hurt so much  
and because you are still left in my heart,  
I shed a tear and like that I keep you here. 

        Because of the memory
        
    
 
The day that I confessed my love for the first time  
and the day that we had to break up too,  
Do you still have those wounds?  
All I can wish for is that they heal.  
And I beg that you hate me...please.. 

        Because of the memory
        
    
 
Because of those memories I am able to withstand another day.  
Because the memories hurt so much  
and because you are still left in my heart,  
I shed a tear and like that I keep you here. 

        Because of the memory
        
    
 
I am able to withstand another day because of those memories.  
Because the memories hurt so much  
and because you are still left in my heart,  
I shed a tear and like that put you back to your side, to you who can't have. 

        Because of the memory
        
    
 
Because the memories hurt so much  
and because you are still left in my heart,  
I shed a tear and like that I keep you here.


  ",,,,Sabe de quem é a composição? Envie pra gente.
"
        Before it all leaves
        
    
 
Before the longing all leaves tell me that you love me  
Before the hatred breaks tell me that you love me... that you... 

        Before it all leaves
        
    
 
Let my weakening heart rest with your touch  
That it seems like forever in your emrbrace... that it... 

        Before it all leaves
        
    
 
You're like the wind who just grazes my clothes 
and like the waves you rush in and rush out  
You are the white foam that hits my heart 

        Before it all leaves
        
    
 
Let my weakening heart rest with your touch  
That it seems like forever in your emrbrace... that it... 

        Before it all leaves
        
    
 
You're like the wind who just grazes my clothes 
and like the waves you rush in and rush out  
You are the white foam that hits my heart 

        Before it all leaves
        
    
 
Before the longing all leaves tell me that you love me  
Before the hatred breaks tell me that you love me... that you...


  ",,,,Sabe de quem é a composição? Envie pra gente.
"
        Believe
        
    
 
wae oo moo doh nae yae gi reul mid chi ahn neun keo ya neh ga poh neun moh deun koh shi jin sil reun ah ni ya 
nal pa ra poh deon mi soh doh dal kop han keu yak sok doh

        Believe
        
    
 
*repeat 1 
neo reul hyang hae neul yeol reo doo deon nae moh deun keol ee jeh peo ryeo na man eul sarang ha gi doh ah chik eun poo chok ha ni gga 
ta shi neh geh sok chi ahn ah sarang doh nan mid chi ahn ah ah jik eun hon cha in nae ga deo eo ool ri neun keol

        Believe
        
    
 
nal deo na myeon seo yae gi haet chi hoo heui hal geo ra go neon oo seu myeon tae dap haet chi neon keu reol keo ra go 
nal ool keh haet teon ki eok doh ah reum ta oon choo eok doh

        Believe
        
    
 
[<br/>, *repeat 1

        Believe
        
    
 
*repeat 2

        Believe
        
    
 
ta shi neo dol ah wah doh ool myeon seo neo hoo heui hae doh heun deul ri ji an eul keo ya dol ah ol pil yo doh eop seo 
ta shi neh geh sok chi an ah sarang doh nan mid chi ahn ah ah jik eun hon cha in nae ga deo eo ool ri neun keol


  ",,,,Sabe de quem é a composição? Envie pra gente.
