Lyrics,Song,Artist,Genre,Composition
"
        2000 Blues
        
    
 
A hundred thousand dollars 
Wouldn't touch the price i paid
Of the hundred thousand moments 
Of the times i wish i'd stayed.
But even if i had all the time and money, 
It's still the same old news.
Nothin' does you any good
When you got 2000 blues.

        2000 Blues
        
    
 
Ten thousand clouds 
On a rainy rainy day 
Couldn't wash away
All the dust and the haze. 
But i tried and i tried 
To search for all the clues, 
Why i can't wash away
These 2000 blues.

        2000 Blues
        
    
 
If i had an airplane 
With a co-pilot too, 
I'd fly to a planet
That was closest to you. 
I'd set the tracking system
With your safety fuse, 
And set the countdown 
For 2000 blues.


  Essa informação está errada? Nos avise. ",,,,Composição: Billy Gibbons / Dusty Hill / Frank Beard. 
"
        36-22-36
        
    
 
What, what, what chu you want?  
My thing is a real fine thing 
It's a thing it's a real fine thing
It ain't broke, it don't need a fix
36-22-36 
I got a gyroscope goin' round and round
Got a thunderbird take me all over town 
Got a transistor radio standin' on the mix
36-22-36 
36-18-36 
Where'd she go? 
What chu say? 36-22-36 
What chu say? 36-22-36 
You want what? 36-22-36 
What chu say? 36-22-36 
What chu want?


  ",,,,Sabe de quem é a composição? Envie pra gente.
"
        A Fool For Your Stockings
        
    
 
Is it you again outside, 
Just banging on the front door? 
You say you had enough, 
Now you're coming' back for more,
But that's alright.
I said that that's alright.
I may not want to admit it, 
I'm just a fool for your stockings I believe.
Now I don't mind when you send money
and bring your girlfriends with you, 
But how could one be so thoughtless to try 
and handle less than two? 
But that's alright.
I said that that's alright, baby.
I may not want to admit it, 
I'm just a fool for your stockings I believe.
Now I'm tellin' everybody
It seems too good to be true: 
Sweet things can always get sweeter. 
I know mine did, how about you? 
Yes, it's alright.
I said, yes it is, that's alright.
I may not want to admit it, 
I'm just a fool for your stockings I believe


  Essa informação está errada? Nos avise. ",,,,Composição: Billy Gibbons / Dusty Hill / Frank Beard. 
"
        Afterburner
        
    
 
When it's cold outside and you want to sleep in
go for a pallet that's so nice and thin.
Zip it on around while it's on the ground,
spread it out and lay it on down. 
Slip inside my sleeping bag, 
slip inside my sleeping bag.

        Afterburner
        
    
 
You're afraid of the dark, baby, no need to be shy.
We'll talk about some lovin' while we look at the sky.
Don't be hesitating, it'll be alright,
we'll tuck it in until it's clean out of sight.
Slip inside my sleeping bag, 
slip inside my sleeping bag.

        Afterburner
        
    
 
Let's go out to Egypt cause it's in the plan,
sleep beside the pharoahs in the shifting sand. 
We'll look at some pyramids and check out some heads.
Oh, we'll whip out our mattress cause there ain't no beds.
Slip inside my sleeping bag, 
slip inside my sleeping bag.


  ",,,,Sabe de quem é a composição? Envie pra gente.
"
        Alley-Gator
        
    
 
Crawlin' cross the floor at the Holiday Inn motel 
saw that girl that my swamp bone knew so well  
She crawled out of Texas flipped off to Baton Rouge  
She got that Gulf Coast sun tan that give a poor boy the blues 

        Alley-Gator
        
    
 
Alley-gator  
With those hypnotic big green eyes  
Alley-gator  
She'll make you fraid em 
She'll chew you up, ain't no lie 
Yeah yeah yeah 

        Alley-Gator
        
    
 
Crawlin' through the weeds with a Louisiana mean-toothed grin 
You tell her that you love her, then you better tell her once again  
She might scratch your back, rub you with her rack  
You better watch out or stand back 

        Alley-Gator
        
    
 
Alley-gator  
With those hypnotic big green eyes  
Alley-gator  
She'll make you fraid em 
She'll chew you up, ain't no lie 
Listen hear 

        Alley-Gator
        
    
 
Alley-gator  
With those hypnotic big green eyes  
Alley Gator  
She'll make you fraid em 
She'll chew you up, ain't no lie 

        Alley-Gator
        
    
 
Alley-gator 

        Alley-Gator
        
    
 
Alley-gator 

        Alley-Gator
        
    
 
Alley-gator 

        Alley-Gator
        
    
 
Alley-gator 

        Alley-Gator
        
    
 
Alley-gator 

        Alley-Gator
        
    
 
Alley-gator 

        Alley-Gator
        
    
 
Alley-gator 

        Alley-Gator
        
    
 
Alley-gator 

        Alley-Gator
        
    
 
Crocodile 

        Alley-Gator
        
    
 
Crocodile 

        Alley-Gator
        
    
 
Alley-gator


  Essa informação está errada? Nos avise. ",,,,Composição: Billy Gibbons. 
"
        Antenna Head
        
    
 
Old 61's my number on the highway
I'm turning up the V's on the airways
I'm tuned into some bad-ass transactions
It's the only way to get my satisfaction
Yeah antenna head, yeah antenna head 
Antenna waves be burnin' up my radio
Mister Deejay say it's the only way to go
Cranked up all the way my tube is turning read 
Got a pocket full off cornbread just call it 
Antenna head 
Yeah antenna head 
Yeah antenna head 
Yeah yeah yeah antenna head 
Yeah antenna head


  Essa informação está errada? Nos avise. ",,,,Composição: Billy Gibbons / Dusty Hill / Frank Beard. 
"
        Apologies To Pearly (instrumental)
        
    
 
[


  ",,,,Sabe de quem é a composição? Envie pra gente.
"
        Arrested for Driving While Blind
        
    
 
When you're driving down the highway at night
And you're feelin' that wild turkey's bite
Don't give Johnny Walker a ride
Cause Jack Black is right by your side 
You might get taken to the jailhouse and find 
You've been arrested for driving while blind

        Arrested for Driving While Blind
        
    
 
Now just the other night with nothin' to do
We broke a case of proof 102 
And started itchin' for that wonderful feel
Of rollin' in an automobile
You could say we was out of our mind 
And let me tell you we were flyin' while blind

        Arrested for Driving While Blind
        
    
 
Then they had us up against the wall  
Hey it's only blood grain alcohol
And there ain't no cause for alarm
We ain't out to do nobody no harm
How could anyone be so unkind 
To arrest a man for drivin' while blind


  Essa informação está errada? Nos avise. ",,,,Composição: Billy Gibbons / Dusty Hill / Frank Beard. 
"
        Asleep In The Desert
        
    
 
[


  ",,,,Sabe de quem é a composição? Envie pra gente.
"
        As Time Goes By
        
    
 
You must remember this 
A kiss is still a kiss, a sigh is just a sigh 
The fundamental things apply 
As time goes by

        As Time Goes By
        
    
 
And when two lovers woo 
They still say I love you, on that you can rely 
No matter what the future brings 
As time goes by

        As Time Goes By
        
    
 
Moonlight and love songs, never out of date 
Hearts full of passion, jealousy, and hate 
Woman needs man and man must have his mate 
That no one can deny

        As Time Goes By
        
    
 
It's still the same old story
A fight for love and glory, a case of do or die 
The world will always welcome lovers 
As time goes by


  ",,,,Sabe de quem é a composição? Envie pra gente.
